page 1	德蘇忽締結不侵略協定
page 6	未陷區及收復地嚴禁開賭庇賭
page 6	蘆西線連日有激戰Ｘ空陸軍再猛犯楊梅墟我一度後退嗣奮力衝鋒將Ｘ擊潰龍遊岡頂Ｘ工兵數十又趕築炮台
page 7	港府增派軍隊防邊
page 7	德國僑民紛紛離港
page 7	歐洲航運兵險增費
page 7	華界Ｘ軍密集佈防
page 7	中央軍校招生昨日舉行筆試
page 7	崇正總會擬設戰地病院
page 7	八一三僑胞獻金可達七十萬元各區小販義賣昨已宣佈結束今後僑胞獻金商會仍可代匯
page 7	商會收到各方獻金
page 7	貨車輾斃路人
page 7	小販義賣昨總結束
page 7	民航機未被Ｘ射擊
page 7	導遊皇后選舉揭曉黃錦雲三萬餘票當選亞軍藍天使季軍丁玲玉
page 7	義勇軍已準備集中
page 7	港澳防疫例已撤銷
page 7	港府策極　準備撤銷防疫法令利便居民離境義勇軍已奉令準備隨時集中華界Ｘ軍密集昨到新兵數百
page 8	東華醫院調查災情
page 8	中國婦女會昨散賑
page 8	中區果販救濟難胞
page 8	米商慨撥巨款賑災
page 8	本院總理謁華民司
page 8	被Ｘ拘留之紅　字會員脫險返港深圳救濟所已被封閉儀器損失值四萬餘元
page 8	三小童突失蹤
page 8	各營艱苦脫離險地
page 8	不及撤退為Ｘ拘留
page 8	儀器藥物損失甚巨
page 8	小本商人樂善不倦
page 8	粉嶺西營將再開放
page 8	澳門僑胞獻金十萬元日間即匯呈國府核收
page 8	婦女兵災會新職員昨選出
page 8	三賊截劫遊女掠金飾約值百元
page 8	華探毆打商人被罰款並償醫藥費
page 8	記者公會主辦之首次水運會明日舉行昨經聘定各部職員及助與員秩序豐富異常參加者亦甚眾
page 8	泳床抽彩
page 8	公開水球賽華人昨和南華
page 8	東華醫院籌備大規模賑濟新界人民昨派楊永康等往當地先行調查定今日謁港當局　求指導一切
page 10	八九金昨趨升
page 10	國幣起後回降省毫券桂鈔略跌
page 10	滬匯先鬆後緊
