page 1	為國大選舉告本港僑胞
page 8	二屆集團婚觀禮記禮堂佈置美觀來賓凡數百人新人禮節純熟服裝整齊劃一
page 10	僑商互助社新職員
page 10	九月份赴星華人
page 10	英新旗艦將到港
page 10	第八次特別賽馬成績適逢國慶觀者擠擁
page 11	國大初選各屬被選人續錄
page 11	惠陽令黎葛天撰碑紀念朝雲墓
page 11	任免縣長案通過除行政專員兼任外開建縣長任李勉成
page 11	拘拿不法警衛隊員
page 11	歸僑遇劫與匪偕亡
page 11	偶爾失火燒斃母女
page 11	推行鄉村節約運動實施辦法
page 11	汕頭規矩堂案勒索案主犯徐希仁昨解省嫌疑犯莫次南同時起解
page 11	源潭農民求雨情形
page 11	法院條陳改善司法
page 11	農民反對承商採沙
page 11	中山縣長呈報辦理紀中學潮經過被拘留學生仍許自新
page 14	雙十節故都舉行十項運動建設新的北平以禁毒為首作大規模宣傳以禁毒為首作大規模宣傳並開始大舉搜捕毒獲毒窟
page 14	十項運動戒毒為首
page 14	廣播演講汽車游行
page 14	市長發表告市民書
page 14	日要求宋哲元實現華北離心運動宋哲元拒絕所請只就經濟問題作具體討論日方仍藉口何梅協定壓迫
page 14	宋哲元談話
page 14	綏　甚緊
page 14	津秦兩海半舞弊案偽造稅單偷運私貨南銷案發牽涉中西關員多人
page 14	遼寧義軍近日發民迅速閻生堂一部總數突破三萬人巾幗英雄王大姑娘等參加抗敵安東日軍中田部被攻不支乞援義軍獲勝及天明後揚長而他去日軍官方稱宣亦不諱言蒙損失
page 15	架綁朱紹陽夫人案中兩日人犯宣判檢事列舉兩　犯罪事實
page 15	希特勒的怒吼
