page 1	但澤局勢又嚴重
page 5	我軍一度克復石灣Ｘ大隊馳援後我即退出
page 5	香翰屏抵深圳昨赴前線檢閱
page 5	調整方法
page 5	第　戰區政治部訂定民眾團體調整方法秩序不健全者改組裁撤通飭所屬切實辦理
page 5	調整秩序
page 5	我軍出擊楊梅
page 5	Ｘ艇竄擾高豐
page 5	蘆西公路我軍出擊楊梅墟Ｘ軍Ｘ受創後退西南欲擾高豐未得逞
page 5	振委會統籌救濟貧苦疾病民眾
page 5	我空軍飛襲三灶續詳轟炸廣州Ｘ軍後續毀虎門三灶Ｘ營
page 5	起航襲Ｘ
page 5	三灶戰情
page 5	到桂省公務人員七一起增津貼
page 5	策動衛生人員服務前線
page 5	十二集團反攻大捷克文閣太平場之白刃戰鐘落潭Ｘ西竄我便衣隊突襲龍眼洞
page 5	神崗Ｘ軍潰退獅嶺
page 5	龍口之Ｘ陷我重圍
page 5	我便衣隊東郊活躍
page 5	當局公佈我軍克復會城我機飛襲Ｘ陣之詳情北街三灶Ｘ損失甚大
page 6	徵集辦法
page 6	鄧龍光將軍籌在新興縣設墾殖區增加戰時生產使人民不饑不寒
page 6	袁帶昨召開游擊會議
page 6	廣州灣籌辦兒童保育
page 6	徐聞派發災民賑款
page 6	調查人口按戶抽費
page 6	限制入口防我游擊
page 6	防我游擊隊活動番禺Ｘ偽實行調查戶口按口征保護費五毫設檢查所限制外人入境
page 6	塔斯社戰地記者抵陽江縣視察
page 6	新任寶安縣長莫鉞昨已接事
page 6	兒童教養團定期開學省振會擬定徵集兒童辦法先設七團每團收容一百五十人不分性別以五歲至十二負為限
page 7	中救劇團今晚義演大地劫永定河畔觀者均喝彩血濺花定明晚上演
page 7	港大限制各校保送學生
page 7	工業合作社定期招待各界
page 7	中市退租攤位租價較前銳減
page 7	劫金舖案押候
page 7	諾貝爾今北上昨已與賈乃錫乘艦返港
page 7	報際象棋賽華僑勝循環晚
page 7	吳鐵城昨日視察深圳
page 7	霍亂症之來源
page 7	新界邊境頻頻發現Ｘ機昨晨又有一架飛到深灣偵察當地居民多被驚醒倉皇走避
page 7	造船業之發達
page 7	文員協會婦女團昨成立
page 7	港府急謀改良市區市區設計委員已選出由市政衛生局長托特氏任主席華籍委員有譚雅士黃茂林兩名
page 8	該會成立意義所在
page 8	薪金菲薄待遇不佳
page 8	李求恩勸基頻教徒切勿妄加屋租在國難時期加租無異趁火打劫應本基督之精神盡力幫助同胞
page 8	婦女節制會發起募捐運動籌三萬元為該會經費
page 8	募捐運動
page 8	該會章程
page 8	南京輪船主反對狗搭船
page 8	保育會昨會議議決挽留辭職常委
page 8	王徐網球義賽的前瞻續
page 8	昨日棒球聯賽152中華勝西洋南華今戰友啤
page 8	中華中學校友日盛況
page 8	旅客服失巨金
page 8	網球義賽今日舉行王文正表演單雙打各一場中間加插一幕混合雙打賽
page 8	心嘉杯小型球賽昨日三場戰績
page 8	學賑會動態
page 8	籃聯會今午會議
page 8	教書苦官立英文師範同學將請政府改善待遇教師薪金竟遠不及政府文員衣食以外更無餘力教育子女
page 11	希特勒改造後的德國陸軍
page 11	從金華到寧波
page 11	浙東寧波近狀Ｘ機肆虐精華頓成焦土海防鞏固人民踴躍服役
page 11	Ｘ機也常臨寧波
page 11	寧屬海防鞏固
page 11	越過內蒙半壁
