page 1	論英國之攻守
page 8	政府華員會籌賑游藝會開始定座將公演明末遺恨
page 8	畢業生題名
page 8	過去一週間車輛失事統計死五人傷五十四人
page 8	嶺南大學授予學位典禮碩士二人學士四八人
page 8	洗染工會成立
page 8	中山海外同鄉濟難會繼續救濟留澳難民幸玉銘等駐澳主持振務
page 8	大學聯誼會二次籌備會議
page 8	住聯會會議紀
page 8	七七紀念日停止娛樂僑團不舉行聯合紀念
page 8	代督史美頒行緊急國防新法例包括文字檢查禁止及人事遷移輪船飛機行動統制航業之徵用
page 10	夏令籃球賽七月六日揭幕今夕舉行代表座談會
page 10	華人游泳會二次水藝有期
page 10	青年會籃球隊練習時間略更動
page 10	南華會續辦公開排賽
page 10	光華體育會日內率師征澳
page 10	宵來公開籃球賽鐘聲不敵培英青年甲輕取華僑乙組康元破警察
