page 1	日英提攜與內在的矛盾
page 6	中央財政當局
page 6	番禺第二聯鄉主任黃勉南
page 6	粵　鐵路管理局為區處理沿線各地營　事驚起見
page 6	實次程天固昨赴秋日屬視察沙田記記者發表議話
page 7	致函本港
page 7	力謀改善
page 7	協同政府
page 7	澈底辦法
page 7	西人殺人自首疑案自稱因爭夜度資握斃妓女京士拍球場適有少女被毆暈厥
page 7	衛生局定期會議
page 7	港府防空計劃分避炸消毒等七項需費約百萬不欲加重居民負擔決分期施行
page 7	飛剪號機秘密試航前日下午抵港昨晨返菲
page 7	作秘密試航
page 7	正式通航期
page 7	飛剪號構造
page 7	集團婚新人舉行聯歡會鴛侶廿餘對共話畫眉韻事
page 7	救傷隊長途演習
page 7	農人食野菌中毒
page 7	慶祝英皇加冕期內酒樓茶室特准通宵營業小販賣物可免領取牌照食水全日開放不加限制
page 7	台灣總督將來港
page 7	婦人服毒幸遇救
page 7	泰山輪船搭客遇竊
page 7	汕頭市政府禁高抬赴星船票價各領事船公司決協助我政府希望港廈各埠當局一致進行
page 8	用量激增情形嚴重
page 8	秋涼以後即可興工
page 8	渡海大喉早日修理
page 8	大霧山南建築堤壩
page 8	須速完成重要工程
page 8	所得水源不足供給
page 8	應在東區設濾水器
page 8	花園水塘盡量供給
page 8	瑪利醫院每日用水
page 8	各項工程費用統計
page 8	九龍方面宜建兩塘
page 8	以　　偉國返港談華函米業公司股本收足將先在粵設碾米廠約十四個月可完成
page 8	英兵坐霸王車傷人
page 8	衛生醫官時症報告
page 8	護督委出兩位中軍
page 8	工務司上書輔政司請建緊急水務工程大霧山南闢新水源救濟水荒全部工程需款三百一十餘萬
page 10	書面談話
page 10	下列數端
page 10	建設計劃
page 10	懸掛風球之地點天文台監督佈告
page 10	義學生書法比賽今日下午二時舉行
page 10	廣九車輾斃老農與耕牛
page 10	培英分校開紀念會
page 10	酒牌局將召開年會
page 10	美始終贊助菲律濱獨立麥納脫昨日過港談話
page 11	清除海盜
page 11	清剿土共
page 11	汕石輪渡被匪劫
page 11	新會縣府遷會城各團體紛紛送傢具
page 11	　光聯昌皮店被劫
page 11	長沙之追收消防費
page 11	九江協治隊辦結束
page 11	新編鄉鎮公所成立
page 11	籌設瞽民習藝所訊
page 11	官山保安隊獲著匪
page 11	炮台倒塌壓傷四人
page 11	請款續築寶太公路
page 11	一女三易新郎奇聞
page 11	舊署修理下旬竣工
page 11	江門僑務局奉令代發歸僑攷察護照
page 11	廣州市工務進行概況五林逸民在市府紀念週報告
page 11	四在設計之工程
page 11	潮汕當局計劃清剿閩粵邊匪患
page 14	獲利極豐
page 14	拘獲黨羽
page 14	在偵訊中
page 14	檢查住宅
page 14	胡蝶流產懷孕兩月十七日產出胡蝶平安現在調養中
page 14	如此張家口
page 14	漢奸董方城就退後豫皖綏署在研訊中董為某國傀儡獲利百萬
page 15	方步舟投誠自述
