page 1	德意同盟與日本
page 7	劫案疑犯提堂
page 7	官涌昨晚發生血案兇徒揮斧猛砍木匠事後到警署自首謂傷者誘惑其妻中環必列　士街亦有一路人遇刺
page 8	機構調整
page 8	積極辦法
page 8	費用預算
page 8	月會兩次
page 8	閨秀名流演劇賑災演習期裏的寫真名優薛覺先視臨擔任指導成績斐然向未來觀眾介紹
page 8	救債分會主任周壽臣指示僑胞捐債兩途徑自行焚燬或取銷均非妥善辦法適足予黠者以取巧作幣之機會
page 8	三犯死因研究
page 8	汽車工友舉行國民宣誓
page 8	醫界長期捐款去月共得七百餘元
page 8	粵賑委會在港設辦事處昨議決擴大募捐運動賑濟辦法分消極與積極兩種全部費用約需一千七百萬餘
page 10	開
page 10	戰
page 10	週來籃球義賽男子星隊對青年會女子中華隊對抗梅芳為隨軍服務團募經費
page 10	貢獻給本港籃球界肆
page 10	港菲埠際足球賽規定每年舉行二月港隊征菲四月菲軍報聘
page 10	徐家網球將蟬聯雙打冠軍三比一擊退何李組副按察司權作裁判
