page 1	　與世界和平
page 3	西籍傳教士使用Ｘ軍用票被游擊隊拘捕
page 3	我軍反攻貴池Ｘ艦一艘被我擊沉
page 3	Ｘ機連日在晉大肆活動
page 3	鄂中我軍向郭家集挺進
page 3	Ｘ機轟炸梁山燬房舍二百餘棟
page 3	蘇聯氣球採取試驗氣體
page 3	日拍歐美電報一律減價
page 3	日外相邀約英法大使會商外交問題
page 3	Ｘ軍在晉強徵壯丁受訓
page 3	奮不顧身鄉民擒Ｘ機師軍委會照章給獎
page 3	歐洲局勢嚴重英下院議員卅四人籲請組織國民內閣並應有控制全國人力物力之全權俾擴軍工作在短期內收最大效果
page 4	婦慰分會慈善獎券揭曉
page 4	學賑會改選訊
page 4	九龍關新稅費
page 4	護病班定期開課
page 4	中　文化協會香港分會　中　參加
page 5	當局分路指揮抗戰
page 5	沙坪混戰Ｘ遭慘敗
page 5	古勞之Ｘ被我阻進
page 5	棠下之Ｘ屍流遍河
page 5	北街外海Ｘ軍失敗
page 5	Ｘ機詭謀投下旗幟
page 5	我新空軍出動激戰
page 5	Ｘ機狂向會城投彈
page 5	離江門時市況一瞥
page 5	凰閣Ｘ退小欖無恙
page 5	卅晨中新電話仍通
page 5	戰事起後影響交通
page 5	東路我軍反攻續訊正果Ｘ之據點已由我軍克復
page 5	北江沿線Ｘ軍蠢動Ｘ夜犯鰲頭遭我痛擊我機械化部隊滿佈頭潭琶江一帶
page 5	北路之Ｘ糧食恐慌
page 5	Ｘ擾鰲頭被我擊潰
page 5	三宅Ｘ軍轉移花縣
page 5	粵積極練新軍兵役推行辦法從新修訂培育幹部速成新軍訓練
page 5	南路戰況仍呈膠著Ｘ攻定安文昌迭遭慘敗
page 5	容桂淪陷時我Ｘ激戰詳情三誌潘幼齡無恙與本報記者詳談脫險經過戰時團隊用船舶掩護難民向南頭退卻我團隊反攻容桂現尚在激戰中
page 5	Ｘ圖犯江門不逞鶴山新會各地激戰詳情我在棠下繳Ｘ械二百俘Ｘ數十我空軍與Ｘ機在中山激戰甚烈中山三十日晨尚與江門通電話戰事起後之岐江澳江交通
page 6	航政局限令航商月內加入戰時合作社違則予以停航處分
page 6	我機隊連日飛炸廣州Ｘ陣白雲天河兩Ｘ機場受創最巨
page 6	裏水鄉土匪之猖獗夜劫沙基艇戶之激戰
page 6	數艘鄉渡途中被劫
page 6	萬豐米　夜遭劫
page 6	沙基艇戶亦蒙光顧
page 6	粵南各縣推行政治動員嚴查貪污動員民眾
page 6	嚴查貪污
page 6	動員民眾
page 6	增強我抗戰力量利樹宗率部收編土匪盤　番禺之Ｘ無法維持秩序我團隊襲蓮花岩奪獲Ｘ糧械
page 6	偽維持會紛紛解體
page 6	二區收編番禺土匪
page 6	運　　Ｘ糧機被奪
page 6	張惠長發動民眾保衛中山護沙隊負責守衛前線
page 6	夏滘之Ｘ又譁變擊斃隊長因索薪餉不遂
page 6	新會縣指揮部昨已結束自衛團隊歸政府統轄
page 6	開始收回西江臨時毫券
page 6	廿七日Ｘ機襲汕續詳是　發出三次警告Ｘ艦在汕海之動態
page 7	全港學界實行精神總動員今日集會行國民宣誓禮誓不違背國家民族利益
page 7	香港汽車聯會請政府建立體停車場五層大廈用升降機上落或掘山穴可兼作防空蠔
page 7	紅磡劫殺案首被告已獲釋
page 7	童戲場管委會下月六日年會
page 7	難民獲中聖約翰馬彩得獎二萬一千餘元
page 7	吳公虎畫展會改下月七日開幕
page 7	防空工作日趨組織化廿二個分區劃定崗位各區之小組委員均由名人充任有數區環境不同將有特別措施
page 8	救濟學生委會三月來之救濟工作救濟失學青年二百餘人支出費用六千二百餘元
page 8	各部職員
page 8	救濟人數
page 8	經費來源
page 8	兩波音機命名
page 8	立法局昨召開例會八項法例均獲通過
page 8	環遊世界巨輪佛蘭干尼臣抵港
page 8	捐金購債彙錄
page 8	廣東與霞飛將軍兩輪昨在港外相撞因濃霧彌漫難辨方向廣東輪受傷返港修理
page 8	濃霧瀰漫不辨方向
page 8	兩輪相撞廣東受傷
page 8	折回本港入塢修理
page 8	食河豚兩人中毒殞命
page 8	印刷業商會港府批準成立
page 8	牛奶消毒則例明日開始實行
page 8	壯男圖姦女童官判入獄一年
page 8	去年本港囚犯激增赤柱監獄有人滿患一室竟囚犯人三名
page 8	囚犯激增
page 8	生產工作
page 8	舊犯比率
page 8	工作時間
page 8	須防火燒山林園林官警告掃墓人
page 8	　塔海血　財物損失共值八千餘元
page 10	國際反侵略運動會七屆大會詳誌世界風雲日緊美願盡力維持正義國際和平已破產仍希望重新建設
page 11	昨日公開網球賽林添德苦戰挫芬渣徐煒培勝黃兆榮那錫克陸鎮祥
page 11	南華場館暫停供給會員應用港星球賽座券異常暢銷
page 11	聖保羅週年陸運有七項目破該校紀錄
page 11	友誼足球賽消息
page 11	培英今開運動會
page 11	今日足球聯賽東方戰米杜息滬將曹秋亭許文奎雙上陣東方如勝對亞軍希望甚濃
