page 1	救災與救亡
page 5	財廳改組續訊裁撤煤油營業稅總處歸併第三科辦理
page 5	四月免稅洋米入口將滿額昨港輪續運到洋米萬包各米舴定今日開駛上省
page 5	運輸數額將滿
page 5	洋米續到萬包
page 5	米舴今日上省
page 5	某人圖佔汕坦地案移外部交涉
page 5	閩粵邊兩股匪之投誠已派代表分赴兩師部接洽
page 5	財廳准熊理辭職
page 5	馬廷槐駕機來粵接收新機率返南昌
page 5	桑枝製紙設大規模試驗廠
page 5	購機祝壽會電呈籌款經過
page 5	桔水捐之征收併由省營產特處辦理
page 5	根本救濟粵糧食三局繼續會議之決定成立糧食生產討論會下星期一日繼續會議程天固等昨乘機飛瓊定二日返省出席會議
page 6	市民請減公共車票價手車業工商聯合反對手車工會之訪問
page 6	開平憑樓拒捕案四誌兩匪解案供出主謀匪犯案內主犯譚柱昨併被捕
page 6	內政部視察昨日謁吳主席
page 6	撥借庚款五十萬興辦廣東水利
page 6	吳主席訪江霞公順游覽河南各地
page 6	鐵道部興築湘桂鐵路經委淩鴻勛為該鐵路工程處長
page 6	畫家徐悲鴻應港大之請
page 6	第一五五師第六日二十團團長駱秀禮
page 6	羅卓　今晚乘粵漢車轉南維
page 6	第四路軍總司令余漢
page 6	國府審計部長林雲陔
page 6	商會請免銀業買賣閒單貼花
page 6	省會警察局核議減征房捐警費　查舖　產價及租金數目將依照產價漲落計率征收
page 6	財部撥鉅款整理桂省金融近訊總額定千五百萬元由中中交三行借撥
page 6	省府計劃肅清省會乞丐辦法少壯者一律移赴墾植老弱者由救濟院收容
page 7	職司內庫突告失蹤
page 7	檢核存款失十萬元
page 7	懸獎購緝報告總行
page 7	歐亞空航拓展至港五月十八日派容克機南下年內將完成上海柏林航線
page 7	香港飛剪昨離港飛菲中航塞可斯機同時飛滬徐昌成談中美通航觀感
page 7	中航機飛滬
page 7	徐昌成談話
page 7	交通工具進步
page 7	與榮莊十會談
page 7	改善滬港空郵
page 7	情感益加密切
page 7	環球航線完成
page 7	世界大同起點
page 7	醫生登堂
page 7	遇事地點
page 7	情侶飲彈同死案之研究兩人死後仍互相偎倚肇事地點無打鬥痕蹟
page 7	不聞異聲
page 7	六米舴昨啟碇入粵九龍關發出免稅入口證廿餘張
page 7	死者遺書
page 7	完成郵政使命
page 7	廣東省立銀行港分行司庫員突告失蹤庫中有款同時失去十萬元經理人認該司庫挾款私逃
page 8	被告阻止鄰人救火
page 8	圖騙費用赴澳遊樂
page 8	死者被殺事出意外
page 8	未蓄殺機不算謀殺
page 8	被告律師發表意見
page 8	訂立欠單分期還債
page 8	追還欠款怒形於色
page 8	李全獻議施用悶煙
page 8	被告登堂自辯無罪
page 8	藥料七種製成捲煙
page 8	突翻前約索五百元
page 8	杜惠文談悶煙功效
page 8	偽稱還款誘張到家
page 8	藍帶勒頸香銷玉殞
page 8	偽造供詞意圖掩飾
page 8	屍身金飾盡行除下
page 8	購炭焚屍以圖滅跡
page 8	商會決請港府禁操縱赴星客票
page 8	內河紛開赤灣載客赴該地天后廟進香
page 8	研究委員會報告
page 8	中華醫學會四屆年會報告肆本屆增設眼耳喉鼻分科研究會新會所建築費現僅籌得三萬元
page 8	臬庭三審焚屍案被告人趙煜輝之供詞與張玉清同宿不祇一宵途中邂逅女先挑男後二人來往漸密同往澳門志在騙取金錢作短期遊樂杜惠文初欲以大箱藏屍拋棄於　外
page 10	致　會函
page 10	存款章程
page 10	慶蔣會結束會議定下月七日舉行
page 10	港聯會改選理事今日下午召開會員大會
page 10	鐘聲游泳場開放
page 10	干諾道中狂人跳樓殞命失業日久貧病交迫成狂
page 10	巴杜苗昨日檢閱施福旅
page 10	強姦樵婦案押候
page 10	數千份藥品抵綏
page 10	一路人深夜遇刺
page 10	維多利亞院停辦
page 10	普益會新廈落成
page 10	英日艦各一艘離港
page 10	廣東省銀行辦理派款存款昨函華商會請盡量介紹
page 11	同族兄弟挾恨謀殺
page 11	江門免稅米入口
page 11	李胡函請華僑投資開潮梅礦產
page 11	順屬八區發生謀殺滅屍案
page 11	五區專署限期完成埔饒公路達閩境
page 11	新會普及船民通俗教育
page 11	肇慶行商紛組公會
page 11	陳村貨艇中途沉沒
page 11	西南設軍警巡查處
page 11	百餘村民鬧鄉公所
page 11	鄉人聯請恢復交通
page 11	保安隊團捕案匪記
page 11	沙坪禁茶樓演淫劇
page 11	槍殺竊匪判處徒刑
page 11	商會再請裁水腳捐
page 11	大刀匪洗劫新興
page 11	港口之白日鉅竊案
page 11	反對抽附加築路費
page 11	財廳整理全省沙田辦法二
page 11	何寧癡談陽江稅警與私梟衝突經過拘獲兩人解省懲辦
page 14	王英活動經過
page 14	收伏豐寧土匪
page 14	西旗再度會議
page 14	察北私貨充斥
page 14	技術員抵化德
page 14	桂代表劉為章由京抵滬此行請中央整頓幣制
page 14	李白隨時可以來京
page 14	暫緩晉謁蔣委員長
page 14	出國計劃遠在去歲
page 14	請求中央整頓桂幣
page 14	長崎丸上抄獲私貨日浪人又毆傷關員此次行兇係有計劃之預謀全體關員極憤概將有表示
page 14	日本七十屆議會解散的導火線選舉法改正問題
page 14	綏東局勢漸緊匪偽再犯一觸即發德王秘密會議王英蠢然思動
page 15	海軍條約廢棄以後太平洋海軍形勢下
