page 1	英俄進行聯合中之日本
page 5	爛大船之戰績補述
page 5	軍政機關應協助新聞記者工作予以交通上最大之便利軍委會訓令各戰區遵辦
page 5	潭洲已無Ｘ蹤中山動員民眾組總預備隊Ｘ兵圖在海洲登陸不逞五邑交通尚未完全斷絕
page 5	我克潭洲激戰經過
page 5	中山完成戰時準備
page 5	總部代表視察前線
page 5	五邑交通未全斷絕
page 5	我游擊隊襲桂洲Ｘ
page 5	Ｘ艦兩艘圖侵海洲
page 5	壯士聯請扶傷抗Ｘ
page 5	寶安小輪遇Ｘ機之吃驚
page 5	犯鶴山Ｘ亦被襲退
page 5	東路戰況派潭Ｘ我激戰情形潮海Ｘ艦動態
page 5	李　魂擬具整理黨務方案
page 5	粵參議會籌備處先成立增設　補參議員
page 5	省政設計會即可組織成立
page 5	北線我Ｘ在對峙中張余兩司令昨巡視前防北路大軍仍集軍田新街一帶
page 5	調整軍事準備總攻
page 5	我Ｘ對峙沿線沉寂
page 5	廣州Ｘ軍赴援北線
page 5	粵路之Ｘ被我控制
page 5	第四戰區長官嚴禁官兵庇私
page 5	江會戰事仍在拉鋸中Ｘ犯牛灣單水口不逞Ｘ犯會城西南沙堤等處之激戰犯牛灣單水口Ｘ艇被圍困廣海Ｘ艦復集作江會擊援
page 6	密商機宜
page 6	抗戰計劃
page 6	補行宣誓
page 6	戰時金融
page 6	採辦糧米
page 6	東江南岸司令佈防水道防Ｘ突圍增灘公路我伏兵之收穫
page 6	佈置水道防Ｘ竄擾
page 6	小股Ｘ軍中伏被殲
page 6	李漢魂發表告廣東全省黨員書二
page 6	省振濟會撥款救濟災民並設義民輸送站
page 6	新會各區聯防會議維持各區治安增強抗戰力量
page 6	容桂Ｘ兵已大部撤退祇留Ｘ兵六十餘名駐守容奇日則登陸夜則下艦防我襲擊
page 6	戰區部重禁公務員煙嫖賭
page 6	台開兩縣府會商聯防計劃三埠安謐加恒
page 6	古鼎華奉委為四邑守備司令組開台水陸巡查隊
page 6	徐聞縣長資遣難民開墾
page 6	保衛　汕加緊準備各長官聯商抗戰計劃　於金融糧食之辦法
page 7	一賊入屋刺傷事主
page 7	鄰婦馳救亦被鎗惕
page 7	僑商請求保留各村碉樓
page 7	兒童保育會去週賣花成績
page 7	華商籌賑會議
page 7	西人墮海獲救
page 7	警探搜查大道中俱樂部
page 7	英釀酒家過港
page 7	女郎奮勇拯溺
page 7	猶太難民千名過港離德時財物悉被沒收
page 7	英海軍尋覓水雷
page 7	紅磡劫案詳臬
page 7	西加士輪被扣留經過英海軍當局派艦交涉無效英外部已向日政府提抗議
page 7	中藝劇團公演第三期今日開始
page 7	林馬坑村賊劫住戶連傷兩人事主曾三妹奮勇抗賊被刺傷鄰婦聞警　視被賊　槍射擊
page 8	女侍陳芳
page 8	極抱不平
page 8	防瘧運動
page 8	防瘧專家
page 8	蚊虫種類
page 8	每年經費
page 8	一致合作
page 8	財委會今日會議追加政費百廿餘萬元難民救濟費佔二十五萬元新九龍醫院展拓費十萬元
page 8	追逐被告
page 8	毆擊兩拳
page 8	港織棉布南洋銷場冷淡廠商亟謀設法補救
page 8	赴菲報聘港軍今夜出發一行十七人實力雄厚
page 8	昨晚籃球聯賽培英不敵東方乙組記者受挫　晨光
page 8	南華會昨開選舉大會周文治蟬聯會長顏成坤當選主席
page 8	昨日網球因雨　戰改今日被舉行
page 8	殺日人案三審證人目擊死者毆被告婦人陳紹坤仗義為被告鳴冤按察司昨親赴肇事地點查勘
