page 1	德外長何事赴意
page 3	英大使與意外相成立口頭協定將來由英供給煤斤與意意國或將機器代替貨款
page 3	蘇芬外交談判在急速進展中芬蘭否認已接納蘇聯提案談判確實消息即可以表露
page 5	拱北關卡昨晨遷移
page 5	日軍昨襲北山不逞
page 5	客述石岐失陷經過
page 5	石岐市內發生大火
page 5	我團隊襲香洲日軍
page 5	戰事重心仍在八區
page 5	廣州日軍迭施戒嚴南箕南邊鄉人多被捕均被指為我游擊便衣隊
page 5	我便衣隊炸毀小港段路橋續訊日軍又在南涌北滘兩鄉大肆焚殺
page 5	軍管區學員隊決定分派工作尤注意根絕煙賭
page 5	西江沿岸各鄉擴大自衛防止日艦艇侵擾綠林豪客之參加
page 5	戰地難童繼續到韶吳菊芳推進兒童教養
page 5	加緊推進兒童教養
page 5	嚴防漢奸刺探機關部隊駐地
page 5	廣花線日軍一部南撤我軍分路衝入龍翔衝至近郊肉搏戰甚激烈新街日軍犯蓮塘之劇戰禺北虎頭嶺日大捕鄉民
page 5	新街日軍竄犯蓮塘
page 5	禺北日軍擾虎頭嶺
page 5	我撲龍翔衝入近郊
page 5	日軍圖犯中山灣仔昨襲北山被我擊退拱北關卡已將物資遷移我遊擊隊襲擊香洲日軍中山戰事重心仍在八區某職員述石岐失陷經過詳情水節頭公路不能破壞之原因
page 6	推行節約儲金劃定十六縣為示範區由各界組儲金團舉行競賽成績優良者發給獎金獎狀
page 6	增加糧產計劃提倡小灌工程省行舉辦貸款
page 6	桑浦我軍自動轉移
page 6	青麻乞田血戰劇烈
page 6	提陽東南掀起劇戰
page 6	嶺東日軍擴大侵略海陸空聯犯揭陽炮台我軍在南溪擊潰日海軍桑浦山我軍向北轉移乞田青麻山爭奪甚烈
page 6	博羅縣長奉上峰令嘉獎粵北戰役助戰有功
page 6	四邑留韶同鄉商議救濟米荒安定金融望同鄉與政府合作
page 7	上環區隊
page 7	海旁區隊
page 7	特別區隊
page 7	灣仔區隊
page 7	對海區隊
page 7	澳門已有鮮魚運港澳政府取銷出口禁令
page 7	長洲發現鯨魚浮於海面噴水作戲噴出之水高十餘尺
page 7	中大服務團明日招待各界報告該團工作近況
page 7	各區成績
page 7	中環區隊
page 7	商人擬集資開闢港鯊公路
page 7	中國虎戲團昨晚開始義演為難童學校籌經費
page 7	賑聯會今會議
page 7	本港各僑團今日紀念總理忌辰吳鐵城致函孫夫人極表追慕總理之意
page 7	煤油米糧大批運往廣州巨型民船十餘艘載運
page 7	華商總會籌賑會募金勞軍成績良好昨已結束共募得國幣逾十萬元上環區募金隊成績為各隊之冠
page 8	陳述案由
page 8	一去不回
page 8	打死死者
page 8	被告自辯
page 8	經濟部再修訂發給國貨証明書辦法僑委會昨通告本港華商會
page 8	中央僑務委會來函
page 8	簽發國貨清單辦法
page 8	　又文李景康演講廣東文化
page 8	灣仔賭風又熾當街大開賭局
page 8	假冒戲票案被告詳臬定讞
page 8	中山振難會撥二萬元施賑中山戰地難民由意籍神父攜往散賑英振會撥出善款三柱
page 8	英振華分會
page 8	中國婦女會
page 8	粉嶺馬會星期日大賽馬
page 8	英戰慰勞會
page 8	廣東銀行獲利二百餘萬
page 8	本港法領署簽發護照新例
page 8	蔡公治喪會徵集蔡氏遺墨並向各界人士道謝陳誠等電唁蔡家屬
page 8	鳴謝各界
page 8	各方唁電
page 8	謀殺疑案詳臬
page 8	騙金飾案判決劉啟雲入獄一年
page 8	美大開辦救護班
page 8	上山捉跳蟲七歲小童慘被勒斃同遊鐵匠許玉滿被控犯謀殺罪威廉士律師述被告行兇之動機
page 10	東方體育會積極發展會務刻已著手興建游泳場十三屆徵求不日開始
page 10	新土耳其的經濟概況二
page 10	籃球戰訊
page 10	分日舉行陸運
page 10	英皇書院乒乓賽潘世安蟬聯冠軍
