page 1	調節粵省糧食問題
page 6	財政部所得稅廣東辦事處主任區兆榮
page 6	營業稅局解釋下級飯店三項　標準
page 7	安打臣演詞
page 7	巴度苗演講
page 7	郝特傑來信
page 7	香港長洲平山五小時內發生強劫案三宗一兩賊截劫醉兵六十餘元二看會鄉婦被同鄉劫金飾三四匪謀劫農夫住宅失敗
page 7	美銀行家卑阿遜昨日抵港卑氏來華與我國信用借款有關明晨乘廣州美女號專車晉省
page 7	市政衛生局定期開會李樹芬質問牛乳消毒問題禁售未消毒牛乳是否影響小店營業政府採取何步驟使牛奶充分供給
page 7	改善本港陪審制度之建議名額七名增至十二名
page 7	口出大言
page 7	電器工人墮樓死
page 7	嚴禁干預關員緝私軍人運私加等治罪第四路軍總部佈告
page 7	徐鼎銘招待各界解釋精神學功用
page 7	六月八日日蝕歷時凡七分四秒本港廣州可看見
page 7	觀購加冕紀念冊港童軍會之通啟
page 7	學生演說賽結果第一名民生書院楊若靜
page 7	本港義勇軍入伍人數仍嫌過少安打臣希望青年踴躍參加巴度苗亦勗義軍勤加操練
page 8	譚英皇加冕二
page 8	加冕之意義
page 8	人民之認可
page 8	宣誓
page 8	加冕椅
page 8	塗油與加冕
page 8	滬漁業團將南下
page 8	市虎噬傷兩路人
page 8	紅香爐峰特寫紅禍一
page 8	紅禍蔓延
page 8	為害莫大
page 8	挺而走險
page 8	銷場　港
page 8	英京銀價均趨跌
page 8	英美匯兌昨報縮
page 8	省法幣市情平穩
page 8	八九金價仍報升
page 8	舊中桂幣市極靜
page 8	滬外匯市情沉寂
page 8	廣州金融之市情
page 8	畫家徐悲鴻訪問記徐氏個展曾已定期開幕閉幕後再轉赴粵湘展覽
page 10	本港織造品增價
page 10	巴杜苗定期北上檢閱各地英駐軍
page 10	庫務司財政報告
page 10	反婢會昨開例會
page 10	精武會籌辦國術賽
page 10	國畫金石展覽昨訊
page 10	國醫雜誌出版消息
page 10	由歐乘車到第一人科士打述歐亞旅途觀感六莫斯科充滿了活力和實力訓練青年也像德國的嚴厲
page 11	汕市支配營稅額市商會擬逐家調查各行商大加反對將因此惹起波瀾
page 11	始興近訊三餘雅集開幕
page 11	普寧圍箍山錫礦建廳派員往視察
page 11	潮梅修圍防水患
page 11	協商懲兇撫卹辦法
page 11	台山捕賭慘案調查經過調查團認為鄉民無拒捕行為難屬要求懲兇並撫卹死傷者
page 11	難屬要求懲兇撫卹
page 11	清查田畝發生窒礙
page 11	廣梅鐵路月底興築全工程計劃已妥定
page 11	新運糾察處已成立
page 11	派員起獲被拐小童
page 11	舖宅捐下月杪撤銷
page 11	隊長誤買匪贓糾紛
page 11	江門下米連日繼續跌價
page 11	矮崗鄉移屍架禍案
page 11	撥屠場作醫院管業
page 11	馬崗鄉發生流行症
page 11	開平赤坎公安分局破獲白晝擄掠傷人案
page 14	泯滅漢苗界限謀組西南邊疆協會擬定組織緣起及組織原則高玉桂謝絕酬應積極籌備
page 14	充分揭開軍閥內幕日本淒慘的社會相二軍閥排演大陸政策南侵北擾一般人輾轉於非常時期之下矛盾局面結果何如
page 14	分函各界
page 14	積極籌備
page 14	組織緣起
page 14	組織原則
page 14	從消費轉變為產業的東京
page 14	智議分子的就職難
page 14	目的在　防蒙偽軍開始西進戰禍尚未至爆發時期某方起用王英等招匪
page 15	思想犯洪水強盜
page 15	刺汪宋案判決書八
page 15	貧無德義的農村賣身女
page 15	底流是軍閥的幕景
page 15	沒有並當折欠食兒
