page 1	新任英大使到華
page 3	希特勒向衝鋒隊演說極力攻擊布爾希維克主義
page 3	蘇俄旅行社被日警察搜查
page 3	那威冰山倒塌壓死數十人
page 3	愛爾蘭人赴西助攻共黨
page 3	他布斯夫人評論葡國現勢葡國暗助西叛軍
page 3	收回殖民地德人擴大宣傳
page 3	希特勒將有宣言發表傳將對俄絕交
page 3	派黃華表赴桂視察國選情形
page 4	我足球隊在日內瓦擊敗賽維蒂隊經過下上半時二比二結果三比二我隊三球均由李惠堂射入
page 4	工務局游樂會今晚舉行 水藝會地點南華游泳場時間下午八時正
page 4	二百咪四人接力泳光華足球隊參加丙組尋常杯積極練習今明日戰九龍及鐵路隊
page 4	公開甲乙組籃球賽明晚舉行頒獎禮由甲乙組冠軍作表演賽助慶
page 4	南華會友籃球比賽準期下午八時止截報名
page 4	友誼足球賽南華對工程改期本星期六B隊戰聖約瑟
page 4	八九金市價盤旋
page 4	昨日廣州西紙市
page 4	各行股票之市情
page 4	全港公開水運會今晚六時開始比賽在域多利舉行門券收二角
page 5	糖業不能撤銷統制理由建廳某秘書與記者談
page 5	刁作謙談北海中野案近況現仍在繼續調查中相信此事不致擴大
page 5	調查感覺困難
page 5	現仍設法調查
page 5	交部通訊隊昨已結束返省運輸處結束昨訊
page 5	經濟建委會成立委員專員之名單
page 5	程潛等抵桂之重要任務整理桂省軍務之商討白氏日內即來粵謁蔣蔣晤白後短期內返京白氏亦急於北上入京因籌備召開國防會議留粵中央軍陳誠指揮駐粵漢路者鄒洪指揮蔣召見粵中鉅商之表示
page 6	各縣土地局改隸地政局辦理
page 6	市小教職員對欠薪事之續呈
page 6	相士別有謀生術掛牌脫痣改顏代替卜卦談相
page 6	田雞三百隻幸而恢復自由
page 6	土造火柴恢復統稅廠商昨日請願詳情五推定陳爾卓等代表分向蔣委員長及統稅局請願請求緩徵火柴統稅之理由
page 6	兩廣鹽運機關暫未合併改組唐海安公畢即返粵運署某科長之談話
page 6	紀念週中之省主席報告到從化所見之感想分局長九時未起床
page 6	廣東銅鐵廠籌備委員會與英商百利實公司訂立建廠合同
page 6	順德第三區區雲端趙克中等發起
page 6	始興縣第六區師姑山全體礦工代表　德裕等三百餘人
page 6	廣東防空委員會
page 6	廣州青年會提倡國有學術
page 6	粵路正副局長淩鴻勛王仁康
page 6	粵省政府清理各地防務公司欠餉
page 6	中央在粵設新聞檢查所
page 6	蔣委員長昨十四日派出中委崔廣秀
page 6	第一五八師四七三旅團長陳樹堯
page 6	湘主席何鍵
page 6	南路西東艦隊司令部結束江　海防艦已分別酌調回防海虎等四江防艦仍留駐西江各段衛旅廣金等十艦已開返省河仲　五艦已回防東北江
page 7	本港方面預接電報
page 7	船上大車詳述經過
page 7	中西警探碼頭等候
page 7	該輪公司司理談話
page 7	粵安輪船搭客所述
page 7	農民護圍發槍警告
page 7	折回江門救治傷者
page 7	英兵揮刀刺傷三婦行兇後到警署自首
page 7	通濟艦昨已離港
page 7	慘　豔　卅年間浩火災劫火燒舊金山烽煙四起全市成爐三千粉黛玉沉香殞
page 7	一人斃命兩人受傷
page 7	華中各鐵路局長隨張嘉　南來攷察粵漢路各局長昨聯袂來港遊覽張氏明日來港轉輪北返
page 7	農人護圍鎗擊大利輪司舵人中彈斃命船主及一女教士受傷兩傷者折返江門醫理該輪延至今晨始抵港
page 8	醫生供述死者傷勢
page 8	檢驗結果斷定自
page 8	一刀割斷並非奇事
page 8	醫學顧問引證力辯
page 8	九娘自刺不合情理
page 8	菲島華僑商業概況一菲華商總會之報告
page 8	死者腸胃沾有毒液
page 8	本港國選之進行提導員吳寶　昨已抵港
page 8	預向友人研究死法
page 8	九龍英童學校新校舍開幕港督郝特傑到場主禮全部建築費五十萬元
page 8	觀禮人物
page 8	校長致詞
page 8	犀亞演說
page 8	港督答詞
page 8	新校內容
page 8	建築費用
page 8	買賣人口案判決兩被告一罰一釋
page 8	港府明年預算案定例局明日初讀
page 8	桃色血案昨三審國家醫院譚雅士醫生斷定伍係自殺九娘被剌伍腹中有毒液　一割而斷亦非奇事宋常熙醫生證明伍曾向其研究自　問題並常駕車送伍至九娘家時間多在黃昏後
page 10	德僑昨宴德總領
page 10	尖沙嘴劫案過堂
page 10	假冒車票案續審
page 10	美商擬投資本港設立偉大花紗廠
page 10	香島道汽車相撞
page 10	行竊布疋
page 10	懷有偽幣
page 10	意圖不軌
page 10	摸竊路人
page 10	被解潛回
page 10	西洋會慈善游藝會
page 10	兩婦人帶舖票被拘
page 10	英警官譚臣將結婚
page 10	後備警察華隊消息
page 10	本港意領否認意國有共黨組織
page 11	省府派員指導各縣辦新運
page 11	番禺實行併區八區併編寫四區
page 11	災民分赴老隆就食
page 11	匪黨擲彈恐嚇押店
page 11	　礦一塊誤傳黃金
page 11	鐵嶺蘭香八景之一
page 11	設礦務局宣傳收買
page 11	農林破產開礦眾多
page 11	洞崩壓人不識方法
page 11	人命危險收歸官辦
page 11	記普寧鐵山採鎢之經過初演拾金一齣實為開礦動機
page 11	汕煤炭火柴兩稅問題煤炭商請減營業稅火柴商因統稅問題擬暫停出貨二個月
page 11	海口僑務處將恢復
page 11	禪商紛組同業公會
page 11	大良匪徒劫掠傷人
page 11	西樵各鄉會議防匪
page 11	羅邊酒艇中途被劫
page 11	各軍撤至三水情形
page 14	我們只要
page 14	瑞士擴軍
page 14	瑞士人口
page 14	可是總結
page 14	瑞士並不
page 14	瑞士擴軍二
page 14	我們再來
page 14	這樣地形
page 14	瑞士北方
page 14	充實自衛鞏固國防滇省實行徵兵制規定年滿廿歲男子均應服役分常備補充及國民兵役三種由滇黔剿匪總部及省府會銜公佈施行
page 15	瑞士軍事
page 15	所以德軍
page 15	德國如擬
page 15	由戲言弄假成真戴院長海外收乾女一串　珠一首詩就算紀念禮物曾仲鳴也附帶倒霉
page 15	遭雨襲狼狽不堪
page 15	中國通能讀四書
page 15	收乾女吟詩留念
page 15	由鬍子說到乾女
page 15	菩提子
page 15	敲竹槓乾爺有術
page 15	試問瑞士
