page 1	粵省將設行政督察專員
page 6	將設全省土地處
page 6	國大代表選舉各區開票所辦事通則
page 6	桔水運銷商請求續辦之原呈
page 6	贛省主席派工商專員來粵
page 6	省營肥田料廠主任易人
page 6	菊賽會開徵出品
page 6	廣州市社會局整頓市小學昨訊　教廳　粵市義教辦法
page 7	協定可獲批准
page 7	本年內可開航
page 7	世界之航空網
page 7	威力談北上經過
page 7	行旅須嚴防竊匪廣九車站又獲一賊
page 7	購機壽蔣擴大集款範圍商會定期召開各界聯席會議
page 7	召集各界會議
page 7	通告各界參加
page 7	電器商會進行
page 7	請改劃中市替地
page 7	陳漢光昨抵港明日出國行期半年所部交棄肇統率
page 7	解釋國選選舉法國選　事務所佈告
page 7	集團婚演講秩序今晚七時開始
page 7	黃季陸昨日赴桂
page 7	中美航空線年內可與本港聯接三藩市至小呂宋段定期開航英美郵運協定正候英廷批復
page 8	父母之命
page 8	不與　禮
page 8	掌儂之嘴
page 8	黃華表謁黃紹雄
page 8	拒絕氏返
page 8	不修葺舊屋被罰
page 8	多拉多機昨抵港
page 8	英商集資開採林馬坑礦產
page 8	保護兒童會會議各區視察員之報告
page 8	三批織造品運星
page 8	廣九鐵路更改行車時間時間表昨日已公佈
page 8	英砲兵隊長逝世
page 8	殷商黃炳純昨逝世
page 8	少婦向夫討贍養費小姨到探惹出家庭糾紛庶姑謂小姨不與為禮夫婿順母逐嬌妻出門
page 10	溺斃七童案訊結陪審員認各童死於意外
page 10	盜竊電器
page 10	初級法庭案彙誌
page 10	身懷偽幣
page 10	懷械圖劫
page 10	遷婢不報
page 10	五人意外受重傷
page 10	車輛失事之統計
page 10	捐助救傷隊者題名
page 10	精武會攝影賽揭曉
page 10	魚欄贊成組織漁民協進會
page 11	風雨肆虐成災後中山八區耕農請減少捐推派代表晉省
page 11	飭查灣仔抽過海費
page 11	欖鎮之收賬客浮屍
page 11	財廳令撤銷齋醮
page 11	民食恐慌禁米出口
page 11	區鄉借款災農復耕
page 11	百二十歲之壽婦未獲褒揚昨已逝世
page 11	神崗劫殺案請緝匪
page 11	惠陽公祭陳炯明之情形
page 11	匪首劉女騷擾地方
page 11	中山邑人公開介紹國大代表候選人
page 11	余銘
page 11	歐陽駒
page 11	李郁焜
page 11	李仙根
page 11	韓江警衛營開赴饒平專車在　鏡傾覆輾斃士兵一名陳紹武團已抵饒該連昨回防汕市
page 14	第二次大戰前夕世界空軍爭霸戰
page 14	未來統帥　其中日新陸軍將官全貌
page 15	產地檢驗結果美滿
page 15	政府統制成績圓滿紅茶運銷處結束出口茶值逾三百萬各行借款如數清償
