page 1	關於蘇聯訪問團
page 6	戰區登記學生教廳分發入學澳赴韶生已有救濟辦法
page 6	所謂江防部原來如此經費缺乏職員無事可辦招桂章憤悶飛寧向汪交涉
page 6	新開路我軍進迫會城近郊我空軍昨再飛三灶島炸日石岐情勢混亂近郊常聞槍聲和平軍一部又向我軍投誠
page 7	衛生局謀消滅霍亂症嚴厲取締不潔小販隨時通知警察拘捕
page 7	大捕不潔食物小販
page 7	衛生局與警察合作
page 7	客談上海近況貧富　不宜居
page 7	澳洲華僑服務團抵港稍事勾留即赴韶關
page 7	救濟學生會二次審查結果合格者四十五人
page 7	首批歸僑明日行省賑濟會派員負責指導
page 7	廣九路英段日內恢復通車
page 7	住宅聯會開醫師座談會討論防範乾腳氣症
page 7	中西防空員決定同時待遇
page 7	東北江導行社護送學生赴韶
page 7	我國失業海員估計約達萬人
page 7	女學生文藝會港府已准立案
page 7	本港消防當局決劃港九為十二區趕製滅火機多輛以供戰時差遣消防工作為防空計劃重要部份
page 8	省澳輪尚未復航
page 8	港越班輪照常開行
page 8	英僑祈禱勝利代督領導舉行
page 8	太太們疏散後汽車司機的生活
page 8	日圖奪回本港市場決在港重組日本商會並設貨樣廳擴大宣傳
page 8	留東同學會四次聯誼會紀
page 8	港大今日復課本屆學生激增
page 8	超立社提倡工人消費合作擬組織消費合作社
page 8	梁瓞綿談
page 8	組織簡章
page 8	葵涌海面漁船被劫海盜四名兇手惡如虎船上桅櫓亦被毀折
page 8	三水同鄉聯歡
page 8	開設私寨疑犯已定今晨提堂
page 8	孔教學院講學
page 8	嶺大招生揭曉取錄一百二十一人
page 8	女子跳樓慘死
page 8	劫案獲一疑犯
page 8	墮落粉嶺日機昨日尚未　去
page 8	振成商學院開課
page 8	省港航運恢復無期省澳輪亦並未復航前由澳上省兩日輪僅係空船傳本港政府禁英輪赴越不確
page 10	東方會實力雄厚五比一勝元華上半時二比一下半時三比零金海　滔各建兩功洽興一隻
page 10	美
page 10	港
page 10	戰情
page 10	昨日棒球義賽美艦聯隊獲得勝利港隊力抗以三比六敗陣美軍又擊出全壘打兩記
page 10	體協會今會議
page 10	夏令籃球戰訊
page 10	東方會近訊
