page 1	歐局之危機
page 6	海康縣長易人由丘桂興接充
page 6	粵北各界昨公祭唐繼虞
page 6	橫門收復地實地調查記二
page 7	廠商電器兩會成績
page 7	五大公司之獻金台
page 7	疋頭行公會之勢烈
page 7	南洋公司昨獻萬金
page 7	銀界獻花金超過十萬
page 7	港渝港菲無線電話今日正式通話三地長官主持通話禮本掃記者亦承邀參加
page 7	中華體育會之成績
page 7	紅磡各界熱烈獻金
page 7	獻金運動之第五日各界又捐獻數萬元南洋兄弟煙草公司慨獻萬金銀業行同人捐獻已超過十萬
page 8	超立社義賣己結束
page 8	商賑會舉行茶話會
page 8	三區今日繼續義賣
page 8	不是冤枉
page 8	認人手續
page 8	強姦老婦疑案昨續審律師窮詰原告被辱經過證供齊集官命詳臬定讞
page 8	腹部甚痛
page 8	永祥金舖械劫案詳臬曾生黎有始終否認參加行劫邱生祇認作賊否認持槍殺人
page 8	銀礦灣小輪將加開特別班
page 8	學生賑濟會派隊下鄉宣傳
page 8	歌伶義唱籌得二千餘元
page 8	婦慰會演劇籌得六千餘元
page 8	淺水灣之怪魚長僅六尺闊十尺
page 8	有生俱樂部賭案昨日判決八十四人均被懲罰
page 8	戲院職工總會贈旗地獻金成績
page 8	新輪定期下水
page 8	周雍能昨抵港商討中央軍校招生辦法
page 8	練習飛機失事
page 8	戲劇職工會近況
page 8	夏令籃球昨日德貞與大中告捷今日虹虹對丁丑仿林對正社
page 8	今明兩晚水球賽均展期
page 8	九龍小型球會訊
page 8	中西環及深水　三區小販開始義賣九龍城區義賣決展期兩天華商總會歡迎小販參加義賣
page 11	張發奎與繆培南北伐時代是老搭　發生意見各奔前程別來數載現又合作說過銷過以國為重最近在粵省指揮作一呈
