page 1	南洋暴風雨的前夜
page 6	江會日軍陸續撤退
page 6	台城當局嚴緝附日份子
page 6	台山發動征募義民寒衣
page 6	我游擊隊控制內河
page 6	中山縣征收過境稅
page 6	第四戰區即將撤銷中央決強化粵省反攻實力現駐桂機械化部隊一部調粵張發奎氏已準備調任某要職
page 7	移民法例提出討論
page 7	合法移民應予便利
page 7	證書費應盡量減低
page 7	執行人員應有禮貌
page 7	候訊移民不得虐待
page 7	適應環境之一步驟
page 7	移民條例正式通過
page 7	律政司繼提出保證
page 7	能自給者仍受歡迎
page 7	利便九龍僑民領證
page 7	漁民協會換物會昨開幕售換物券已得八千餘元
page 7	滬兩賣貨員攜妓來港消遣萬餘元貨項被妓盜去東主追究控以虧空罪
page 7	留營難民統計一萬零四百二十四名
page 7	中青救護團慈善餐舞會明晚在半島酒店舉行本港閨秀多參加表演
page 7	立法局昨通過移民法華人代表原則贊同但表示遺憾律政司保證不使旅客感覺困難四年居民證費由十元減為六元
page 8	登台自辯
page 8	已經賞面
page 8	罪名成立
page 8	西營盤第一街骰寶檔重張旂鼓公然蓄搭帳幕開賭男女賭徒如蟻附羶
page 8	印刷業工友要求改良待遇昨向資方提出十條件印刷商會將商討應付
page 8	僑校教員再要求加薪力請僑教機關予以援助
page 8	太子道鉅劫案詳臬三被告直認行劫不諱兩被告則認分得贓物
page 8	港女童軍年會史美夫人蒞場訓話
page 8	佛山輪今晨赴省昨僅售出客票五十張日輪船白銀丸已抵港
page 8	油船被焚餘音損失六萬餘元失蹤榜人料被炸死
page 8	本港海軍司令易人彼得少將將離港高淩遜繼任
page 8	代督巡視監獄
page 8	華人代表昨晚歡宴星督中西官紳百餘人作陪
page 8	恫嚇疑案押候
page 8	建國攝影院獻金
page 8	醫務總監將接見華籍西醫代表解釋簽防疫證問題
page 8	三賊截劫少婦途人馳救一賊被捕
page 8	截劫勒索罪名成立三個更練均處徒刑按察司痛斥被告等不知自愛身為公僕不能衛民反而害民
page 10	三團體舉辦足球義賽定下月廿二日舉行
page 10	學籃賽昨僅一場戰事初級美爾頓輕取仿林今日中初級各有一場
page 10	港澳乒乓籌賑賽本月卅日舉行
page 10	仿林中學與華雄會擬合辦男女籃球義賽為基督教浸信會賑災會籌款
page 10	港九校際乒乓賽明日止截報名
page 10	光華本週陣容
page 10	記者小型足球隊今日集中訓練遴選征澳代表
