page 1	湘贛戰役
page 6	粵各級幹部訓練實施辦法施行新制之十九縣先設訓練所南路七八九一行政區設訓練班
page 6	游擊班昨結業
page 6	訓練方針
page 6	次第設立
page 6	各種肥料施用指導
page 6	農局督導實施辦法
page 6	普通施肥注意事項
page 6	粵建廳增加本省農產農林局訂肥料改良計劃省府昨經通過公佈施行並派員指導各農戶改善
page 6	肥料製造改良方法
page 6	訓練內容
page 6	粵省政聞誌要
page 7	謀奪舖位
page 7	商場習見
page 7	文化前途
page 7	徵求傷兵之友運動港九僑工熱烈推行參加社團已達四五十個
page 7	公煙求過于供因私煙價格暴漲
page 7	新界農產本造可望豐收
page 7	馳名普洱茶到港
page 7	上中環決組居民協會
page 7	港府將組織特委會審查戰稅徵收法案明日立法局會議可望通過修正防止迫遷法同時討論
page 7	車輛失事統計去週死三人傷二十四人
page 7	節約徵文比賽延期至廿五日截止
page 7	義風社成立禮定廿一日舉行
page 7	林風眠畫展定二十日　幕
page 7	港九住客聯合會請政府保障商店學校制止業主迫遷與住戶同樣待遇呈文昨已脫稿決於短期內呈遞
page 8	嚴禁　街執拾煙頭輾轉吸食足以傳染疾病昨有翻造香煙者被重罰
page 8	名劇定期義演
page 8	馬頭圍道大火樓宇三層被焚此次損失約萬餘元傳有婦孺兩人焚斃
page 8	澳門馬票派獎領首獎名為許立三
page 8	消防局員全體出動
page 8	損失統計約萬餘元
page 8	傢私衣物盡付一炬
page 8	嘉林邊道木屋被焚
page 8	孤軍誤殺案證據不足被告吳桂榮無罪省釋
page 8	一九三九年結婚註冊人數共七百八十一對
page 8	海昌茶室劫案定期正式提訊
page 8	黃啟明逝世紀念
page 8	鄒卓立在港逝世
page 8	高級法庭定期開審刑案是期案件凡甘五宗
page 8	巴士輾斃婦人
page 8	竊匪被毆斃命
page 8	樓中住客狼狽逃避
page 8	烈焰中救出一小童
page 8	好夢方酣突告火警
page 8	違犯節省陽光法例案法官持慎重態度改日宣判
page 8	工合促進社籌辦慈善餐舞定下月十七晚舉行
page 8	不甘為敵利用丹挪商船紛紛來港丹輪巴拿馬號昨日已由菲開到挪輪告郎域根獲准運貨赴海防
page 10	華人游泳會徵求展期結束
page 10	籌振會運動員度身時間擬定
page 10	菲女子籃球隊今日抵港
page 10	東方三傳捷報五比一擊敗拉圖倫隊侯澄滔李義臣表演出色
page 10	今日南華南渡海征光華會下午五時對陣界限街
page 10	昨日雛鳳敗退加山一比零洋水兵僅勝
