page 1	廢除苛雜當自杜絕　捐始
page 4	中華水球隊戰炮兵工程隊今晚八時在該會游泳場
page 4	精武會友搏擊重要比賽區興漢戰陳夢幻
page 4	勵行社點將戰　魚
page 4	澳門乒乓勁旅征港
page 4	英京銀價無變動
page 4	公開甲組籃球賽青年會再戰南華甲曾埋頭苦練雪前敗之恥南華知不可侮全力應戰除此場乙組有三場戰事今晚收入場券略示限制
page 5	新任省府主席擬本月十日就職新任廳長日內抵省蔣氏行程尚無確訊
page 5	汕商會再請免洋米稅昨再上財政部電文
page 5	粵省府改組後廣東鋼鐵廠承辦問題黃主席召見舊委員諮詢胡繼賢力主繼續完成此偉大工業承辦問題須呈實業部核議
page 5	新市長就任後各局之改組消息蒲良柱將任社教局長
page 5	汕商請撤苛稅續誌
page 5	中央法幣四百萬將運省訊
page 5	總部軍墾處裁撤昨已結束完竣
page 5	桂局高省和平中萬耀煌師限即開南路黃慕松銜蔣命昨在海軍同學會開軍要會議余漢謀催各新委縣長赴任協固邊境
page 6	廣州市商會請撤礦業附加費
page 6	沈載和談省銀行之近況
page 6	陳慶雲接收空這航空分署即成立空校易名中央校
page 6	醫遼訪問陳策記
page 6	粵小洋析大洋問題李泰初覆黃元彬再論加三比率
page 6	軍事要訊彙記陳濟南團移陽江
page 6	羅梓任副參長
page 6	陳漢光師之團長
page 6	第二師改編完竣
page 6	韓江暴漲堤潰成災東堤及澄海各堤之崩潰各區鄉已紛紛籌備施賬
page 6	市小教職員電劉紀文催發欠薪各校代表晉謁市長
page 6	中央軍八十師陳師長抵潮之情形禁止低折中央法幣佈告禁止各種賭博
page 7	岑氏談話
page 7	劉氏談話
page 7	岑氏晉省
page 7	余氏談話
page 7	王許行期
page 7	李星衢已奉到國大選舉委任令
page 7	湘商人電告成立拒私會
page 7	士摩烈過港赴滬
page 7	胡啟勛赴英留學
page 7	水產學會常會期從星洲運到奇魚多種
page 7	陳芝馨過港赴粵
page 7	退伍軍官發表談話
page 7	永績艦昨已離港
page 7	新任粵建設廳長劉維熾昨日已抵港岑學侶汪宗洙同輪南下王應榆許崇清明日可到
page 8	外輪減覆不受影響
page 8	航行南洋在策劃中
page 8	新訂到期日間發表
page 8	展長航線至青島止
page 8	颶風又有襲港勢
page 8	陳濟棠兄弟擬日間出洋搭亞林美士輪赴法
page 8	坳背壟村謀殺案詳臬定讞難屍官述檢驗死者之經過
page 8	刺汪案疑犯決上訴英京輔政司與冼律師之談話
page 8	四歲女童下樓跌傷
page 8	九龍關公署新佈告
page 8	外輪紛紛減價後招商局輪船客仍擠擁海元等三輪決展長航線由粵起行以青島為終點
page 10	侮辱少女案提堂
page 10	會計公會將成立
page 10	汽車又傷兩小童
page 10	初級法庭案彙誌
page 10	私攜軟鞭
page 10	身懷淫書
page 10	傷害他人
page 10	少女作賊
page 10	假冒車票
page 10	港督參觀六人畫展
page 10	苦力運鐵條被壓傷
page 10	美互助團職員過港
page 10	本港昨所得雨水
page 10	衛生醫官時症報告
page 10	國醫學會之新職員
page 10	覺先劇團昨日赴星
page 10	旅行家客查江
page 11	潮屬兩船沉沒記南澳南澳巡　近由海面弋巡
page 11	第三區屬奧頭鄉瀕海地帶
page 11	風雨為災損失不少
page 11	請撤銷商店捐原文
page 11	結黨偷蠔呈請查究
page 11	擊斃行人醞釀械鬥
page 11	九江錢行西謀殺案
page 11	煙商又請撤銷專賣
page 11	韓江渡頭堤之崩決
page 11	南海爆竹廠火警
page 11	靈山縣地震調查經過六
page 11	東莞二區區長新舊任交代波折
page 11	駐四邑第十師調動中各鄉輪渡來往愆期因多被僱運兵
page 14	對於新職表示不就
page 14	中央仍以寬大為懷
page 14	留滬休養暫不他往
page 14	南洋商業考察團在菲舉行國貨展覽會我國僑胞均表示熱烈歡迎六日離菲乘輪往爪哇泗水
page 14	碼頭歡迎
page 14	分別拜會
page 14	發表宣言
page 14	招待秩序
page 14	在菲日程
page 14	計順將宴考察團
page 14	訂期開聯席會議
page 14	與布商會之會議
page 14	旅滬川人電政府力爭主權誓死反對日本在成都設領必要時召集旅滬川人開會
page 14	蘇俄在近東活躍情形
page 14	新任桂綏靖主任黃紹雄辭不就任在滬休養暫不赴廬或晉京
page 15	廈門之商利貸台灣人剝削方法駭人聽聞政府現設貸款所從事救濟
page 15	西班牙動亂的展望
page 15	世運大會發起人寇佩丁男爵下一個真正的人道主義者四十年前努力恢復大會親處擬定大會開幕儀式謂運動會之真義乃奮鬥
page 16	論電影刊物的銷沉影刊中的銷沉暮氣讓我們來把它趕走吧
page 16	電軍碼男主角高占非尚未來京預算經費三萬六千元女主角威莉呼聲最高
page 16	商務出版電影叢書
page 16	大觀失去鞋抽
page 16	天下心魔
page 16	理想中的影星美女
