page 1	希特勒演詞之分析
page 3	英工程師定期罷工遊行要求政府以軍火供給西共和政府
page 3	希特勒發表演詞力主收回舊殖民地自承擁護意國援助西國民軍竟同情於日本ＸＸ侵略行動
page 4	傳問證人
page 4	供詞大意
page 4	肇事地點
page 4	疋頭公會賑濟桂省災民
page 4	海軍定期操炮
page 4	格連公司新輪一艘抵港
page 4	還債運動塘西　又　響應
page 4	果販三次義賣短期內可實行
page 4	崇正會繼續募捐
page 4	鎗傷西警案詳臬定讞被告辯詞留在高級　庭發表
page 5	潮海頻有Ｘ艦過境但潮汕形勢已和緩戰時亟待解決兩問題請多發輔幣免洋米稅東路Ｘ軍採取守勢
page 5	三水河口Ｘ軍續增再佔木棉欖崗炮轟馬房Ｘ圖假道蘆苞犯赤日坭展其迂迴戰略八桂健兒繼續東下助戰Ｘ野心不得逞
page 5	三水Ｘ軍挺進欖崗
page 5	八桂健兒源源過肇
page 5	政工服務團抵達西江工作
page 5	薛岳任第九戰區司令長官後半月來湘贛殲Ｘ捷報
page 5	Ｘ源源增兵後九江附近民成餓殍偽維持會助Ｘ虐民
page 5	增從間我Ｘ軍情粵北大戰將在英德源潭間增城Ｘ出犯和鄉被我痛殲新街橫潭小布Ｘ軍情無變
page 5	大會戰將展開
page 5	魁星樓Ｘ慘敗
page 5	Ｘ軍昨佔炭步
page 5	Ｘ築太平機場
page 5	華林古寺遺跡遭劫五百羅漢被Ｘ擄去經過菩薩只知抵眉金剛空有怒目寺僧只合十泣別而已
page 5	順德各鄉發現抗Ｘ連索
page 5	李鄧部隊開到後西江我軍已開始採攻勢張發奎到前線視察軍威大振我急撲攻小北江Ｘ　於應付
page 6	高棉華僑請懲汪精衛電
page 6	粵省府紀念週顧翊群報告財政計劃壹
page 6	西江各界之紀念一二八並出發前線慰勞將士
page 6	戰區　生登記法已頒佈指定後方各縣府及省立學校負責
page 6	潮汕僑團電勗僑胞救國
page 6	Ｘ犯東莞橫瀝被我團隊伏擊Ｘ　又　深圳
page 6	Ｘ蹄所至幾無倖存三水全縣災情慘重無路無食難民達五萬餘旅港同鄉擬定施賑計劃
page 6	Ｘ機在三埠轟炸小輪小輪沉沒幸無傷人
page 6	中山自衛團俘獲Ｘ艇並獲子彈手溜彈甚多
page 6	潿洲島七十餘艘被焚漁船難民三十四名抵瓊山
page 6	瓊崖當局決強化緝私環島增設三分所
page 6	瓊崖儋縣大械鬥案傷廿四人死十二命決鬥六　茲已和解
page 6	械鬥起因
page 6	調解經過
page 6	具結了事
page 6	兩次遭劫後之市橋劫後商店損失之調查團隊護衛地方尚安謐
page 7	乘機搾取
page 7	收回房屋
page 7	損失賠償
page 7	Ｘ經濟將崩潰七八月來人民負擔稅額激增直接間接每人已超過一百圓
page 7	英國遠東艦隊大操三月中旬在星舉行
page 7	舊鎳幣將停用庫務司之佈告
page 7	法例草案
page 7	緬華僑救護隊在惠陽服務經過
page 7	紐西蘭昨地震本港地震儀亦有紀錄
page 7	港府修改限制迫遷法例廢止業主收回房屋權無論用強力或和平手段收回　屋住客均得向業主要求賠償損失費
page 8	賑聯會　議決撥五千元賑濟桂難民會員入會　改　會員捐款東莞會即席慨捐二千元
page 8	Ｘ又焚燬漁船一艘漁人廿餘名幸獲脫險
page 8	新界難民三月來狀況一賑聯會調查組報告
page 8	張韶石謝熙合辦書畫展覽
page 8	娶童養媳不同買賣人口買賣女童疑案註消
page 8	航海客控嬌妻別戀海外歸來香閨突遇不速客
page 8	馮郭麗珍
page 8	六賊械劫廣東道住戶掠去財物共值三百餘元
page 8	在吾家內
page 8	有乖婦道
page 8	英帝航機昨飛河內中途又遭日艦槍擊雖無損害機中乘客已吃驚不少該機起　前已將行程通告日方
page 11	友誼球賽消息
page 11	記者體特會議決要案多項
page 11	學界體育會今開常務會議
page 11	省體專開座談會
page 11	足球總會訂定港菲埠際賽券價南華會員可托該會代為定座
