page 1	綏東問題不容忽視
page 6	粵路全線通車實現廣州赴衡州北行車明日試車現定每星期對開快車各二次擬行夜車二十四小時可抵達南北行車票價以大洋為本位
page 6	塌屋洩電
page 6	傷斃人命
page 6	水浸街道
page 6	水陸交通
page 6	河南與河面損失情形另詳
page 6	省府現定今十八日星期二召開第一次常務會議時
page 6	廣東憲兵司令李江
page 6	廣東絲業研究所董事會主席吳殼五
page 6	財政部專員兼上海商品檢　局長蔡無忌
page 6	代交通部長俞飛鵬昨視察無線電管委會
page 6	粵空軍原定昨十七日分批乘招商局新浦泰順兩輪北上赴杭州
page 6	粵黨政軍長官昨日宣誓就職紀盛蔣委員長親臨監誓授印
page 7	鯉魚門外六輪遇風
page 7	新寧輪船被擊沉沒
page 7	救星赴援僅死一人
page 7	錨鍊吹斷貨船遇險
page 7	粵海鶖艦吹上陸地
page 7	碼頭被毀溺幣兩人
page 7	潮州安兩輪擱淺
page 7	鹽船沉沒溺死二人
page 7	大批魚雷被浪沖去
page 7	荃灣海面小輪失蹤
page 7	世運會已閉幕
page 7	佛山輪救生七漁人
page 7	颶風過後海旁情形
page 7	銅鑼灣塌屋死二人
page 7	內河輪船均獲安全
page 7	一夜風雨竟成浩劫沉舟塌屋傷斃人命百餘占新寧輪被擊開兩段沉沒損失最重般含道七省年被吹落深坑均慘遭滅頂天文台昨午已除下風球風牡丹江澳門吹去
page 8	棚廠倒塌傷斃多命
page 8	籐店老板財散人安
page 8	七人墮坑被水沖斃
page 8	九龍塌屋死傷四人
page 8	電線洩火焚斃三人
page 8	路軌毀壞火車誤點
page 8	北角泳場損失甚重
page 8	警察趕緊辦理善後
page 8	匪徒乘機四出活動
page 8	各區樹木多被擊折
page 8	監獄天面被風揭去
page 8	碧士庇日間赴滬與中航公司商聯運事宜
page 8	請減差餉難獲准某巨商之談話
page 8	兩人服毒幸遇救
page 8	紅磡血案昨續審
page 8	中央院今日演魔術
page 8	溫毓慶唐惜芬等過港赴粵溫南來係整頓電政唐氏視察教育狀況
page 8	颶風又向澳門襲擊新口岸戲棚跑狗場均被毀旺廈發生火災焚屋宇兩間
page 10	籌建英皇紀念物華人代表請港督領導進行
page 10	勃利達今日演講
page 10	請減電費等進行
page 10	五邑工商會懇親會
page 10	雅麗醫院今日年會
page 10	先施七夕展覽會紀
page 10	粵留日學生近況張迦陵抵港之談話
page 11	三桂河面覆舟溺斃人命
page 11	民教館設竹工訓練
page 11	五和區暫緩設警察
page 11	橫水渡沉幣卅餘人
page 11	三江潦水漸退
page 11	三江水勢
page 11	省河水勢
page 11	佛山瓦巷火警傷人
page 11	江門商人集議緝私
page 11	各縣請廢苛捐續誌
page 14	有待中央協力湘省實力江湖兼治進行中的水利工程
page 14	濱湖堤垸官督民修
page 14	一年來的堵口復堤
page 14	今後各種治水計劃
page 14	紫金山天文台建築後我天文界地位提高研究太陽行星恒星參考古籍與國際合作
page 15	公司土窯　
page 15	保晉最早
page 15	煤業前途
page 15	環繞中歐和巴爾幹的國際糾紛五
page 15	煤質第一
page 15	成本低廉
page 15	銷路統制
page 15	需要發展
page 15	山西煤產蘊藏豐富晉北煤質在世界堪稱第一但以環境關係須另籌發展
