page 1	英法蘇軍事協定
page 8	惠陽青年會昨日招待各界
page 8	住宿問題在香港
page 8	整日下雨馬場濕滑熱門馬昨多告失敗騎師韋耀章被罰停賽暄氏捲土重來勝兩場
page 8	四邑籌賑會連日沿門勸捐昨已募得五千餘元
page 8	中華義學招生報名難童已達三千人該校原定計劃僅取錄一千名照情形觀察有擴充學額必要
page 10	真光女子中學運動大會盛況
page 10	開會秩序
page 10	校長致詞
page 10	表演情形
page 10	南粵體育會足球比賽近訊
page 10	記者會海浴今午二時一刻出發
page 10	南華籃球部今晚開祝捷會
page 10	太古職工杯戰績
page 10	足球義賽昨又為雨所阻準今日舉行雖遇天雨決不再展期
page 11	晉察冀邊區的民眾組織與武裝
