page 1	英蘇談判之展望
page 5	Ｘ兵開抵陳村拉去壯丁多多
page 5	省府再嚴禁行使硬幣所屬如遇行駛白銀者應將之兌換法幣行駛
page 5	Ｘ退劫被三面夾攻
page 5	發生激戰毀Ｘ戰車
page 5	六二高地Ｘ又受創
page 5	Ｘ犯東江六二高地受創福和以北我分三路攻Ｘ畢村北廿里我伏兵四起Ｘ潰敗後花間Ｘ機頻出現飛炸我陣地
page 5	福和以北我軍雲集
page 5	花縣畢村伏乒襲Ｘ
page 5	Ｘ機向我陣地投彈
page 5	省救護隊搶救江會嬰孩在四邑設收容輸送站
page 5	古鼎華函香港僑團請捐雨衣藥物
page 5	儲糧委會成立
page 5	商店抽訓壯丁省府解釋疑義
page 5	戰區官吏非奉命令不得離職省府重申前令飭屬遵行
page 5	清從線上一
page 5	水產校展覽會
page 5	Ｘ犯三江受創後仍圖再逞九日分路進犯又被擊退新沙牛牯臂戰事之劇烈Ｘ機轉赴中山疊石投彈外海方面Ｘ艦艇又增加
page 6	督導辦法
page 6	嚴令辦理
page 6	大良Ｘ營被襲我獲勝利紫坭鄉民憤殲頑Ｘ
page 6	大良我Ｘ巷戰
page 6	粵財廳要政近誌解釋免征地稅辦法獎勵墾荒補助壯丁隊服裝費清理積案
page 6	台山奉准再購免稅洋米共一萬公斤
page 6	Ｘ機昨又狂炸四會投彈六七十塌屋數十間死傷四百餘
page 6	紫坭鄉民殲Ｘ
page 6	高要縣府紀念禁煙
page 6	恩平易長
page 6	兵役會派員下縣宣傳役政
page 6	新會縣府槍決匪犯
page 6	台山縣府奉令實行化公路鐵路為田派員專責督導限十日前完竣征工不力藉詞推宕拘留嚴辦
page 7	經費報告
page 7	當然理事
page 7	新任理事
page 7	金錫儀闡述港府金融政策中國法幣匯價變動與港幣無關本港政府絕無貶低港圓價值意
page 7	六邑籌賑會遊藝會今開幕一連兩日夜秩序豐富
page 7	學賑會會議紀不派代表出席世界學生會
page 7	劫金舖案押候兩被告加控潛回罪
page 7	月來大雨之結果全港水塘已滿九龍銀禧水塘亦僅差十六尺存水雖多用水反較去年減少
page 7	兒童保育會會員大會選出下屆理事一百名集中人力物力下屆成績當更佳院長何艾齡報告一年來之工作
page 8	一九三八年度五十五行商業之回顧二柴炭西藥求過于供兩行均獲利各江航業因交通梗阻大受虧折
page 8	醬料行
page 8	銅鐵行
page 8	客棧行
page 8	銀硃行
page 8	米業行
page 8	豬肉行
page 8	雞鴨行
page 8	柴薪行
page 8	生油行
page 8	洋服行
page 8	電器行
page 8	籐器行
page 8	印刷行
page 8	紙料行
page 8	機器行
page 8	兵險保費價格續跌因國際局勢已趨和綏
page 8	少年慘遭滅頂
page 8	灣仔血案過堂
page 8	夏季特別賽馬昨結束一元大馬票同時開彩首名一三六一四七獲獎八萬餘元名騎士鄧兆坦墜馬重傷無法取勝
page 10	首場
page 10	次場
page 10	申報杯女子籃球義賽知行克西南四七比十三中華痛擊華雄男乙組賽春風勝利被取銷
page 10	下屆世運在英舉行
page 10	棒球聯賽今日有兩場舉行昨日之戰因美艦離港臨時中止
page 10	南華會友排足球賽消息
page 10	鑑泉杯乒乓義賽現在積極推銷門券
page 10	婦慰會主辦之小型足球義賽四比一東方挫聯隊民大淨勝南大兩球
page 11	滇黔記行從昆明到貴陽
page 11	昆明的文化線
page 11	二黔西拾零
page 11	三苗胞在貴陽的掃墓
page 11	華北現狀一斑日軍勢力迄未能達內地戰鬥兩年結果仍無所得
