page 1	再論意國參戰之利害
page 5	增城日偽軍擾犯正果展開激戰我軍堵擊殲日偽兵甚多福和激戰我衝入蝦米嶺增城傀儡忽被日軍扣留
page 5	寶安防空加緊建設
page 5	增從邊境各地控制
page 5	西江形勢又緊張我沿江佈防之嚴密甘陸兩部遊擊隊夜襲新墟官窯日軍擾三江被我截擊
page 5	新墟日營
page 5	三江推進
page 5	日圖再犯粵北中韶關治安情形將撥鉅款疏散市民在市郊建平民住宅
page 5	廣海漁戶擊退日本武裝漁船斃日兵十餘人漁婦中彈殉難
page 5	新荻米商撥米公賣
page 5	四邑各縣電請省府撥款救濟米荒請撥借縣款三十萬元派員赴桂購穀米台開各地推行米糧公賣辦理情形良好
page 5	各項糧食價格高漲
page 5	台城學校聯合購糧
page 5	省府派員考察湘贛閩浙政治
page 5	朱為珍抵韶視察粵省役政
page 5	日機飛襲高要
page 5	粵省自衛團隊實行加強訓練期間分三階段
page 5	袁帶接任一區游擊司令後加強實力擴展游擊戰略中山交通已再開放糧食運入仍有限制江會各線戰情已轉和緩
page 6	日軍增兵分路北竄
page 6	平公院我日又激戰
page 6	良口我軍繼續南進
page 6	花縣我軍向南挺攻
page 6	福從公路日軍被炸
page 6	廣東各界慰問良口抗戰將士組慰勞團撥款慰勞及振濟傷兵之友社派員慰問傷兵
page 6	函兩會撥款慰勞及振濟
page 6	傷兵之友社慰問傷官兵
page 6	教廳籌設教師暑期講習會續詳
page 6	粵教廳通令各校舉辦社教
page 6	扣留寶安稅務員昨已解韶究辦
page 6	中振會難民救濟會設粵閩辦事處
page 6	海南島之情報
page 6	鹽務局職員節食獻將士
page 6	前線軍與民眾努力抗日
page 6	北路日軍圖解米　之圍增兵猛衝麻村平公院從花我軍雙管齊下向南挺進福從公路日軍車數輛被炸毀
page 7	中華教育會同人勤募粽子慰勞孤軍東西區及半島各設收粽處
page 7	暹華商會主席馮爾和昨抵港暹僑胞熱烈擁護抗戰
page 7	挪荷王國已成英國敵土港輔政司之布告
page 7	中山濟難會開辟農場收容難民郭泉等今日赴新界視察
page 7	孔聖會義學昨賣花籌得五千餘元陳蘭芳即晚歡讌辦事人員
page 7	學生振濟會今開四屆年會並選舉四屆職員
page 7	暹駐港領事舉行盆栽展覽籌款救濟難民
page 7	記者公會會員免費注防疫針
page 7	印度禁外貨入口後港西商之態度應付步驟在磋商中爆竹電筒不受影響
page 7	銀行營業時間將提早一小時
page 7	銀圓公債抽籤十九日上午十一時
page 7	執行節省陽光條例嚴禁煙果攤位取巧除例文准許售賣者外一律須遵令停止出售
page 7	汽車輾斃小童
page 7	各校同學會組織聯誼會
page 7	港府擬續施存米法令將廿萬包之數增至七十五萬包並規定入口米商須向當局登記
page 8	物料來源困難建築業生意大受影響近三月來減少百分之七十
page 8	外聯會昨餐聚
page 8	港府之委任令
page 8	傷友運動結束
page 8	前日大雨共得水五寸餘
page 8	中國婦女會昨義演女兒肩中西官紳蒞臨參觀成績優異觀眾讚賞
page 8	衛生局之議程
page 8	中央注意港電影事業將派員來港指導對資本技術營業各項盡力協助
page 10	棒球聯賽爆出冷門香港會勝仗史勿夫表演出色六比二挫岷甸奴
page 10	宵來公開籃球賽僅得乙組兩場舉行銀聯白保羅勝利青職工記者敗陣
page 10	東方南征足球隊在菲三戰三捷詳情肆
page 10	南華水藝會改期
page 10	東方泳場今開幕
page 10	昨日學排戰績
page 10	白蘿仙杯戰訊
