page 1	厲行經濟警察制度
page 5	香翰屏昨日就新職
page 5	何全標巡視各陣地
page 5	南路防衛力量增強日竄那宗墟被我圍殲華封市捕獲日重要間諜滑石墟日窮蹙將可克復
page 5	南路各縣防務加強
page 5	竄那宗墟日總崩潰
page 5	日軍修築寶深公路
page 5	東江日軍懼我反攻
page 5	中央再電各省嚴禁日貨輸入軍委會籌設戰時經濟督導團出巡考察檢舉糾正實施封鎖
page 5	韶關四行暫停收兌外鈔
page 5	偽軍竄擾固戌受創
page 5	粵北激戰迭起我攻入龍翔斬獲甚眾新街三華連日發生激戰從化日圖犯獅前市被挫
page 5	從化日軍竄擾高塱
page 5	日機艦迭擾粵閩邊區我軍三路出擊攻入澄海斃日二百餘續向殘日圍殲中樟林澄海炮戰日艦艇受重創
page 5	我軍三路攻入澄海
page 5	日機艦續擾粵閩邊
page 5	我便衣隊攻入龍翔
page 5	香翰屏任粵桂閩邊區總司令何全標奉令準備反攻東寶沙魚涌由昨日起停止一切貨運東江我軍雲集石龍日軍大戒嚴
page 6	　江方面
page 6	中山偽軍
page 6	限令繳械
page 6	韶關海關分卡限制貨物進口非必需品絕對限制進口工業原料准減稅或免稅
page 6	絲綢
page 6	海味
page 6	煙酒
page 6	雜貨
page 6	日機下墜
page 6	洋紙
page 6	粵省府促進行政效率促進會聘定委員二十人
page 6	裝飾
page 6	磁器
page 6	皮貨
page 6	空軍幼年校各區開始招生湘　兒童踴躍役攷
page 6	遺失銀單聲明
page 6	江佛公路日軍昨大部退竄九江現餘日軍百人龍江無日蹤婆羅島偽軍火併昨晨槍聲仍密
page 7	港九麻雀館將取締
page 7	北角泳場竊匪猖獗
page 7	新界保衛團請發械
page 7	港府修正保險抵押條例
page 7	港府施行防衛法例禁止茶葉出口我國茶葉經港外銷或受影響現存本港貨倉國茶凡數千箱
page 7	增募華警保衛新界
page 7	渣華輪船公司華人代理擴充營業
page 7	恢復珠江貨運英日領已商妥俟雙方政府批准即可實行聞必要時將增加輪船班次
page 7	連日驕陽似火昨溫度升至九十二海外颶風由西吹來有襲擊本港之趨勢
page 7	疏散赴菲婦孺與港親屬談話藉播音台為傳聲機
page 7	招待返粵僑胞省賑會草擬辦法
page 7	港政府委任令
page 7	時局雖嚴重港工業尚穩健工廠絕無裁減工人且有數間增加薪金
page 7	港政府決組保衛團團員名額限二千名一部份武裝一部份祗配警棍經費由何方負擔現尚未決定警方嚴防歹徒將取締麻雀館
page 8	監試委員
page 8	國文試題
page 8	九龍公路一段封閉輔政司那魯麟之布告
page 8	物理試題
page 8	公民試題
page 8	跑馬地防空壕將竣工預算可容百五十人防彈防毒設備完善
page 8	防空壕建築之計劃
page 8	避難室救傷之設備
page 8	理化試題
page 8	英人總登記昨日結束男女老幼統計五千名
page 8	越政府限制對外貿易輔政司對此尚無表示
page 8	中華遊泳場竊匪示眾盜竊泳客銀物敗露示眾後解警署究辦
page 8	砲兵定期演習
page 8	市虎噬傷婦人
page 8	本港政府限制提取存酒
page 8	爭購鮮魚魚販比武魚刀作武器寒光閃閃兩人重傷兩疑犯被捕
page 8	儉廬文學院舉行週年紀念
page 8	元朗鄉紳贈救傷隊汽車
page 8	國內各院校統一招生昨在港舉行入學試各　試題昨晨始由重慶寄達試場管理嚴密監試者數十人
page 10	港啤湔雪前恥淨勝中華十分國產球迷多感失望聯賽今有兩場戰事
page 10	夏令籃球戰訊
page 10	今日賽程工程對香港南華戰水兵
page 10	高級學籃球員糾紛案昨開委員會議處決拔萃得直並取銷九龍比賽資格
page 10	東方會游泳場音樂　劇大會今夕第三次演奏
page 10	青年游泳會宵來成績測驗優越公開團體接力鍾聲獲首席
page 10	協會宣傳部主任劉吳二人請另選
page 10	港市美匯回漲申電趨鬆銀行沽出數十萬
