page 1	杭州集會與華北大局
page 3	孫科王寵惠定廿一日啟程南下居正許崇智等大致亦將同行
page 4	全國之雄攻不破一隅壯士南華不勝弊在退守果能始終猛攻敢信勝利在我奈不此之圖勝三球後不作攻奧斯德長驅直進卒光復故土三對三南華南第一戰即和局
page 4	奧隊反攻長驅而進
page 4	包李譚之功不可沒
page 4	後方鞏固得以不敗
page 4	兩隊盡以精銳上陣
page 4	施妙技大鐵鏟卻敵
page 4	桂成賣力連破兩關
page 4	三比一奧隊破光蛋
page 4	休息之後祇有固守
page 4	辛苦贏來容易輸去
page 4	香港大學健身室聘李劍琴為主任實行推進體育運動
page 4	世運足球錦標面面觀
page 4	後勁不繼九華會竟和海軍三對三與南華一樣成績
page 4	南華大嶼山旅行二十日止截報名因參加者擠擁特將日期提前
page 4	筆桿同志籃球隊卒負與槍桿同志四十四對十五相差頗遠李局長設茶會招待健兒
page 4	華雄籃球一勝一敗
page 5	李漢魂部抵潮汕
page 5	警局保安隊將改為警察隊警衛隊改編後實行
page 5	紛傳民選省長之無稽某要員對記者談
page 5	行商請財部請改善貨運手續
page 5	瓊崖團體電促黃強到任
page 5	各保安區副司令以各綏略軍務處　充任
page 5	瑤頭之放火疑案
page 5	酒樓工人停收筵捐之訪問因筵捐事失業者多人停收為解除痛苦
page 5	國民競選並不因延期而鬆懈聯絡之工作已完再積極個人活動各界實力之重新檢討
page 5	江防司令易人續訊馮焯勳將於日內就職鄒洪定期接收警衛處
page 6	粵路恢復行車後湘米粵鹽之待運
page 6	河南之誘拐疑案
page 6	民廳飭縣設法賑濟馬寧圍難民
page 6	南海一七兩區請派兵剿匪
page 6	粵湘鄂贛聯辦特產展覽
page 6	各菴尼姑再請發還產業
page 6	建廳派員測勘翁從公路
page 6	孫科居正王竄惠等為參加胡主席團葬禮
page 6	一六○師四六○旅原設有副旅長
page 6	兼四路軍軍官團主　余漢謀
page 6	新任桂省民財建教四廳長雷殷
page 6	廣州市婦女會
page 6	昨日廣州全市學生總動員募捐購機的素描
page 6	范其務定期接南海縣長任
page 6	各縣設立忠烈祠省府通令遵照
page 6	某人利用小學生藉寫生為名測繪地勢汕公安局派員制止
page 7	九如坊昨晨火警焚車衣工場一間
page 7	教員們的寶貝
page 7	九龍城居民決守故廬不遷租界將派代表向外交部請願要求派一官員駐官駐守城中
page 7	城中歷史遺蹟
page 7	決向外部請願
page 7	刁氏將來調查
page 7	黃慕松曾養甫回拜港督已定下月四日來港
page 7	羅翼群等昨返粵
page 7	孫科等定期南下勸辦胡主席國葬事宜
page 7	延及右鄰
page 7	意商卡根基在港創設古銅工廠
page 7	澳區國選又發生糾紛兩人闖入會場搗亂選票被毀初選迫又改期迭次糾紛純係競選所致
page 7	損失統計
page 7	中美民航在港設將實現戴恩基來港係計劃佈置機場碧士庇將駕中國飛剪號來港
page 8	獻機會準備結束
page 8	各界昨日之捐款
page 8	廠聯會募得萬元
page 8	女明星伴舞成績
page 8	游藝會收入頗豐
page 8	酒樓茶室行捐款
page 8	僑工會加緊勸捐
page 8	鬻畫會之第一日
page 8	日考察團赴福州
page 8	戲院門前演武劇
page 8	飛行比賽改下星期舉行啤路氏送一銀杯為獎品
page 8	又發現百元偽幣
page 8	何厭等昨已抵京請示辦理國選事宜
page 8	搜獲勝紅丸拘一人
page 8	失足　下并非自殺
page 8	由鄉來港僅十餘日
page 8	一少女墮樓慘死是失足並非自殺
page 8	真光學生旅行團昨日過港返省
page 8	東西兩區火燒山草
page 8	半島學生臨池比賽
page 8	殷商陳任國昨逝世
page 8	全僑獻機會準備結束現得捐款拾九萬元女星伴舞黃笑馨成績最高廠商聯合會預算可募萬元
page 10	一少婦誤服毒藥
page 10	史美氏下月返港
page 10	汽車互撞傷一人
page 10	購緝截劫案匪犯
page 10	小童慘作車下鬼
page 10	學海書樓講學日程
page 10	　奶人被牛踢死
page 10	孔教學院昨日講學
page 10	內河輪勞資糾紛將可圓解決
page 11	國大選舉各屬初選續誌
page 11	台山寨門一幕爭妻之怪劇聞夫陣亡招郎入贅經生子團圓節日兩夫齊返起紛爭
page 11	沖　區組織聯防會
page 11	糾正明生校辦初中
page 11	中山紀中學潮續誌楊縣長致各學生家長函
page 11	拘獲拐匪起出三童
page 11	莫部一營抵欖駐防
page 11	禁止業主驅逐住客
page 11	昨已開始復評田畝
page 11	五區華平醞釀械鬥
page 11	縣府召開興革會議
page 11	迴岐區發生劫殺案
page 11	一五四師派隊分防兩陽
page 14	晉省厲行禁毒定元旦起實行吸毒者判處死刑全省各縣組禁煙禁毒紏察隊省垣各界舉行擴大宣傳運動
page 14	組織糾察隊
page 14	閻主任訓話
page 14	粵湘贛鄂四省商定特產展覽辦法明年一月起輪流在四省舉行特產物品由籌委會分函徵集
page 14	愛告人民書
page 14	討論事項
page 14	展覽辦法
page 14	日本外交棘手華北局勢轉沉悶日軍在津重要會議外交前途頗陷悲觀
page 15	開華遠在周代雲南各地名勝彙誌五漢唐以前古蹟古物甚多風景優美為他省報不及
page 15	駐滬日軍巡邏演習越入市區十餘次在狄思威路一帶習巷戰日軍分駐所瞭望台竣工
