page 1	德波緊張與但澤
page 5	我團隊夜襲芳村Ｘ營殲Ｘ兵約十名Ｘ隊長亦受傷俘獲軍器頗多
page 5	我正規軍深進Ｘ陣
page 5	新鶴路我克馬鞍山
page 5	篁莊Ｘ屍身懷厚幣
page 5	西路軍事指揮嚴令執行戰時行政禁絕煙賭根絕Ｘ貨入口綏靖地方嚴密查拿間諜
page 5	禁絕煙賭
page 5	根絕Ｘ貨
page 5	嚴查奸宄
page 5	中山九區天狗等沙農聯組土炮隊守土抗ＸＸ艦三艘發炮擊大黃圃我土炮隊擊傷Ｘ艦一艘
page 5	順德裏村發生大火
page 5	犯寶安黃松岡之Ｘ昨已撤退
page 5	深圳私梟拒捕被當地團隊緝獲詳誌
page 5	Ｘ兩犯黃岐山被游擊隊擊退
page 5	組諜查隊嚴密清奸
page 5	九洲山Ｘ昨已竄退
page 5	犯羅漢山被我擊退
page 5	中山積極備戰Ｘ犯羅漢山被我擊退諜查隊嚴防漢奸跡混
page 5	省保安處辦幹訓班招考學生五百零四名
page 5	許崇清報告全教會議經過中央允增粵省義教費
page 5	中央改革各省行政提高縣長職權變更保甲制度
page 5	保七團長楊乾吉派員募集藥品
page 5	中振會設立梧州難民總站
page 5	調整全縣守土職責
page 5	利樹宗到中山協防
page 5	江會戰事仍劇烈我軍克馬鞍山及沙堤橋我機械部隊已進抵某地反攻江會戰事將更劇烈
page 6	馬牙莊Ｘ被我圍擊
page 6	派潭附近仍有激戰
page 6	從化東北已無Ｘ蹤
page 6	我游擊隊三襲西南
page 6	閣尾鄉民被迫遷居
page 6	馮涌附近戰事時作
page 6	劫後容桂實地調查續
page 6	粵省舉辦戰時衛生人員登記公布登記條例登記者頗多原定本月底止必要時展期
page 6	團隊夜襲瑤邊奏捷
page 6	潮汕形勢稍弛前後方準備仍積極進行梅縣興寧亦趕速疏散
page 6	四縣聯防
page 6	梅興疏散
page 6	遂溪縣城被Ｘ機三次狂炸慘況張炎慰問災民即電請省府救濟擊落Ｘ機一架將解防空部陳列
page 6	三Ｘ機炸遂溪
page 6	張炎慰問災民
page 6	救濟難童
page 6	石龍鎮Ｘ偽調查
page 6	李漢魂關懷四邑難民令古鼎華妥為救濟
page 6	Ｘ機在粵北各地投彈統計兩年來將達萬枚
page 6	西江下游各地Ｘ軍調查統由松野尾指揮
page 6	順德漢奸楊逆伏法
page 6	開平澈底破壞公路
page 6	順德新縣長昨已履新
page 6	佛山少婦手刃Ｘ兵
page 6	西北兩路我軍之勝利馬牙莊Ｘ已遭我圍殲我游擊隊夜襲西南鎮
page 7	各難民營人數續減現僅餘九千九百二十七人粉嶺難民去週已遷回深圳
page 7	粵慰勞會徵募短衣成績
page 7	中美文　協會首次會員大會定本月廿六日舉行
page 7	將提議擴充圖書館增闢藏書室增購外國名著擴充計劃將在值理會提出
page 7	婦慰會常會紀決徵集物品寄倫敦義賣
page 7	帝航機昨抵港
page 7	修正限制迫遷法例明日可通過二三讀會立法局業已列入議事錄俟正式通過即繼續施行
page 7	汎美機增設港菲來回客票
page 7	四女團餐舞會增設五毫獎券
page 7	新界大埔頭貨車傾覆傷斃四工人因閃避別車雨後路滑致肇禍一女工被壓斃三男工受微傷
page 8	解答傾棄糞溺問題
page 8	兒童保育會的工作一
page 8	官立學校招考免費生男女生分別定期舉行
page 8	請領牌照多遭否決
page 8	今日英國國慶鄭列地士盧子爵之宣言
page 8	扶輪會昨例會下週選舉新職員
page 8	一關於兒童的收容
page 8	關於兒童的調查
page 8	三關於兒童的衛生
page 8	關於兒童的教育
page 8	關於用品的設備
page 8	警探毆人疑案三被告無罪獲釋
page 8	兒童保育會游藝會今開幕
page 8	東安輪今返港
page 8	清糞伕不顧公益每將糞溺傾棄溝渠市政衛生局已派員秘密監視捕數十人解送法庭分別懲罰
page 10	精武體育會國術表演盛況
page 10	南華泳場定月底舉行首次水藝
page 10	東方新職員產生
page 10	小型足球友誼賽
page 10	籃聯會宵來議決申報杯義賽開始日期定廿九日與乙組決賽同時舉行
