page 1	繼蓉案發生之北海事件
page 3	英國工黨不與共黨合作
page 3	共黨在意活動
page 3	葡政府決心剷除共黨
page 3	法國工潮未了
page 3	土耳其艦隊游弋地中海
page 3	立院通過整理粵金融公債案修正通過縣市自治法案
page 4	全港公開水運昨晚預賽成績
page 4	英京銀價仍趨跌
page 4	體育界之喜事美人蝦訂婚假座大酒店茶會體育界教育界多被邀請
page 4	出席世運足球隊取銷瑞典之行隨大隊搭干德羅索返國查實本月廿六日可抵港體協會已籌備歡迎
page 4	英美匯兌昨報縮
page 4	各行股票之市情
page 4	廣州西紙市報升
page 4	滬外匯市情穩靜
page 4	八九金價昨趨跌
page 4	省法幣市價略降
page 4	日本有高巖教授談馬拉松我元代已有郵陶宗儀輟耕錄
page 5	中央軍留教師在粵其餘各師陸續北撤
page 5	軍需獨立與會計統制實施後之情形財左將派專員整理各縣財政
page 5	中央開始整理發還粵省各公債歷次公債約四千餘萬停兌紙幣約二千餘萬
page 5	新委三師長定十五日就職
page 5	汕海關增強緝私力海鷗三艦南來協緝某國人竟索還私糖大鬧汕頭公安分局
page 5	某國人索還私糖大鬧公安分局
page 5	十九路軍仍守原防李白偕行來粵謁蔣禁金出口辦法照舊
page 5	李白通電接受任命後李定期就職白將到粵中央軍之分別撤留十八廿五兩軍留粵
page 6	未請願前略作會議
page 6	請願省府尚無結果
page 6	臨時會議共商應付
page 6	宣言通電今日發出
page 6	汕申大洋匯率部令照時價辦理
page 6	糖麵行商請查抄馮銳家產
page 6	海國皇后被擄河南下渡擄劫案
page 6	駐汕日領就任後
page 6	湘米銷粵之擴充湘派要員來粵接洽設辦事處經理分銷撥五百萬元為資本
page 6	糧食業對各輪增加運腳之反響
page 6	中山大學昨接收中中詳情成立委會商決校務
page 6	禁止卜筮星相道教被株連之呼籲內政部之批復公安局之傳訊相土又再訴願
page 6	呼籲理由
page 6	核辦經過
page 6	內政部批
page 6	相士訴願
page 6	土造火柴恢復統稅廠商昨日請願詳情二推定陳爾卓等代表分向蔣委員長及統稅局請願請求緩徵火柴統稅之理由
page 6	廣九鐵路管理局
page 6	張嘉璈到省後前晚赴行營謁蔣
page 6	聞鐵道部昨四日自京郵寄任命狀
page 6	省會公安局長
page 6	市上教職員昨晨再請願往省府請願答復未圓滿教聯會議決應付辦法
page 7	日艦若竹早苗抵港
page 7	逸仙通濟昨又來港
page 7	早苗艦長矢野寬談
page 7	否認兩艦係來示威
page 7	運銷章程行使辦法
page 7	兩海關會銜佈告修正稽查進口貨種類表並解釋進口貨運銷章程行使法
page 7	成都事件出於誤會
page 7	中野順三死時推測
page 7	日人之所欲者如此
page 7	懼我將他們驅出境
page 7	逸仙艦員淩蘇亭談
page 7	蔣鼎文來港朱培德北返朱謂白崇禧日內來粵
page 7	澳馬會昨日賽馬
page 7	食野菌兩婦中毒
page 7	少年墮海幸獲救
page 7	街市魚販紛購生雪
page 7	青年會辦拳術賽
page 7	中野斃命案調查兩中艦隊突南下入粵由艦隊司令西岡茂泰率領早苗艦長否認開北海示威
page 8	本港警察去年工作報告三辦理走私案得華當局助力不少
page 8	清晨造訪驚破好夢
page 8	死者向未涉足香閨
page 8	過從甚密時相調笑
page 8	女主角張綺羅出庭
page 8	倦極欲眠婉卻出浴
page 8	刺死汝免益了別人
page 8	死者日記香豔纏綿
page 8	玉照題字是誰手筆
page 8	白金戒指鐫有芳名
page 8	浴房親吻張氏否認
page 8	尖沙嘴加蘭威道男女賊圖劫葡人住戶搜索一番卒無所獲捕獲可疑婦人一名
page 8	鳳山丸煙案三審
page 8	余立奎日間解滬上訴期限已過
page 8	客棧行今日會議
page 8	聖馬利亞堂改建
page 8	一少年因貧投海
page 8	火車雜役跌斷足
page 8	德輔道中塌樓餘音
page 8	新界救傷隊之月報
page 8	桃色血案昨續審伍潤堂日記情話連篇張綺羅否認箇中豔事玉照所題潤堂郎君亦非本人手筆伍氏行兇前曾說刺死汝免益別人張另有照片一幅與少年陳樹宗合影
page 10	私擅入境
page 10	盜竊單車
page 10	被解潛回
page 10	獲架巡視廣九路
page 10	省澳輪恒昌復航改下午九時由省開行
page 10	德駐港之新領事
page 10	孔聖會徵求決展期
page 10	夏典請假赴日遊覽
page 10	英官紳參觀麗精院
page 10	警署中捕獲大蛇
page 11	大雨中之岐關路被山洪沖缺數段
page 11	廣寧駐軍停止檢查入桂商旅
page 11	匪徒入店強搶白銀
page 11	縣城將收住戶月捐
page 11	禁煙委員會決定提前禁絕煙毒四著手擬議計劃依照進行設立廣東禁煙督察分處訂定人民登記調驗辦法
page 11	教界清苦到處欠薪
page 11	三水警衛隊兵自擊斃命
page 11	區公所員遭匪殺擄
page 11	九江梅圳之擄劫案
page 11	九江亦禁止筮星相
page 11	佛山撤銷入伙保證
page 11	西江各輪渡不准星相在渡營業
page 14	堀內干城北上履新
page 14	渡及中津中止來滬
page 14	渡邊屍灰攜運回國
page 14	西班牙與革命蘇聯　業倫堡作
page 14	成都事件日使館發言人稱未接東京訓令川越晉京期未決定渡邊屍灰啟運返日
page 15	文章賈禍的杜重遠先生刑期屆滿恢復自由他患牙疾不肯見記者寫出條字道要說的話不能說能說的話不願說諸君原諒
page 15	煙草栽培
page 15	地域關係
page 15	密勒氏報評論日設蓉領 不當
page 15	日人計劃在熱河種土耳其煙草氣候土質均宜利益甚優厚日專家九月初赴長春指示
page 16	米高梅繼大地後將以中國水滸攝製電影
