page 1	英國對遠東之妥協政策
page 5	第四戰區部飭屬地方維持治安限本月底完成戶口調查
page 5	北海商人領用輔幣調劑市面金融
page 5	江會戰事近況Ｘ設五邑治安部
page 5	我軍反攻潮安與克復澄海之詳情西湖車站之戰收穫甚大Ｘ退出澄海時之種種情形縣長下稚珊隨軍入城辦理善後
page 5	反攻潮安四面包圍
page 5	我軍克復澄海經過
page 5	寶安三區積極防疫舉行清潔運動
page 5	Ｘ再圖在橫門登陸芙容山頭展開血戰我增兵後將Ｘ擊退Ｘ再欲衛破我封鎖繞不逞
page 6	來往省佛之南方單行電輪又被劫佛山盜匪充斥Ｘ軍入夜戒嚴西樵官山糧食恐慌米價騰貴
page 6	省府令各地航商優待難民
page 6	開抵四邑加緊緝私工作
page 6	惠陽婦女組抗Ｘ會
page 6	河源妓女實施軍訓
page 6	遂溪廣州灣各界向長官獻旗
page 6	台山不限制市券入口不論多少概以國幣收換
page 6	江防部參謀長談三澳航道安謐傳有Ｘ艦騷擾說不確
page 6	第四戰區運輸處設五邑辦事處
page 6	抗戰以來之廣東財政五兩年來收支概況
page 7	宋慶齡等發起藝術界籌賑游藝大會舉馬師曾等為籌備委員即日開始舉辦藝員登記
page 7	薛覺先等義演為婦女慰勞會籌款
page 7	惠僑救鄉會慨撥鉅款賑災
page 7	雜貨店舊伴挾恨行兇斬傷兩人警探聞耗馳援兇手就捕兩傷者傷極重送院醫治
page 7	舊伴行兇
page 7	斬傷兩人
page 7	尖沙嘴廣東道三賊強制劫住戶綑縛孺掠去財物約值千元賊持假鎗恐嚇幾被少年捕獲
page 7	三賊入屋
page 7	損失統計
page 7	少年追賊
page 7	文員消費合作社下月中旬成立
page 7	強盜截載少女鳴槍一響示威
page 7	兇手就擒
page 7	Ｘ軍宣布封鎖珠江由今日起禁止外輪通航
page 8	要點如次
page 8	營業概況
page 8	收買白銀
page 8	組織章程
page 8	已開辦者
page 8	李星衢致詞
page 8	新主席演說
page 8	出席人名單
page 8	改組商賑會
page 8	商會新舊主席昨交代華商籌賑會同時改組郭泉氏兼任該會主席
page 8	英日協定評議
page 8	避暑英艦提前離威海衛
page 8	南征隊在怡保告捷淨勝哥靈登隊三球前方需將麥紹　今出發助陣李球怪亦于日內飛爪哇參戰
page 8	夏令籃球賽昨日揭幕李子飛氏主持開球禮開鑼戲大觀輕取正社
page 8	宵來水球戰績鐘聲甲輕取華人人華人華勇克南華華
page 8	聯會小型球戰績
page 8	太古華體會職工否今日舉行冠軍賽
page 8	廣東省銀行年報決續辦戰時農村貸款廣州失陷後粵省金融絕未動援該行去年仍獲利二百六十餘萬
