page 1	蘇芬戰爭之和平難
page 7	商賑會昨募款成績
page 7	銀號捐款幾達六萬
page 7	僑工團體響應勞軍
page 7	米行捐國幣一萬元
page 7	瓊僑響應春禮勞軍
page 7	社團匯款賑濟粵北
page 7	中山僑商會撥十萬元振災幸玉銘等往澳散振中振會亦協謀救濟
page 7	孔令侃已赴美研究經濟學
page 7	東亞銀行年會定十六日舉行
page 7	熱烈響應春節勞軍金銀場募得十一萬元各僑工團體發起一角勞軍運動塘西歌姬定九日舉行義唱籌款米行匯萬元瓊僑募捐成績亦佳
page 8	炸燬橋樑趕堅修理
page 8	全提延長時間兩天
page 8	蔡元培先生今午小殮蔡公子無忌昨來港奔喪各界紛紛電唁蔡氏家屬
page 8	昨燈火管制成績良好防空處主任施柏堅之談話
page 8	聯發雜貨店劫案詳臬第五被告袁金無罪已獲釋
page 8	痘症流行日烈去週死三十三人
page 8	炒馬票圖利數商人被處罰
page 8	防空訓練班定期頒發證書
page 8	木匠侮辱少女官判罰款廿元
page 8	婦人誤殺小孩處有期徒刑九月
page 8	中國勝利世界受益
page 8	國共兩黨精　團結
page 8	視察所得印象極佳
page 8	將赴美國訪羅斯福
page 8	英國會議員克利浦談在華所得印象極佳交通事業進步至足驚人民氣盛旺抗戰前途樂觀
page 8	兩個印警受賄各處徒刑三月
page 8	少年投海獲救
page 8	港滇行旅可照常來往滇越咱慢車已復開因橋樑未修復中途仍須轉駁快車貨車短期內亦可望開行
