page 1	日趨嚴重之中日交涉
page 6	紅十字會選會長謝英伯當選
page 6	夏滘河面之撞船
page 6	粵路招　　聯運案呈交鐵兩部核辦通車典禮延期舉行
page 6	國醫館通告徵集民間秘方
page 6	廣九鐵路工會第三屆全路代表大會
page 6	廣西省會遷桂林後
page 6	廣東建設廳水利局長楊華日
page 6	廣東長送電話管理委員會
page 6	建廳訂改組章程與增設實業廳之近訊
page 7	好事近集團婚鴛侶預習禮儀表演純熟較前屆已進步第七對因新郎喪母退出
page 7	預習禮儀
page 7	醫學博士警告市民
page 7	英兵行兇案詳臬
page 7	財委會定期會議
page 7	婚禮秩序
page 7	港僑國選辦法決定十六晨開始選舉候選人投票地點在商會圖書館
page 7	四人意外受重傷
page 7	黃強南返昨抵港
page 7	印警轟斃一大蛇
page 7	葡領事慶祝國慶港督暨中西官紳均往道賀
page 7	粵黨國旗經銷局決在本港設分局
page 7	戴季陶今晨到港王應榆等來港候迎
page 7	西婦控夫案判決
page 7	日人攝影　景物被拘盤問後幸獲釋報影機充公
page 7	第四路軍軍事考察團北上今晨由港乘浩華總統輸首途香翰屏留粵贊勷軍務未同行
page 8	獻機會請各行協助
page 8	勸捐團定今日出發
page 8	各商店已自動捐款
page 8	沙籐商捐助五千元
page 8	電影院撥利潤充捐
page 8	戲劇界多踴躍　將
page 8	鐘聲社將沿門
page 8	金銀場募得七萬元
page 8	僑工會募捐之辦法
page 8	疋頭行募得數千元
page 8	僑教會勸會員輸將
page 8	糖商會舉出勸捐員
page 8	瓊商會已開始募捐
page 8	少婦服毒幸獲救
page 8	勒索私娼疑犯被捕
page 8	本港紀念英故皇之計劃在本港及九龍各設一運動場
page 8	由港運粵貨物簽證貨單下月起概由港辦事處簽發
page 8	愛國熱誠充分表現僑胞紛紛捐款購機金銀場又募得二萬餘元勸捐委員今日分組出發
page 10	遠東各埠時症報告
page 10	胡文虎今晨返港
page 10	帝航機改期飛港
page 10	持刀行劫
page 10	意圖不軌
page 10	行使偽幣
page 10	拐帶小童
page 10	初級法庭案彙誌聚賭牌九
page 10	東華醫院病婦跳樓之研究
page 10	紀念英故皇之捐　
page 10	聚賭牌九
page 11	順德縣易長後各職員之更調訊舊任各職員多提出辭職
page 11	黃埔公安分局晚間檢查出入船艇
page 11	大　黃家祠巷火警
page 11	陽江鹽警隊中隊之開駐
page 11	南海禪普君墟火警詳誌
page 11	各界聯合紀念週中財廳報告征收所得稅內容一派熊理出席報告
page 11	石灣陶工聯合罷工
page 11	羅浮山新建設落成
page 11	藉神演戲開賭被拘
page 11	石灣紅坭澗匪劫案
page 11	番禺降仙童忽發生慘劇
page 11	石湖匪黨攔途擄人
page 11	所得稅的意義
page 11	二我國舉辦所得稅的過程
page 11	台山中學籌建旅美邑僑紀念亭
page 14	日水兵中山秀雄被殺案判決書全文
page 14	主文
page 14	事實
page 14	理由
page 14	楊文道說
page 14	一灘血漬
page 14	重篤症狀
page 14	實施勘驗
page 14	尤堪認定
page 14	黑色西裝
page 14	法醫檢驗
page 14	物理學書
page 14	生的鐵銹
page 14	係其所有
page 14	藉詞翻異
page 14	日水兵中山秀雄被殺案判決楊文道葉海生死刑共同殺人各處死褫奪公權終身手槍子彈均沒收周社榮判無罪
page 15	指印相似
page 15	刺汪案內
page 15	中外糾紛
page 15	諭知無罪
page 15	哈爾濱之輪廓畫曩為帝俄侵略東北紀念地點曾幾何時今又為日人囊中物
page 15	放不下去
