page 1	游擊區國民教育問題
page 5	我團隊分三路乘夜向南頭偽軍反攻偽軍潰竄大新街頑抗昨續有增援圖解重圍定安縣長夜審俘虜之供詞
page 5	三路會師反攻南頭
page 5	南頭上下激戰情形
page 5	偽軍被困增援解圍
page 5	寶安縣長夜審俘虜
page 5	瓊島日軍增援後四出擾犯進犯屯昌被我痛擊
page 5	饒澄沿海日艦大增炮轟柘林圖犯饒平日在汫洲島登陸被擊退我反攻潮安續衝入池湖
page 5	柘林灣一帶
page 5	向潮安反攻
page 5	李主席漢魂嘉獎兒童劇團賞國幣四千元
page 5	澳門都斛已恢復航行訊四邑港澳貨運漸通
page 5	江村日偽衝突
page 5	粵統計會調查各縣物價縣長攷績注重統計
page 5	文化團體設分會須經黨部許可
page 5	江門日軍續有增加鶴山情勢頗緊張袁帶部衝出重圍已抵鶴山中山戰事近況與日軍焚書
page 6	防止資金之外逃
page 6	與請核時有不符
page 6	日來出口貨銳減
page 6	粵路日偽軍再擾樂同發生激戰江村日偽因分贓衝突
page 6	日軍侵擾樂同
page 6	神岡戰事激烈
page 6	粵省府奉令清理軍法積案調法官赴各區協辦
page 6	粵建廳發展工業情形積極整理及興辦省營工廠籌建重工業扶植各縣手工
page 6	發展省營工業
page 6	二復興各手工業
page 6	扶植民營輕工
page 6	籌劃建重工業
page 6	粵國防公債開始二次付息
page 6	征慰會催繳各縣棉衣代金
page 6	梁文康
page 6	韶商請求改善結匯行商缺乏港幣出口貨銳減匯管處及中行呈中央核示
page 7	路人遭殃
page 7	英警馳救
page 7	血花四濺
page 7	共傷五人
page 7	美髮業工會一仙運動首期結束成績甚佳商務印書館職工響應勞軍
page 7	挪輪在海南海峽遇險太古船塢已派拖輪往救
page 7	李綺年將南渡今日招待文化界
page 7	港外水雷爆炸
page 7	港寶輪暫停航
page 7	同室操戈兄殺其弟兇徒已被警探緝獲
page 7	深圳囚徒越獄卒被軍警截回
page 7	越南遠東日報定本月七九日出版
page 7	風雨交襲下擺花街塌屋壓傷五人血花四濺磚瓦橫飛為狀甚慘陳舊屋宇危險實甚亟應取締
page 8	國府褒揚
page 8	各界輓聯
page 8	李漢魂聯
page 8	女參政員伍智梅並未在滇結婚
page 8	劫案兩宗押候
page 8	本港勞工署組織織擴大勞工司與記者之談話
page 8	粵振濟會設駐港辦事處葉蘭泉陳友雲為主任
page 8	又一宗墮胎案
page 8	澳各難民收容所共收容難民八千餘人內地難民尚源源而來中國虎劇團今日義演
page 8	女會代表赴澳
page 8	二次特別賽馬第一天冷門馬竟大露頭角濕扒壓倒本屆冠軍花惠文妮芬斯違例失去錦標
page 8	虎戲今日義演
page 8	開本港新紀錄保險銷貨場出現
page 8	葵孑民先生追悼會今日在港大禮堂舉行國府及蔣總裁將派代表致祭香港大學音樂隊到場奏哀樂
page 10	第四屆港澳埠際賽今日會師愉園下午四時風雨不改昨日球事被阻於雨
page 10	本年度學界排球比賽細則全部修正四月一日截止報名
page 10	小型足球戰訊
page 11	憶蔡子民先生
page 11	蔡先生與廣東人
page 11	蔡子民先生底著述
page 11	悼事師蔡子民先生
page 11	蔡元培先生與北京大學
page 11	蔡孑民先生追悼會特刊弁言
