page 1	整頓粵省煙禁
page 3	弔奠蔣錫侯馮玉祥等昨抵甬于學忠黃紹雄等亦先後抵達
page 4	公開網球賽郭慶深勝劉雨泉雙打芬渣洪渭釗得勝
page 4	小型足球協會請全運會將小型足球列入錦標專案呈文昨日經由空郵遞京
page 4	今日甲組足球共有四場奧斯德出戰華塞斯華隊祗得九華會對香港會
page 4	東亞體育女子籃排球隊在省比賽秩序編妥改期廿三日返港在港作兩場比賽
page 4	兩棋王鏖戰六局周德裕勝利得金章總成績三勝二和一敗
page 5	發展粵省實業之先聲
page 5	擬組長期資本市場
page 5	擬籌設商業交易所
page 5	粵各界迎吳準備
page 5	省商聯會請發公債整理廣東金融
page 5	江防司令部裁陸戰隊一團
page 5	鹽商定期向吳主席請願財部允改善銷湘辦法粵鹽外銷以官運商銷為原則改組兩廣鹽務管理局之通
page 5	交通處手車不准手車會承辦
page 5	草席工會糾紛案雙方商合作仍係無結果工人再 請願
page 5	改組管理局通令
page 5	洋米免稅進口發證問題沈國瑾等已商定辦法俟吳主席就任即改組民食會為監督機關由海關直接登記之省府批示
page 6	中山縣又有易長說聞以張惠長繼任
page 6	淩鴻勛條陳湘桂鐵路建築意見主張選線應有相當時間尋討起用青年專才養成國家專技
page 6	焚車難屬會請路局電部再考慮撫恤辦法並應負起實際責任為遺族謀善後之方
page 6	　有線電車機件運粵安設八月即興工架設增西村南石頭線
page 6	營業稅評議稅額後各行商之異議與配額評議會會議誌要
page 6	捕獲盜賣墳石匪
page 6	發生異議者
page 6	支配營稅者
page 6	評議會會議
page 6	特產調查高明縣草蓆業概況土草年產二萬六千餘擔全縣草蓆店共有廿二間
page 6	各縣市開征
page 6	英國駐遠軍艦隊司令李度少將
page 6	美國駐遠東艦隊司令顏露爾上將抵粵拜會當局
page 6	日昨有一批歐美富豪約三十餘人
page 6	第十四屆廣東全省運動大會開始報名以來各縣市報名參加者極為踴躍
page 6	廣州市長會養甫
page 6	省河黑砂坭艇重組事務所
page 6	廣州酒樓茶室男女工人
page 6	統一煙禁行政後煙民領證收費將減輕督察分處電請總處發遣收費
page 7	米行代表昨謁吳主席請願要求洋米不須領證並減短限期吳答覆待到粵後將謀適當解決潮州商會昨電請指定簽證機關
page 7	中大攷察團北上
page 7	觀禮者眾
page 7	建築壯麗
page 7	醫院內容
page 7	威氏報告
page 7	改建計劃
page 7	療治肺癆
page 7	院中設備
page 7	醫家贊許
page 7	新院　址
page 7	應有盡有
page 7	醫師宿舍
page 7	興工四年建築費四百餘萬瑪利皇后醫院昨日開幕港督郝特傑親臨開幕行禮儀式隆重樓高七層內部設備完善可容五百人開幕後山頂醫院及國家醫院均停辦
page 8	僑團歡迎會場佈置
page 8	熱烈情形
page 8	羅氏致詞
page 8	僑胞如此表示
page 8	兄弟此次來港
page 8	粵政興堇問題
page 8	謙遜退席
page 8	參加人物
page 8	李氏致詞
page 8	歡迎儀節
page 8	華商總會
page 8	港督歡宴
page 8	吳氏答詞
page 8	兄弟白慚棉薄
page 8	為一商業省區
page 8	昔日生活簡單
page 8	以言提倡生產
page 8	郭氏致詞
page 8	中山僑商赴會鄉親
page 8	何東招待
page 8	希望香港僑商
page 8	吳氏訓詞
page 8	今晨晉省
page 8	三屆集團婚新人昨晚習禮將請羅旭和證婚許地山司儀
page 8	九龍誤殺案續審
page 8	各有各的期望數十僑團熱烈歡迎吳鐵城希望吳氏造成廣東為模範省吳亦望港商投資內地發展工業廣九路局派專車來港迎吳入粵
page 10	荃灣械劫案續誌
page 10	有利行去年溢利一十八萬餘鎊
page 10	領事簽證費仲算關金之價格
page 10	財委會今日會議
page 10	老婦因貧投海死
page 10	許地山將演講廣西考察之經過
page 11	江門火警斃人
page 11	台山舖宅捐撤銷
page 11	駁艇沉沒溺斃多命
page 11	禪校開始清潔競賽
page 11	台山鄉民採米商聯會請嚴緝搶匪
page 11	奉令搜集民眾讀物
page 11	新昌西華山現銅礦
page 11	黃竹岐鄉查禁煙花
page 11	醫院學校演戲籌款
page 11	賣解人傷小童風波
page 11	縣長奉令督種雜糧
page 11	修築江堤維持水利
page 11	女子當娼葬母鴇母判刑六月
page 11	縣府奉令整飭警政
page 11	投函打單匪徒被捕
page 11	自足嶺鄉痢疫　行
page 11	匪夜劫鴨仔涌住戶
page 11	押追沙捐縣請維持
page 11	東莞黎村黃姓發生盜田毆兄案
page 14	靜靜的多惱河的碧水將為意德爭霸的第一線乎地處兩大獨裁之間左右為難捷克之後尚有蘇聯變化莫測
page 14	洋米免稅
page 14	洋米免稅後湘米銷粵停滯何鍵請中央設法救濟米業界派員入京請願
page 14	臨時救濟
page 14	槍決軍官
page 14	湘米銷粵
page 14	贛南的剖面
page 14	李守信已由日返察北匪偽領袖定期大會德王消極或不出席謀反正軍官被槍決
page 15	僑德的青田商人
page 15	青田小販
page 15	生活困難
page 15	前途黯淡
page 15	幾點希望
page 15	贛州水行
