page 1	歐洲均勢與民主精神
page 5	東線軍事重心轉移
page 5	Ｘ又揚言犯黃松岡
page 5	西線再接觸我襲老鴉洲我Ｘ隔河再起炮戰
page 5	我Ｘ大戰繼續展開
page 5	唐家灣間之平安報
page 5	Ｘ增兵潭洲圖大岡
page 5	江會方面戰情訪問
page 5	寶安災區調查
page 5	組勸導隊勸令疏散
page 5	潮汕戰時組織開始實行汕市疏散人物之加急進行市內已預貼忠告Ｘ軍標語
page 5	我軍克復新街進逼江村
page 5	碧良公路游擊襲Ｘ續誌
page 5	提早戒嚴停止娛樂
page 5	市面各業遷移近況
page 5	市內張貼日文標語
page 5	戰時組織開始辦理
page 5	擇地容納各方難民
page 5	水陸交通管理中止設處范展鵬另任要職
page 5	寶安當局嚴密防空組織擬定辦法佈告知照
page 5	設訓練班抽調民眾
page 5	潮海Ｘ艦最近動態
page 5	傳我軍再度克復新會城Ｘ企圖牽制我中山兵力昨增兵潭洲又擾九洲山
page 6	游擊隊猛襲馮涌石塘
page 6	　翰屏到韶謁張請示就職
page 6	戰時存糧組管委會在韶開籌備會議
page 6	汕市民加緊疏散中駁艇濫載沉沒斃多人艇伕逆流停棹　資致肇慘禍
page 6	各自衛團　亡者受重懲省府規定辦法
page 6	臨參會秘書處在韶成立
page 6	粵省黨部委　各科科長
page 6	南海我便主隊圍炸Ｘ營
page 6	吳飛奉派赴中山督導軍政團隊統歸吳氏指揮
page 6	應須照章交代省府通令　照
page 6	寶安各界舉行精神動員宣誓
page 6	省府增設各區團隊督察專員
page 6	朱暉日返韶述職定期再出巡南路
page 6	惠陽青抗會籌備五四紀念
page 6	西江我駐軍勸告民眾軍民實行聯合起來抗戰殺Ｘ
page 6	容桂方面之戰訊我仍嚴守大　小黃圃波頭沙農屋被焚Ｘ在空奇闢傷兵院
page 7	談話大要
page 7	擊伊之背
page 7	返回家鄉
page 7	彼華之責
page 7	本港英僑登記現僅得千餘人
page 7	干德華地輪船員墮海獲救
page 7	張發奎等電獎李務滋ＸＸＸＸＸＸＸＸ尚望努力以竟全功
page 7	六日大雨之水量共達二萬五千萬噸但流入水塘者僅八十分一餘灌注入海或被地土吸收
page 7	利便半島交通港府決闢新路由亞皆老街伸至九龍城西貢道大業主已紛紛在該地建築新樓
page 7	佛山災情慘重希望僑胞救濟
page 7	司徒永覺口中之難已營孕婦被毆經過棍擊婦背屬實毆打致死則不確擅作威福之職員據謂已被撤職
page 8	登台自辯
page 8	死者有鎗
page 8	殺　黃松
page 8	主要證人
page 8	罪名成立
page 8	殺日人案初審主控律師述被告行兇之動機故鄉淪陷叔弟被殺憤而出此
page 8	帶來家書
page 8	被告答曰
page 8	一時之憤
page 8	四邑僑商積極籌辦平糶
page 8	商會定期討論精神動員提案
page 8	海南島之近狀我游擊隊極活躍
page 8	不堪蹂躪紛紛逃亡
page 8	發出通電呼籲救濟
page 8	三十餘村　成
page 8	勒馬洲謀殺案判決被告黃金穩處死刑被告謂鎗擊死者純係自衛舉動維逸大律師力證被告挾械行兇
page 11	昨日網球賽小徐勝何家　今單打準決賽大徐對大　珍
page 11	許承基在意大利又獲單打冠軍雙打許之搭擋不　決賽　被意隊獲
page 11	國際足球賽荷蘭勝比利時
page 11	昨晚籃球賽華南兄弟奏凱哥哥挫廣大弟弟勝太古五四比四零星島克警察
