page 1	日本之冷靜態度
page 5	日人操縱下之東莞縣署人事近有更調汪宗準派員算數
page 5	日趕築南頭后海機場寶太路廿五鄉聯合自衛日方雜軍不敢窺擾
page 5	啞鈴灣海賊騎劫貨船
page 5	廣州臨時戒嚴中行人之狼狽情形各卡口日兵之威燄每施不行禮之懲戒
page 5	某高級軍官談粵北前線情況日軍匿伏一隅不敢出擾我軍乘時進行補充整理
page 5	當局派員撲滅粵北禾田害虫
page 5	新會加緊編辦保甲
page 5	三水怖心民眾勇戰退日
page 5	四邑防務加強彭袁兩部已從新佈防日撤銷其所謂海防會改以陸戰隊監視封鎖
page 5	積極加強四邑防務
page 5	四邑防務均已增強
page 5	改由該隊監視封鎖
page 5	南路情勢突緊張日圖奪取高雷之陰謀嗾使我國敗類分頭活動一度在日艦上會議進行欽縣我軍突擊大寺收穫戰果
page 6	一個文靜的工作者
page 6	對祖國的貢獻
page 6	婦女運動的問題
page 6	日在從化敗退廣州部隊集中市郊聽候補充日新兵陸續運粵之真相市郊劃分警備區之調查
page 6	所謂中山縣長近又被刺
page 6	我飛機隊在禪市投紙彈
page 6	石龍日軍偷襲鐵場遭創
page 6	高要蓮塘逕客商被劫
page 6	我游擊隊進襲龍江壩甲日軍
page 6	北路鍾落潭高塘雜軍繼續反正
page 6	即由台灣運到新兵
page 6	兩次戰役傷亡若干
page 6	嚴厲剷除貪污財廳及緝私處兩員被留通緝化縣查緝所員
page 6	市郊警備區之劃分
page 6	已設有六個警備區
page 6	王孝英抵韶暢談香港婦運問題
page 7	熱烈歡迎
page 7	檢閱軍隊
page 7	抵埠情形
page 7	廣播演說
page 7	各區組保衛團仍　商會幫助
page 7	孫科並未來港
page 7	邊境安謐如恒新界副警司談
page 7	大埔　山泥崩陷被掩車客尚未掘出路局減少行車班次積極辦理善後工作
page 7	清除積泥
page 7	行客改途
page 7	減少班次
page 7	港特務警探昨搜山口商店搜出重要文件甚多
page 7	諾爾頓昨日到港就職即晚九時　播演說述個人之觀感平日對香港防務問題曾詳細研究故雖初次抵港亦無異於故土重遊
page 8	日落之後
page 8	空襲警報
page 8	上海商人均另尋出路滬市形勢惡劣為前所未有
page 8	油麻地警署中印警突中兩彈一中頭一中腹入醫院後殞命另一印警有行兇嫌疑被扣留
page 8	入學試昨謁曉　錄學生二十五名
page 8	廣州日軍禁糧食運港貨船數十艘昨被扣留
page 8	美國飛剪機昨日由菲抵港
page 8	大蛇長丈餘在銀礦灣出現
page 8	長洲居民協會施路華任主席
page 8	小輪搭客投海一死去一獲救
page 8	拐帶疑案提堂
page 8	保良局私逃女子被控
page 8	苦力入廁強搶
page 8	八一三紀念日舉行義捐運動華商總會設義捐箱塘西歌姬響應售花
page 8	大部商人改用國曆祀孔教育界意見仍未一致
page 8	孤軍營謀殺案初審詳臬定讞
page 8	澳門秋秀賽馬下月八日開始
page 8	拐婦請求複審法官宣佈維持原判
page 8	深水灣沙灘發現受傷男屍
page 8	青年會夏令營參加學生卅餘人
page 8	嶺南同學將野餐
page 8	梅雨天將開個展
page 8	本月廿七日晚舉行燈火管制演習不發警報日落即為開始演習時間居民無事不可外出以免發生危險
page 10	今夕乙籃爭霸戰培英再逢保羅另有兩場補賽太古對南商勵行抗青乙
page 10	鍾聲中華兩泳場今夕同時舉行水藝會南華三次水藝定八一三舉行
page 10	東方球員動態
page 10	香港足球總會昨通告各甲組球隊定十四日抽籤編訂秩序
page 10	學籃亞軍決賽思思今戰南華
page 10	梁鵬杯乒乓賽今日開始報名
page 10	夏令籃球戰績精武漢華勝仗晨鐘聯英敗陣
page 10	六體育社團歡讌黃家駿盛況
