page 1	新年戰局之展望
page 8	兒童保育會籌建新院已舉定三代表與胡文虎接洽
page 8	各界賑聯會收到省府捐款
page 8	港澳長途電話現無建設可能
page 8	九龍青年會救傷班昨考試
page 8	東區教聯會昨舉行成立禮
page 8	鳥行營業慘落
page 8	羅督今日返港
page 8	中航公司港站業務照常
page 8	南洋惠僑救鄉會港辦事　成立
page 8	藝協會悼葉瑞人
page 8	元旦僑團動態慶祝儀式概從簡略紛紛致力還債　動
page 10	論抗戰建國中的建設事業一
page 10	林主席元旦詞抗戰以收持久戰消耗戰有利效果今後　要努力完成抗戰建國重大使命
page 11	港記　球隊昨已返港比賽四場勝負各半
page 11	球國迷民眼福不淺星洲足球隊下月來港比賽秩序亦經擬定
page 11	加山足球義賽正規軍結果不虧昨以一比零小勝游擊隊
page 11	南華體育會游藝部近訊七日晚舉行游藝大會
page 11	二期款詠班定期開始
page 11	元旦甲組牌賽經九十分鐘劇鬥雛鳳和東方結果二比二且待下回重賽
