page 1	余漢謀嚴戒武人干政
page 15	一大缺點
page 15	持刀尋死
page 15	不大懂的
page 15	短期訓練
page 15	軍紀固好
page 15	但政治上
page 15	為中國人
page 15	謂人民的生命財產
page 15	安頓睡覺
page 15	欺侮人民
page 15	綏遠薩縣農村一瞥有病不知求醫多乞靈於巫覡卦筒神方擺布著農民的命運
page 15	爾為我衛國我為爾給養日本軍民互相敬愛復興國家軍隊要有三種基礎的紀律閻錫山之紀念週演詞
