page 1	擴大農村貸款
page 3	林主席今日由桂啟節返京何鍵赴衡迎接林主席遊覽南嶽
page 4	足球與讀書相同之點李惠堂在播音台作足球講座第五講
page 4	下星期一日三場重要單打勝敗與冠軍極有關係
page 4	德權鼎小型足球賽今午在加路連山正式開幕　蔚樓行禮歡迎各界參觀漢英對培正平陽對傑志傑勢均力敵看誰家旗開得勝
page 4	南華徵求鐵定十五日結束游泳場所亦同時開幕
page 4	普通界籃球賽華南印警有劇爭南華南可望勝鐘聲甲
page 4	市運會開　期內學生給公假參觀社會局昨通　各校知照
page 4	傳經杯籃球賽開賽
page 4	港外匯市道呆滯
page 4	滬外匯市仍穩靜
page 4	中紙桂幣市極靜
page 4	省法幣市價微降政客及銀行渣家沾出
page 4	各行股票之市情
page 4	省西紙昨仍趨升
page 4	失之東隅宜收之桑榆今日南華南對華塞斯作特別銀牌決賽以往兩次相遇皆南華南勝必謀雪屢敗之恥慎勿輕敵我方中衛不整對方攻守強勁
page 5	四路軍被裁士兵擬送交薛岳部補充薛派韓漢英在粵商洽
page 5	俞鴻鈞電告吳主席行期
page 5	粵鹽商復業後續請撤銷附加昨呈商會請求協助
page 5	章元鳳否認改設五省外交特派員公署刁作謙電告本月底可返粵
page 5	河南瑤頭分局破獲庶母幽禁嫡子案鎖禁黑室制飲食歷時六個月警探跟蹤查探陳氏幸慶生還
page 5	陳氏家世
page 5	鎖禁黑室
page 5	非人生活
page 5	破獲經過
page 5	粵商會代表赴漢研究所得稅昨函商人徵求改善意見
page 5	廣州律師公會召開會員總會討論會章及所得稅問題
page 5	美艦隊司令顏爾露即將來粵
page 5	狡詞卸責
page 5	中央厲行統一軍權各路軍調遣不以省界為限由下月起四路軍一五七八兩師由閩綏靖主任指揮調粵駐防之李樹森甘勵初兩師由粵綏靖主任節制
page 6	外領致祭
page 6	粵省實施會計獨立制度之最近進行財廳合計處成立後之五項工作財務　關不能經　　金政支
page 6	去函交涉
page 6	粵省名勝建設工程計劃
page 6	工會力爭
page 6	公司原函
page 6	粵市公共汽車公司不准失業工人替工之糾紛汽車支會請機工會援助昨先去函汽車公司交涉
page 6	閩建設廳長抵粵商廣　鐵路與閩接駁
page 6	報關行函粵海半請免重疊稅單處罰
page 6	歌伶黃靜霞改業在中央公園前籌設靜霞飯店自任提　廣
page 6	　燧英任交通警備團團長
page 6	高等法院判決雷宜普被控遺棄案上訴駁回被告被釋
page 6	百粵同悲各界公祭黃故主席第一日情形林主席余漢
page 7	新任意大使柯賚過港北上在滬稍留即晉京呈遞國書
page 7	增設夜車
page 7	向吳請願
page 7	　電中央
page 7	開會歡迎
page 7	　　海　損失堪虞本港米行昨再電中央呼籲請即令海關放免稅洋米入口非決定派代表到吳鐵城請願
page 7	第二屆射擊比賽文武官員多參加
page 7	文武官員
page 7	參加人數
page 7	粵建設廳限期完成製紙廠五月完成七月可開始製紙安設兩機每日出紙五十噸
page 7	出組數量
page 7	規模宏大
page 7	限期完成
page 7	美駐遠東艦隊司令雅爾露氏昨乘旗艦抵港今晨上省拜會我當局駐岷美艦紛來港歡迎
page 7	澳新督巴波沙抵港定明晨轉輪赴澳履新澳會景巡遊同時開始
page 8	鄰人登樓見有火光
page 8	臭味觸鼻如燒雨傘
page 8	被告指杜惠文行兇
page 8	揭起面盤發現人頭
page 8	為期無多了
page 8	滅火局員登樓查究
page 8	背心袋內藏有名片
page 8	張氏金飾所值不資
page 8	被告阻止幫辦入屬
page 8	落髮喬裝逃匿妾寓
page 8	趙妾陳鳳亦被傳訊
page 8	死者手足纏以電線
page 8	被告被捕不認姓趙
page 8	首飾店日來紛設防盜工事領鎗及僱用護勇恐難實行
page 8	僱護勇問題
page 8	利源東街又破獲淫書機關拘報販二人每處罰百金
page 8	謀內部安全
page 8	找換紙幣之糾紛
page 8	少婦墜樓受重傷
page 8	三大漢圍毆船員
page 8	市虎噬傷兩路人
page 8	海虎艦來港購煤
page 8	合生輪尚未脫險
page 8	港督籌辦美術學院
page 8	殺人焚屍案五審趙妾抱子揮淚登堂作供趙暮來妾家剃髮易服趙屢阻消防隊入廚迨發現屍身即暗逃趙自辯謂初欲迷暈張氏奪回欠債證據稚子無知公堂見被告大呼爸爸並唱歌
page 10	英艦一艘昨抵港
page 10	澳扶輪會觀光團昨由滬抵今日　原輪返澳
page 10	揮刀傷人
page 10	無　蒸酒
page 10	擊毀飾櫃
page 10	私煙紅丸
page 10	伊路士頓任總幫辦
page 10	商會決加入迎吳大會省府事務現已結束準備移交吳定十四日上省十六日視
page 11	三江潦水已落
page 11	蕉嶺通訊公路植樹苗價問題
page 11	查報營稅應付辦法
page 11	江門米價低跌原因
page 11	瞞售金飾案之詳情
page 11	普寧商號紙票展限收回
page 11	海心鄉發生鉅竊案
page 11	呈請整理九江自治
page 11	石灣陶工反對女工
page 11	斬傷胞弟夫婦自焚
page 11	稅警緝私貨之糾紛
page 11	容桂各鄉天花流行
page 11	羅定歹徒竟藉招工騙款
page 11	象角鄉發生謀殺案
page 11	南海縣府清查各鄉川畝
page 11	公安分局改制裁號
page 11	陽春鹽警隊與民眾衝突槍傷鄉民二人縣府派員彈壓
page 14	　高法院檢察官公訴沈鈞儒等之起訴書一願留聲任頌高亦被公訴
page 14	起訴書
page 14	犯罪事實及證據
page 14	　政學會年會開幕通過耕者有兵田案　定各種方式便其實現
page 15	平津登記收效甚微私貨無法肅清走私新貨又源源而來國產綢緞業有絕跡虞
