page 1	　國議會
page 5	東路反攻軍事勝利我軍士氣益振戰局樂觀殘Ｘ竄石灘等圖固守交通線我分路追擊連日已發生劇戰寶安無Ｘ蹤各　交通日漸回復增強自衛各區組聯防隊一中隊
page 5	寶安現況
page 5	設稅捐處
page 5	征善後費
page 5	我軍攻入增城經過偽軍在城中殲Ｘ響應我逼進石龍與Ｘ激戰
page 5	我軍衝入增城經過
page 5	石龍方面張師大勝
page 5	劉發愚部昨襲莞城
page 5	沙灣市橋失陷後之劇戰我團隊曾收復市橋翌晨再陷我軍仍在古壩鍾村之間與Ｘ相持Ｘ再陷紫坭三善圖策應沙灣Ｘ兵某司令部發言人談陳村浩劫沙灣戰況
page 6	非戰區學校不得停頓全省設四臨時中學收容失學生
page 6	本報記者調查寶安沙井鄉民抗Ｘ經過
page 6	南路Ｘ艦動態
page 6	指定興寧等縣收容戰區員生
page 6	中大定期在雲南開學
page 6	Ｘ連日重犯番順各地容桂各團隊加緊繒防容奇墟頭昨已開始疏散婦孺但商店仍照常營業人心鎮定
page 6	鶴山桃源墟忽告暢旺果然世外有桃源
page 6	寶安大鵬城漸復原狀軍民加強自衛力量
page 6	恩開新會四邑縣長更易
page 6	恩開兩縣組戰時救濟會
page 6	新會各界一元還債運動
page 6	徐景唐派員視察各縣破壞交通情況因交通停滯發生糧食恐慌四邑各地決效法中山限十日將交通恢復
page 6	贛南尋鄔團隊衝突續訊縣府請兵彈壓
page 6	東莞游擊隊炸燬公路Ｘ軍運輸改由水道
page 6	漢奸引導Ｘ軍犯境
page 6	沙井鄉民抗Ｘ經過
page 6	請懲處汪兆銘電文彙誌
page 6	汪精衛又發主和意見詞意與艷電略同
page 6	福軍游擊隊最近在中番兩屬抗Ｘ經過第五支隊司令梁震崗之呈報
page 7	議決響應還債運動
page 7	全港機工一律參加
page 7	選徵收員共二百名
page 7	潮州商會今日會議
page 7	南洋學院響應還債
page 7	新藥同業晌應還債
page 7	通濟公會十七週年紀念
page 7	國際反侵略會建醫院治我受傷兵民該院由加拿大教會醫師主持
page 7	青山道自由汽車失事
page 7	中華救傷隊赴難民區服務
page 7	國醫救護隊將赴深圳服務
page 7	粵省府主席李漢魂將軍關懷難民電港記者公會代查難民情形
page 7	難民寮謀殺案黃忠昨亦斃命遺子女三人情形甚慘
page 7	華人機器總工會昨議決推行還債運動全港機工萬餘人一致參加還債潮州商會定今日討論進行辦法
page 8	某經濟專家對增闢稅源之意見主張徵收各種商業　照費
page 8	去年收入
page 8	去年支出
page 8	徵收牌費
page 8	聖保羅書院開籌賑遊藝會薛覺先等參加表演
page 8	塘西歌姬第六次義唱為中青救護團籌款
page 8	業餘　誼社舉行成立大會業餘圖書館今日開放
page 8	汽車撞傷途人
page 8	英賑華分會發表募捐宣言
page 8	兒童工藝院承造公務員靴鞋
page 8	公誠工務社選舉
page 8	廣州市成為魑魅世界市內之Ｘ聞我軍反攻大起恐慌石龍商民遭Ｘ軍蹂躪情形極慘
page 8	沙頭海面貨艇被劫劫去白米財物值五百餘元平山警察現拘獲疑犯七人
page 10	重新分配
page 10	大量收買
page 10	防止漢奸
page 10	偽鈔收回
page 10	絕對相反
page 10	論抗戰建國中的建設事業四續
page 10	五建設的統一統制與管理
page 10	建設與教育
page 10	七結論自力更生
page 10	　之豫北華方配備反攻當局積極防止日貨流入對難民渡河已實行禁止
page 11	昨日甲組足球聯賽光華士葛再度言和二比二光華先勝兩球後勁不繼蘇皇軍創出聯賽和局最多紀錄
page 11	女子籃球賽今有三場演出雪花港大有劇戰
page 11	港督寶滾球興趣
page 11	小型足球友戰訊
page 11	西貢傅來捷報南華遠征隊旗開得勝七比四大敗法國隊先施下馬威
