page 1	歐局之透視
page 6	莞城我便衣隊擊斃兩日軍官
page 6	粵軍民合作總站改組為委員制
page 6	粵自衛隊定期集中訓練軍管區訂實施計劃
page 6	粵路南段我軍出擊奏捷克復橫潭圍攻龍口我空軍揚威粵路協攻新街大浦日機場被炸損失甚重神岡日偽擾馬江中伏被殲
page 7	護僑事務加緊整理
page 7	交通改善舒適平安
page 7	鯊魚涌貨運甚擠擁
page 7	遷澳市民紛紛返港
page 7	英人登記尚未截止
page 7	失業女工不下六千
page 7	港九各重要街道亦將增設沙包壕壘加派武裝警察嚴密防守後備警已延長值勤時間
page 7	又傳日向港府提出三項要求土蔑西報所載各條款代督史美已正式否認
page 7	港九人口減廿五萬
page 7	一英輪昨抵港為航經地中海最後一艘
page 7	王孝英任中振會委員
page 7	車輛失事統計去週死三人傷四十五人
page 7	粵府電召港僑歸國全港僑胞聞訊欣慰昨日紛往省賑分會探問辦法交通路線整理完善保護已週六月份港九人口減少廿五萬
page 8	商會致華人代表函
page 8	各大行商發表意見
page 8	利威行劫殺案臬庭行將提堂
page 8	七七賣花捐款昨續收到港幣千餘元米行義捐萬餘元已匯渝
page 8	富人住宅失去珍貴首飾值銀三千餘元
page 8	祖國行一
page 8	由沙魚涌至惠州
page 8	向李主席獻旗
page 8	參觀兒童教養院
page 8	港政府趕建蓄水池維持市民戰時食水
page 8	港義勇隊司令皮得利獲勳位
page 8	少女自殺吞服香水一樽並吞戒指二枚
page 8	刺獄吏案提堂
page 8	廣東叢書第一集書目確定
page 8	居留保良局三少女突失蹤
page 8	大學聯誼會注重集體生活定期舉辦淺水灣旅行
page 8	波斯富街火警研究是役死傷住客卅餘人被焚之屋為舊式樓宇已不合現行建築　例
page 8	維多利亞會料理留英學生義務工作不受報酬
page 8	深水埔又有字花賭廠出現
page 8	廠商聯會賣物會決緩辦促會員領取國貨證書
page 8	各行商贊成組保衛團華商總會昨上書四華人代表請與警司磋商辦法保衛商場
page 10	體協會昨會議議決要案多項黃維他辭司庫職被挽留和和杯由東方星島負責
page 10	報告事項
page 10	討論事項
page 10	今夕公開籃球乙組三場角逐
page 10	足球總會今日年會畢賴特將任臨時主席
page 10	昨日學籃賽戰績
page 10	振成商學院組織校友籃球隊
page 10	昨日夏令籃球賽高級晨鐘擊敗住聯初級南洋輕取知行
