page 1	論戰時經濟政策
page 5	小托情勢又呈嚴重
page 5	米貴復遇水患東江糧荒潮益嚴重禾田四成被浸影響新穀收割民眾不免絕粒多以什糧允饑
page 5	伏處寶安邊界日偽糧食困乏四出搜掠西鄉鹽田均被擾犯
page 5	潮安偽軍投誠擊斃日顧問一名
page 5	佛山日軍調龍江我方設伏痛殲炸毀日車一輛斃日軍十餘人
page 5	粵商聯會發表告全省商民書
page 5	一協助政府加強官商合作
page 5	團結商民研究興革事項
page 5	三廣設會所充實機構力量
page 5	四統籌策劃救濟逃難商民
page 5	五繼續捐輸完成救國使命
page 5	六崇尚商德排除壟斷居奇
page 5	東江華僑組合作社招待出入華僑
page 5	西江情勢張弛靡定日機艦犯頭溪圍不逞禪炭線日增援圖犯炭步我軍衝入官窯痛殲日偽
page 5	日軍機艦犯頭溪圍
page 5	禪炭我軍衝入官窯　
page 5	彭霖生充實中新邊區防務在梅召開會議決定辦法日艦圖犯新會橫江不逞中山小托情勢又呈緊張日圖截斷鯊魚沙之交通中山偽九區區長被游擊隊截殲訊
page 6	我軍三路攻太平場
page 6	日犯石角被我擊退
page 6	瓊島我軍克復賓文進迫定安日機狂炸災情慘重
page 6	戰區經濟會成立委員派定
page 6	四邑各界紀念抗建四週年江門為偽戒嚴日艦截擊船艇
page 6	日偽劫持下的潮汕同胞整天在死亡線上兜圈子咬緊牙根期待著最後的勝利
page 6	粵省中學校長教官集中訓練受訓人員先後報到開課每週訓練項目亦已擬定
page 6	桂省實施貨幣管理後還款辦法之規定以法光訂立契約以法幣償還比價
page 6	達濠已成魑魅世界
page 6	我機轟炸增城
page 6	嶺東我軍收復潮屬下浦
page 6	順德已成匪世界眾涌青年誘殲冒軍土匪匪首索賠人命鄉人懼禍逃避
page 6	粵北續有激戰我三路逼攻太平場攻佔馬牙莊各地斬馘百餘日軍進犯石角圖突圍不逞
page 7	港越貨運至為繁密
page 7	留港各輪準備開行
page 7	英輪一艘昨已復航
page 7	廣州灣貨由澳轉運
page 7	疏散婦孺計劃現仍繼續執行美僑並非強迫疏散德籍猶僑準備離港
page 7	法僑並未奉命疏散
page 7	赴澳輪客昨又擠擁
page 7	南僑慰勞團第二分團返港團長陳忠戇談此行觀感
page 7	自衛團無復組消息擬增用華警員增強正規警察實力無需借助其他組織
page 7	我軍乘機準備反攻
page 7	日軍接濟極感困難
page 7	警探大捕遊民
page 7	華邊界日軍確有撤退準備因糧食接濟困難無法久駐我軍會合游南陽隊準備反攻
page 7	禁在輪船上出賃西紙警探拘捕五人查究
page 7	劫後之沙魚涌待運貨物無人起卸
page 7	越南政府同情英國英港越班商船已復航太古公司某輪昨日由港開出和發成行今日亦有一艘啟行本港米食供給問題可無憂慮
page 8	僑團學校聯合開會
page 8	商會舉行紀念儀式
page 8	游泳場均設獻金箱
page 8	愛國小販陳新訪問記
page 8	本港各區空地將增設防空壕
page 8	警方查究印護勇被殺案死者手槍　　失兩　及
page 8	僑胞歸國統計三年來八百餘萬人踴躍投資發展實業
page 8	沸水淋傷女童
page 8	歌姬義唱募得一萬餘元已捐送婦女慰勞共
page 8	中山我游擊隊活躍對日充分發揮反封鎖
page 8	邊境難民亟待救濟連日大雨低地積流成池難民饑病交迫情狀甚慘
page 8	悲壯熱烈全港僑胞紀念七七開會追悼死難軍民各界人士實地素食一天賣花壽款振災成績甚佳
page 10	棒球聯賽中華輕敵敗陣南華初勝仗四比二爆出冷門港啤大破工程兵
page 10	公開籃球賽今夕乙組三場戰事
page 10	中華體協會明日召開會議
page 10	東方南征足球隊月底班師返港
page 10	棟勳盾小型球賽週末揭開戰幕
page 10	友誼球賽彙誌
