page 1	承認意併阿問題
page 8	曾向僑委會立案之僑校統歸粵教育廳管理赴省受訓代表團昨已返港述參加全省教育會議經過
page 8	行開幕禮
page 8	教育法令
page 8	錄入薄中
page 8	收支手續
page 8	開始審訊
page 8	華僑銀行被騙案初審主控律師述此案發生之經過
page 8	海外學校
page 8	易去現款
page 8	華僑銀行
page 8	空白支票
page 8	葉恭綽明日演講
page 8	培英校開紀念會
page 8	國際人士同情我抗戰世界學生會派員來華英美法等國代表定下月來港集合將赴前線視察演講及慰勞我將士
page 10	痘症續有發生
page 10	均益倉增股本去年溢利二十三萬餘元
page 10	東院今日會議新　總理交代期將決定
page 10	港督昨參觀青年會對各項建設大加贊許
page 11	台兒莊血戰故事
page 11	當
page 11	胡
page 11	台
page 11	在
page 11	我
page 11	敵
page 11	某
page 11	張
page 11	犧
page 11	池
page 11	這
page 11	山西戰局在好轉中
