page 1	中日戰爭大勢之觀察
page 6	被劫情形
page 6	Ｘ機飛龍門炸永漢墟傷斃平民八十人
page 6	台山米價日漲縣府關心米荒已成立糧食調節會
page 6	四會被炸後縣府再度疏散民眾並積極防範時疫流行
page 6	鄧龍光奉召北上過汕取道前往
page 6	熊略出巡抵汕劉志陸由北江回
page 6	農曆年關已至汕市銀根短絀
page 6	惠博分區設難童教養所惠城區定十一日開學
page 6	劉發愚任一區別動隊指揮官各縣游擊隊密切聯絡
page 6	三水淪陷區魯村的巡禮
page 7	中青籌賑會昨演話劇籌款
page 7	中華救護隊加緊推進救護工作一二三各隊已抵達前方新編第四隊將回國服務
page 7	婦女慰勞會今晚演劇籌賑
page 7	最近之廣州恐怖未減依舊荒涼市民被騙回者紛紛逃走Ｘ軍禁人離境封鎖長堤
page 7	外艦由粵返港
page 7	灣仔年貨攤位已加緊蓋搭棚架
page 7	警探搜捕劫匪
page 7	三院總理任滿本月十四日改選
page 7	英賑難會續收一批捐款
page 7	法艦紛開北海
page 7	天主教徒今晨追悼教皇
page 7	Ｘ在海南登陸後法決採取強硬措置法艦多艘已由廣州灣開抵北海各國輪船照常航行但停止運貨
page 8	救濟學生會派員赴渝求助
page 8	紅丸之害
page 8	市虎噬　兩人
page 8	難民頻至請求收容
page 8	婦女節協會籌設難民工業分社擬籌經費十萬元已開始募捐中央賑委會允助二萬五千元
page 8	中振會允補助經費
page 8	旺角亞皆老街又發生巨竊案
page 8	學賑會發起捐輸利是運動
page 8	清遠同鄉會昨運藥品回鄉
page 8	福州海面佈有水雷輪船經過宜小心趨避
page 8	設門市部練習商業
page 8	東華　院資遣難民統計
page 8	婦女會賣物會續收大批貨品
page 8	婦女兵災會還債運動結束得款二千餘元
page 8	民航機之來去
page 8	臬署之農曆年假
page 8	徐東白作品展覽
page 8	謝家寶廣播演講防空的意義和重要性防空訓練是生命財產唯一保障希望居民踴躍參加防空訓練班
page 10	組考察隊調查資源
page 10	各隊分設五組工作
page 10	撥款培植技術人才
page 10	死島燃犀錄防務空虛下治黑暗不值一擊提倡迷信推行煙賭奴我民族我民眾不忘祖國仍在不斷奮鬥
page 10	政治設施
page 10	軍事設施
page 10	特務設施
page 10	教育設施
page 10	上海跑馬廳畔錢華被鎗殺開鎗者先伏於路畔守候兩鎗未死再開兩鎗致命
page 10	越過車前連開兩鎗
page 10	尚能活動再開兩鎗
page 10	爭送醫院傷重斃命
page 10	錢之略歷及其家庭
page 10	中英庚款會助我開發邊疆組織邊疆　源考察隊並協助培植技術人才
page 11	觀南南三戰九龍後想起就寫
page 11	特別銀牌準備決賽今日甲乙組各有一場甲組聖若瑟對警察會乙組工務局戰蘇皇軍
page 11	滬學生網球隊昨敗於中華會成績一比四今戰印人會
page 11	澳葡軍犯港記者準備迎戰上午十一時會師修頓場
page 11	貴重物業出投承典主命
page 11	欖勿夜冷
page 11	皇仁中學圈球隊
page 11	告羅士打大酒店小型足球隊
page 11	月星小型球團
page 11	銀牌賽三次雌雄南南淘汰九龍老景頭上有靈連建兩功鐵鏟大意被洋軍扳回一只
