page 1	英法如何保存租界權益
page 5	廣州市南團隊焚燬河南Ｘ糧械庫兩庫被焚一空傷斃Ｘ兵多名
page 5	四戰區令優待生摛Ｘ方機師
page 5	深圳發現怪機
page 5	停止寄鈔票入淪陷區郵局已佈告人民知照
page 5	粵省澈底整頓警政嚴格甄別各縣警員
page 5	香翰屏昨赴中山視察派幹員指揮三四兩區
page 5	吉隆坡歸國服務團救濟東江難民備款百萬
page 5	暹僑慰勞將士
page 5	嚴禁小學施行體罰苛罰教廳飭各縣市遵照
page 5	粵省決分區辦理防疫工作恢復縣衛生所
page 5	省府會議紀要在中山設臨時中學
page 5	Ｘ機兩襲韶關之調查毀民房數百死傷平民百餘
page 5	災區調查
page 5	江會戰事沉寂多日十六晚我軍突起反攻我團隊混入作內應Ｘ援軍中伏之傷亡犯禮樂之Ｘ亦被我擊斃多名
page 6	粵振會策動兩項重要工作兒童教養團義民墾殖場
page 6	粵各地Ｘ貨充斥韶各界商決根絕辦法並嚴懲代銷劣貨漢奸之間諜
page 6	惠來奸商竟運貨資Ｘ賄賂軍警保護運輸各界籲請政府嚴懲
page 6	潮梅防空網限期完成對付Ｘ轟炸計劃
page 6	婦女協助偵奸
page 6	消費品之限制
page 6	鼓嶼事件近訊
page 6	高雷特別區組學生隊張炎自任總隊長
page 6	三水偽縣長被狙重傷
page 6	陽江加緊訓練婦女
page 6	番禺傀儡勒征田費遭我游擊隊焚殺
page 6	順德游擊隊克復倫滘
page 6	第三行政區頒發收容丐乞辦法適齡壯丁應受軍訓
page 6	東西北三路最近戰訊我軍　和之秦捷增城Ｘ北移似有異動神Ｘ岡增援圖犯小塘我軍襲太平河清之Ｘ
page 7	保育會游藝會之盛況中西觀客逾四千人估計籌得三千餘元
page 7	澳府嚴防疫症赴澳須先注射防疫劑
page 7	閩僑定期舉行國民宣誓典禮
page 7	東區中小學生作文比賽今日在同濟校舉行各卷將在本報發表
page 7	富人之善舉吳遂志捐馬彩賑災余東璇捐筵席費三千元余家兩新娘同捐花粉金
page 7	西婦夜行遇賊
page 7	修正恩俸法例
page 7	自西貢來港途中法潛艦芬力斯號失事潛水演習歷三十小時無消息艦上官兵六十三人料已殉難
page 8	佛山輪搭客談廣州偽維持會強迫市民登記產業目的在勒收登記費及調查費市中無賴大可霸佔他人家產
page 8	手段卑劣妄冀繁榮
page 8	恫嚇之餘來港者少
page 8	　　持會壓迫市民
page 8	抗戰影展
page 8	衛生局之議案
page 8	少年跳樓自殺
page 8	酒牌局昨會議
page 8	女防空班攷試及格者十二人
page 8	山坑發現女屍
page 8	住戶報失金飾一小童同時失蹤
page 8	港府修正危險物法例俟立法局通過即施行
page 8	危險品物修正條例
page 8	違例者決依法懲處
page 8	新例加入兩個細則
page 8	犯例者牌照亦取銷
page 8	報界象棋比賽今日開始報名
page 8	小販工商聯會華民司批准註冊
page 8	明年英王壽辰定六月十三日
page 8	非法會社強迫村童入會大坑村昨晨發生械鬥某會黨徒百餘人竟登門恐嚇村人齊出抵抗雙方均有傷人
page 10	春風上訴失敗
page 10	女子籃球壓軸戰知行痛擊中華比數為四十與十八西南以三球挫華雄
page 10	荔枝角泳場今日舉行水藝
page 10	小型球賽消息
page 10	華人會昨晚水藝盛況各項節目成績甚佳
page 10	昨日棒球聯賽10-2中華經取香港今日有兩場舉行
page 11	浙北游擊區
page 11	Ｘ軍屢圖進犯結果均未得逞
page 11	隨著軍事前進展開政治工作
page 11	所有交通路線幾全被我截斷
page 11	正規軍游擊隊合作分途出擊
page 11	克復餘杭富陽予Ｘ最大打擊
page 11	國際反侵略運動大會援華工作述要
