page 1	節約年節消費
page 3	日政府強迫徵集民間藏金
page 3	成都行轅成立
page 3	川島芳子傷重斃命
page 3	張伯倫聲明為法聲援
page 3	漢奸計國楨被刺重傷
page 3	海南戰況激烈
page 3	鄂北Ｘ海陸軍火拼
page 3	赫爾廣播演說主張增強國防謂美有牽入戰爭漩渦可能緣美國生存有被他國威脅
page 4	聖約翰救傷班及格者數十人
page 4	林西河堂募捐訊
page 4	市美在港復課
page 4	住戶報失巨金
page 4	學賑會服務團昨舉行授旗禮
page 4	連日天氣奇暖
page 4	蘇心愉在港逝世
page 4	衛生局時症報告
page 4	兩社團籌辦義學
page 4	美術展覽會消息
page 4	李漢魂復粵僑救濟會嘉納諸種建議並請襄助救濟
page 5	東莞戰事一觸即發
page 5	漢奸傳Ｘ再犯南頭
page 5	Ｘ機昨午兩窺深圳
page 5	旅滬潮人請免洋米稅
page 5	東江軍訊另誌短期內反攻石龍
page 5	Ｘ軍調各地增援縮短廣州外衛胡主任之談話
page 5	Ｘ禍之餘復加以匪禍嚴究縱兵殃民之長官陳村鎮遭劫後之餘音商民請查究不法團隊
page 5	寶安土匪異常猖獗
page 5	南路各縣設置遞步哨站補助戰時交通
page 5	梁震崗抗戰保土民眾獻旗
page 5	Ｘ兵昨突犯樟木頭Ｘ機同時炸塘頭廈觀瀾
page 5	廣州Ｘ軍增援莞城
page 5	Ｘ昨晨進犯樟木頭
page 5	樟木頭再遭Ｘ蹂躪
page 5	Ｘ機分襲以瀾常平
page 5	寶安團隊嚴陣待發
page 5	粵省保安隊設十八團保安旅部撤銷
page 5	匪患影響交通江容輪渡停止
page 5	國空軍再炸虎門太平Ｘ軍詳情投彈三十餘枚炸沉Ｘ艦共三艘斃Ｘ兵千餘Ｘ侵海南島抽調珠江內Ｘ兵往援我空軍乘機炸東莞戰事一觸即發Ｘ機昨又兩次飛擾深圳
page 6	巫市長談今後政治
page 6	黃鍾請保障公務員
page 6	五區專署增款救濟南澳難民
page 6	劉侯武倡節約救國
page 6	東江各縣積極救濟難民王鐸聲之談話
page 6	粵當局嘉獎各縣游擊團隊
page 6	九區專署佈告收回輔幣代券限本月十五日前繳銷
page 6	本報特寫訪問稅警總團二
page 6	鹽務署在蕉嶺新舖築倉儲鹽
page 6	樂東苗黎火拼
page 6	Ｘ似欲試探中山虛實Ｘ艦昨竟砲擊唐家灣守軍監視嚴密Ｘ艦不敢迫近大霧山上Ｘ兵設置炮台工事
page 6	Ｘ艦三艘炮轟前環
page 6	守軍嚴防Ｘ難獲逞
page 6	試探虛實藉圖滋擾
page 6	大霧山Ｘ設置砲台
page 6	三灶島Ｘ派奸為匪
page 6	各級人員受救護訓
page 6	Ｘ向凰閣放芥子毒
page 6	汕市長巫琦談汕市今後之施政方針法重戰時教育設法使學校復課澈底澄清吏治及保障公務人員
page 7	電蔣致敬
page 7	賀參政會
page 7	中國婦女會賣物游藝會明日開幕義賣貨物堆積如山電影明星佈置影城
page 7	義賣貨品堆積如山
page 7	熱心振難捐輸踴躍
page 7	電影明星佈置影城
page 7	粵限制黃金出口辦法粵海關九龍關會銜公佈
page 7	Ｘ佔海口稅關當地市民不甘受辱紛紛逃亡法艦平傑號已開往保護僑民
page 7	英方勸牯嶺外僑離境昨在本港播音台發出通告
page 7	三賊截劫商人
page 7	越南東京婆灣華僑動員支會成立電蔣委長致敬擁護抗戰到底華僑動員總會派鄭鴻儒指導
page 8	澳督巴波沙昨日來港港督在督府設宴款待
page 8	捐金購債彙誌
page 8	藏有偽幣
page 8	航海客控妻失貞案少女登堂證母謂其母強迫盲婚係岡掩穢行彼十四歲時亦被首被告姦污
page 8	女馮秀玲
page 8	劫案七宗
page 8	兩賊圖劫深水埔住戶事主機警奔出騎樓呼救賊知事敗嗚鎗一響逃去
page 8	胡文虎捐地建築保育分院
page 8	海盜截劫貨艇掠去貨物約值八百元
page 8	泣不成聲
page 8	美賑　會賣物會將開幕游藝瓊　異常豐富
page 8	英殖民地參加美展覽會
page 8	中大員生紛紛赴滇上課
page 8	參加國展廠商共一百　四家
page 8	瓊僑昨日會議決議推動實際救濟工作
page 8	英京酒家擴充後
page 8	賑聯會今會議
page 8	　犯李壽熹入獄十四年去年劫案較前年增百分之六十法官對劫匪決予重懲以警效尤
page 10	Ｘ佔海南島與南進政策
page 10	上海在鬥爭中一年來鋤奸統計
page 11	南華音樂班開始報名象棋乒乓各股積極擴展
page 11	記者公會主辦賑難杯排球賽各隊代表昨開會議
page 11	光華足球隊農曆元旦征澳
page 11	東方籃球隊近訊
page 11	歡迓菲律賓球友一
page 11	廣州大學組體育委員會
page 11	昨晚籃球義賽女子東方挫流星男子星島勝東方
