page 1	對本港局勢應有之認識
page 5	Ｘ機窺中山牛角被擊傷墜下黃閣對開河面其中機師一傷一死
page 5	財部收購金類獎勵兌換辦法
page 5	粵當局查禁不法會黨
page 5	省參議員出發北江視察
page 5	傷亡官兵卹金迅予給領
page 5	部查各省礦業粵建設廳奉命查報
page 5	省新運會加緊民眾宣訓工作組自衛團宣訓隊
page 5	我軍大舉反攻會城及睦洲三江Ｘ全部退出分頭增援我已將三江收復崖 門戰事亦沉寂睦洲之Ｘ退據各高地雙方相持中三埠交通恢復繞道航行
page 5	新開新鶴兩路劇戰
page 5	睦洲戰事仍在膠著
page 5	我乘時將三江收復
page 5	三埠交通昨已恢復
page 5	派員督導各區國民軍訓
page 5	三沙河面Ｘ艇退去Ｘ艦昨復砲擊大黃圃袁帶派員辦理善後
page 5	水陸運輸管理先行在粵實施前設船舶車輛兩總隊部裁撤
page 5	Ｘ軍侵擾欖岡又被擊退Ｘ僅開抵黃塘忽向三水而去
page 5	Ｘ犯欖岡被我擊退
page 5	Ｘ軍圖犯楊梅不逞
page 5	鐳錠B發現對於人類的新貢獻
page 6	攻克木棉
page 6	出擊螺岡
page 6	獅嶺圍Ｘ
page 6	我團隊連日襲Ｘ奏捷番禺偽班長率眾投誠利樹宗電呈省府獎勵
page 6	行走石岐信平輪水鑊爆炸傷斃搭客百餘
page 6	欽廉安謐圍洲Ｘ兵他竄
page 6	伍觀湛部襲Ｘ連續奏捷
page 6	台山民眾聲討漢奸
page 6	嶺大慰勞團昨抵翁源向余總司令獻旗
page 6	曲江評價委會在韶成立
page 6	周老太太會見一段談話二
page 6	粵北我軍反攻克復木棉包圍螺岡神岡外圍盡在我軍手中獅領Ｘ突圍被我軍擊潰廣州Ｘ大量向從化南增援
page 7	義勇軍皆不准請假
page 7	強制服役軍委會義
page 7	舉辦汽車司機登記
page 7	戰艦調動嚴守秘密
page 7	英軍眷屬乘艦離港
page 7	旅港外僑準備離境
page 7	柴米商人乘機居奇
page 7	義賣共得十餘萬元
page 7	馮強廠獻金之踴躍
page 7	英軍操高射炮
page 7	油麻地截劫案押候三天再審
page 7	沈崧昨午出殯
page 7	千餘號電話突告不通因發電人不明駁線手續電話公司希望此後注意
page 7	僑胞第一期獻金三十萬元日間可匯出小販義賣共得十餘萬元馮強膠廠捐獻九千餘元
page 7	本港防務佈置已妥善各種措施純屬未雨綢繆本港目前地位非甚危險
page 8	全港童子軍大露營昨日在獅子山舉行長洲等區均來參加
page 8	婦女慰勞會今日兩週紀念
page 8	中央軍校招生及格名單揭曉
page 8	盜牛疑案押候
page 8	南華南征隊連聲報喜三比一挫梳勞隊四對三克馬集隊
page 8	記者水上運動會今日假華人泳場舉行下午二時開始節目異常豐富
page 8	國際棒球賽今日揭開戰幕不列顛出擊葡萄牙
page 8	宵來水球戰績
page 8	南遊日記廿三
page 8	巨石壓斃石匠法庭研究其死因
page 8	桂在港募機工三十餘人應募
page 8	截劫疑犯初審
page 8	本港政府非勸華籍婦孺離境郵務司廣播係對英婦孺而言僑胞不可誤信謠言自相驚擾
