page 1	抗戰中之青後節
page 8	少婦被歐重傷男婦同行忽發生衝突
page 8	駐港英艦統計
page 8	國民公約宣誓青年記者學會昨日舉行
page 8	普益商會還債運動成績
page 8	華商籌賑會議
page 8	難民祝勞動節
page 8	中環街市昨正式開放鮮魚雞鴨檯開始營業
page 8	敬告廣東女同胞書新運促進會婦女工作委員會
page 8	偉大任務
page 8	指示我們
page 8	動員婦女
page 8	白崇禧電覆四邑商會拆卸碉樓有利我作戰請忘個人犧牲爭取國家勝利各邑商會紛紛運米回鄉散賑
page 10	宵來籃球聯賽東方受挫於星島乙組春草與培英得利
page 10	友誼足球賽南華壓倒海軍
page 10	今日網球雙打準決賽林珍兄弟對李汝榮何家鎏組誰獲勝利則與徐家將作決賽
page 10	澳埠際足球隊決來港戰東方定本星期日舉行客軍陣勢已排定
