page 1	論日本經濟外交
page 4	八九金人心略淡
page 4	省法幣市情平穩
page 4	舊中紙價昨略跌
page 4	滬外匯市情穩靜
page 4	我國女籃排球權威東亞在港比賽編定排球廿五日上午十時大戰南華籃球廿六七日分戰青年會港聯省潔芳女籃球隊亦來港挑戰
page 5	分配辦法
page 5	防止別運
page 5	開始登記
page 5	米市情形
page 5	裁民食會
page 5	李大超談
page 5	各界請求
page 5	平糶停辦
page 5	程天固來粵任務謀根本解決粵米糧食程世民代表接見記者談解決糧食進行步驟程氏在粵任職絕對不確
page 5	廣九路撥還中英公司本息法借款基金保管會決議
page 5	韶州至大坑口路限期完成
page 5	農民銀行在粵放出農貸款數目廣東合作協會本月內開大會
page 5	廣州社會局籌設師範學校
page 5	粵海關請統一緝私權請撤銷廣九緝私委員會
page 5	廣九鐵路加開星期快車
page 5	吳主席訪晤省市黨部特派員
page 5	免稅洋穀米入口事宜仍由民食調節會辦理
page 5	闞宗驊談黃薊本月內過港晉京請示整理桂幣辦法李宗仁晉京期未定
page 5	林雲陔巡審計處
page 5	免稅洋米一百萬擔運粵發證登記與分配辦法務求辦理迅速實行調劑鄭岱青及李大超之談話
page 6	土造火柴業凋零中粵土造火柴業之統制由現存十二廠家呈准實施設立火柴聯合推銷處
page 6	蠶絲貸款昨已登記完畢共有絲廠三十餘間俟呈省府後可將現貸葉琛對記者談
page 6	內政視察員廿四日可抵粵省府民廳派員引導
page 6	北大將遷桂林訊
page 6	張惠　談此次返粵係省親
page 6	營業稅局對異議行商之處置不服評額過高者一律抽查賬簿第一期稅款每日可收五六千元商會通告兩誌
page 6	異議營稅須先繳稅
page 6	未入會商店報稅法
page 6	土布公會請嚴辦設店收女工盜紗
page 6	國民經濟建設運動委會廣東省分會長
page 6	革命老人宋居仁當興中會成立時
page 6	兩廣外交特派員　作
page 6	廣東財政廳
page 6	番禺縣長林世恩
page 6	瓊崖籍被裁兵士黃強請編隊築路
page 6	海上安全運動兩方法取締舊爛船渡航行舉辦渡船職工訓練
page 6	禁煙持派員公署成立後禁煙會存撤之兩說會決撤銷售吸所訊
page 7	歐亞航空公司西北線擴展至港可實現港政府已贊同祇候英廷批復實現後由滬至柏林僅需七天
page 7	港府贊同
page 7	馬來亞政府文員對本港婢制存廢問題之意見婢及育女註冊非根絕婢制之道救濟中國貧乏即可使婢制自廢
page 7	育女註冊無濟於事
page 7	販賣婢女巧逃法網
page 7	魯警殺妻自戕案同侶捐資運送旅櫬回籍全隊魯警昨日均到送殮鐵店少東可望渡過危關
page 7	華警搜查
page 7	深水　基隆街槍聲卜卜樵夫拒捕以柴刀斫傷華警華警放樵夫中彈就擒兩人務勢非重日間可愈
page 7	林翼中腸炎復發
page 7	陳慶雲赴杭履新
page 7	發生地點
page 7	樵人就捕
page 7	拒捕擊差
page 7	警探查究
page 7	亞洲皇后輪遇霧
page 7	血濺青樓一口利刀洩卻滿胸積恨少年殺妻及傭婦後自殺四次改嫁之婦人因夫失業願當娼兇手重傷後仍大罵岳母放白鴿
page 8	東龍島海賊又截劫貨艇掠銅仙數十包價值千餘元
page 8	范連尼離港赴滬據談法對中國同情與諒解
page 8	律師割勢案法庭昨日研究終結斷定吳邁係酒後自殺而死疑當時向同遊女子求歡女驚逃去吳情急自宮暈倒傷頭流血過多殞命
page 8	血蹟殷然
page 8	天氣嚴寒
page 8	各陪審員到遇事地點
page 8	九龍關金伸算法
page 8	第二批受訓縣長昨來港轉輪晉京
page 8	幽會於此
page 8	瓊崖攷察團出發今午乘美南輪船
page 8	駐西江英艦赴澳艦長官式並會澳督
page 8	徐悲鴻個展會下月在港大舉行
page 8	旅店將增加房租預料來港看會景者必眾
page 8	車輛失事之統計
page 8	發展農業及開礦使稅收增加本港徵稅問題又一主張
page 8	港政府委任令一束
page 8	書法比賽截止報名
page 8	鄒敏初鄒殿邦赴滬
page 8	保兒會月會報告嘉倫台嬰院將落成貧家子女若付托該院管理做母親的可安心出謀職業
page 10	吳鐵城函謝僑胞
page 10	華北旅行團改六月一日出發
page 10	竊巨金縱情嫖賭少年處徒刑二月
page 10	衛生司時症週報
page 10	駐粵日副領易人
page 10	英兵一旅調星洲
page 10	日領籌祝日皇壽辰
page 10	電器商歡迎袁宗耀
page 10	青年會續辦國語班
page 10	高級法庭判決紅丸案兩宗被告一處徒刑五年一無罪獲釋
page 11	台山焚殺案已捕一人由沿途血跡偵查在某號舖內拘捕
page 11	搜獲六沙碉樓私煙
page 11	禁土膏店獎勵銷膏
page 11	破獲大良北區煙窟
page 11	佛山住客請減捐額
page 11	三水拘獲槍殺隊長兇手
page 11	破獲躉藏銅仙窩家
page 11	召開首次行政會議
page 11	五一開縣行政會議
page 11	令發鄉鎮經費標準
page 11	江門售吸所暫停業
page 11	新會葵扇暢銷湘鄂等省
page 11	縣府遵令厲行煙禁
page 11	營瀝公路限期完成
page 11	廣州市工務進行概況二林逸民在市府紀念週報告
page 11	台南公路被寧路公司制止行車案各鄉長呈請縣府解決
page 11	台山捕賭慘案續訊
page 14	總動員下的綦重工作
page 14	房租飛漲其代價驚人
page 14	德經濟部長沙赫特之生平是希特勒政府中之財政專家將德國經濟導入統制的階段
page 14	教堂座席將增至九千
page 14	江西景德鎮瓷業考察記上中　社記者
page 14	製磁原料
page 14	製造方法
page 14	陶瓷沿革
page 14	全國如醉似癡熱烈籌備加冕前之倫敦全貌威斯明斯德大教堂修葺煥然一新預期倫敦人口將陡增百萬人以上
page 15	日本總選舉戰前夜新黨運動之趨執分化統合造成政治中心政民兩黨已成強弩之末
page 15	燒窯情形
