page 1	德國外交形勢
page 5	鶴山情勢又略鬆我軍實行以攻為守日軍犯大沙圖威脅中山八區岐關公路之橋樑時被我破壞日圖通車現在亦不能確定
page 6	清從佛民眾發動三縣聯防抗戰
page 6	李主席漢魂崇報忠貞令建李輝南夫婦忠烈
page 6	桂綏署嘉獎收藏武器村民
page 6	鄧集團軍桂南前線鏖戰記一平凡的地區險惡的戰鬥
page 6	胡文虎捐建桂省各縣校舍
page 6	東線我軍展開攻勢增城近郊戰況一度攻入絲村楊溪侵犯二龍日軍中伏
page 6	攻入楊溪
page 6	開向二龍
page 6	桂洲日偽突向容　撤退容奇日軍大部回艦他去中山三九兩區被日軍蹂躪之慘況
page 7	兵災會昨派員往澳
page 7	廠聯會決撥款蓋棚
page 7	寶安邑僑救濟桑梓
page 7	華商籌賑會昨會議
page 7	否決一碗飯運動案
page 7	觀音得道定期義映
page 7	藥行商會捐款贈藥
page 7	四月十一晚燈火管制辦法本港船政司之通告
page 7	訂定辦法
page 7	燈火管制
page 7	嚴厲舉行
page 7	張善琨昨抵港
page 7	覆舟慘劇溺斃男女三人
page 7	本港邊境安謐如常在南頭登陸不多本港軍事當局之佈告
page 7	廣州日軍曾入駐扶輪會會員楚諾氏之報告
page 7	牛奶冰廠公司獲利九十萬元創四十餘年最高紀錄
page 7	港督確將返英僅為渡假性質並無政治意義
page 7	防空班將開課
page 7	砲兵駕舟遇險
page 7	中山海外同鄉濟難會再撥四萬元救濟難民逃澳難民露宿者仍眾須蓋棚收容商賑會昨日否決一碗飯運動案
page 8	港僑救護團三人脫險返韶
page 8	女鋼琴名手姚錦新昨抵港將開慈善演奏大會
page 8	明日為黃花節各僑團將下半旗誌哀
page 8	南頭果菜運港
page 8	救債分會銷債成績銷債捐款共國幣十餘萬元
page 8	戰稅法案尚待審訂暫不提交立法局討論
page 8	議員談話
page 8	議事程序
page 8	燒臘店主被控發售死豬判罰一百五十元
page 8	鄉婦貪財被騙騙匪入獄兩月
page 8	新安多尼奧輪尚無脫險消息
page 8	警察週年大操今日在中央警署舉行
page 8	醫務署今遷址
page 8	兩人藏密電碼各被罰二十元
page 8	娛樂公司年會去年獲利八萬餘元
page 8	西江青年會開幕
page 8	後備警勒索案今宣判陪審員六比一認被告罪名成立
page 10	週末東南大戰雙方陣容排定工力悉敵劇鬥難免各種門券預銷一空
page 10	乙組銀牌準決賽南甲今戰工程五時在加山
page 10	皇仁書院昨舉行廿四週年陸運項目豐富爭持殊烈成績亦佳梁壽康陳新超分獲高初冠軍
page 10	南華徵求近訊
page 10	日本五金向仰給美國美日商約現已廢止日軍械原料將告荒
page 10	東方不日征菲下週球事特忙分日迎戰勁旅
