page 1	美國態度之緊張
page 5	北江Ｘ軍調動甚忙我機炸象山Ｘ陣Ｘ圖牽制我軍反遭我牽制
page 5	一區游擊兩支隊改編成立袁帶李振威任司令
page 5	我機猛炸Ｘ軍陣地
page 5	從化Ｘ軍頻頻移動
page 5	Ｘ兵力空虛疲於奔命石莞太等Ｘ又抽調廣州石龍Ｘ防我反攻自動炸毀鐵橋增城Ｘ略增惠博我軍嚴為戒備Ｘ機連日飛寶安窺察但無投彈寶屬地方安謐南頭沿海無Ｘ艦
page 6	西樵Ｘ懼我殲擊星夜撤退Ｘ退後民眾聯合清匪
page 6	鶴山各墟場下午集墟因避免Ｘ機窺伺
page 6	宋子文陳策等籌賑瓊島
page 6	西江各鄉民謀生甚難不惜遠道負販可憐多遭折閱
page 6	徐聞海面Ｘ艦減少
page 6	汕抑平米價進行成立調查委會
page 6	省黨委黃鐘離汕赴韶會議
page 6	饒神父南下事畢返滬再過汕頭
page 6	西江各點線Ｘ防空虛我團隊夜襲瀾石Ｘ營殲斃Ｘ兵三十餘焚燬Ｘ營半座佛山偽政警支隊長羅泉被轟斃
page 7	救濟學生委會昨開緊爭會議
page 7	總理逝世紀念決在皇后戲院舉行
page 7	名勝攝影展覽明日在聖約翰禮拜堂開幕
page 7	兒童保育會舉行一週紀念
page 7	外匯價格昨日飛漲
page 7	兩行合貸五百萬鎊
page 7	中英兩方派員辦理
page 7	防空展覽會試放毒氣今午在半島酒店門前舉行下週實習撲滅燃燒彈辦法
page 7	兩帝航機到港
page 7	輪客被竊巨款
page 7	謀殺苦力疑案押候七日再審
page 7	英政府將徵募中印人一千名由英國軍官加以訓練使擔負防衛地方之責
page 7	倫敦宣佈貸款我國後宋子文發表重要談話我法幣穩定中外商業同受其益國幣對外匯值及粵幣價昨飛漲
page 8	收支報告
page 8	難民賬幕
page 8	難童教育
page 8	工務局職員被控案昨續審
page 8	恢復港粵交通問題英議員今日在下院提出研究
page 8	勒索疑案提堂
page 8	國貨展覽會昨開結束會議
page 8	紅丸案昨詳臬
page 8	惠陽青年會賣物會之籌備
page 8	我游擊隊乘夜殲Ｘ
page 8	旅港瓊僑積極募捐
page 8	海南我游擊隊夜襲Ｘ營斃Ｘ四百餘文昌楊永仁編練青年軍抗戰在Ｘ軍盤据下海口已成死市
page 8	籌賑餐舞會遊藝秩序編定
page 8	商會籌備改選
page 8	勿　爾環遊世界四次
page 8	香港汕尾將有一輪行走
page 8	紅丸犯受重懲
page 8	疋頭公會十八週年紀念
page 8	法官垂憐老丐著其舊店東設法救濟
page 8	　平民宮
page 8	花菜展覽會昨開幕　紫嫣紅何是好商量煞費女兒心
page 8	老翁自縊殞命
page 8	女　人金素琴明晚義演籌賑
page 8	Ｘ在海口大開煙賭
page 8	英賑難會捐冊下星期可發出
page 8	兩批賭徒被罰
page 8	青年會徵求會友
page 8	陳誠嘉勉蔣國光
page 8	　　救難會難童學校無發擴展教育司及英振難會不允資助現各區難童失學者凡七百人
page 10	孤軍的由來
page 10	在困苦中長成
page 10	孤軍的領導者
page 10	第二期抗戰宣傳綱要四國民政府軍事委員會政治部第三廳
page 10	孤軍的將來
page 10	愈戰愈勇贛北廬山孤軍他們能實行　戰的要領在Ｘ人手中奪取槍枝衣物
page 11	聖若瑟書院昨舉行陸運會創四項校紀錄
page 11	公開網球賽單打戰情劇烈大告山奴被創於林添德
page 11	芬蘭如何籌備第八屆世界運動大會三
page 11	上屆女籃球冠軍明晚舉行頒獎屆時由冠軍隊與聯隊表演繼舉行本屆男子公開比賽
