page 1	美實施禁運以後
page 7	孫寒冰遺族教養基金交通銀行暫代收管
page 7	汛美機昨抵港
page 7	路透社遠東經理張雪樓昨抵港
page 7	南洋惠僑三代表將南返
page 7	玉蜀　疹突見流行貧民營養不足多患此症藥價奇昂貧民無力購用
page 7	總統輪船公司增建巨輪七艘第一艘年底可下水
page 7	意僑無離港意僅有一部份婦孺赴滬
page 7	港僑自衛團收支數目核竣尚存九千八百餘元
page 7	衛生局昨例會
page 7	廣生行化粧品公司灣仔貨倉又發生火警發覺尚早灌救迅速未成巨災損失財物值五千元一人微傷
page 8	十五證人登堂作供妻伴夫眠妾獨宿林氏常有怨言關謂如己唆使丈夫與妻離異案情訊畢庭諭詳臬定讞
page 8	蓄恨在心詬誶頻聞
page 8	藉廚燈火備見兇狀
page 8	何謂妲已一語哄堂
page 8	林氏受傷墮下二樓
page 8	被告聲言與夫分居
page 8	八一三小販義賣各界賑聯會擬協同辦理昨已派員與小販會磋商
page 8	證供已畢詳臬定讞
page 8	入睡女童衣亦染血
page 8	趙母被斬右腕　斷
page 8	九龍城命案之研究少婦何妹係被勒斃兇手逃去在緝捕中
page 8	擅攜書信出口店伴被罰廿五元
page 8	蛋女被炸殞命警探訪尋屍親
page 8	薄東灣劫匪五人被捕探隊任務完畢昨返尖沙嘴
page 8	童匪入店強搶收賬客損失數百元
page 8	繼銀行之後洋行亦變更營業時間較平時提早半小時渣甸洋行昨已實行
page 8	國醫節醫界獻金
page 8	中醫譚次仲來港
page 8	李鴻飛個人畫展
page 8	三屍四命案續審
page 10	籃球運動日見蓬勃西青會有意參加來屆聯賽如成事實西洋會亦步後塵
page 10	南華歌詠班今晚開始訓練
page 10	華人游泳會籌備慶祝卅週年紀念本星期日旅行青衣
page 10	充任學籃賽球證
page 10	學界排籃戰訊
page 10	培正籃球隊昨已班師返澳
page 10	今夕公開籃球賽乙組兩場戰事培英迎擊精武太古對抗康元
