page 1	粵北戰況
page 5	廣州日軍最近之拉伕情形共拉二千三百餘名即運赴瓊崖當苦工
page 5	黃麟書談鼓勵粵省大學內遷政府決予以種種便利使高中畢業生易升學
page 5	衛生機關前方借用校廟各部隊不得迫移
page 5	赤溪縣長遇匪狙擊重傷政警隊長隊兵斃命
page 5	曾同春抵韶關向李主席報告宣慰僑胞經過
page 5	炸彈諒係圖炸該部
page 5	市區及內區各卡口
page 5	原日市教育局舊地
page 5	原有日軍馬隊屯駐
page 5	廣州市各偽機關連日發生炸彈案十九日一天內發生餘宗原駐市內馬隊已調東江
page 5	廣州與各縣米荒均趨嚴重階段日軍一面搜掠米石又嚴令偽商會維持順德每元購米六兩餓殍載道
page 5	戰時軍事徵僱民夫傷亡者撫卹法
page 5	桂米運照暫緩發給原因
page 5	粵省府規定雇員名稱薪額
page 5	粵桂邊區游擊部取銷募撫處
page 5	戰區戰地之區別解釋
page 5	西路日軍抽調北援中我軍已乘時向江會進逼日艦多已他移三澳輪渡復航情形佛山日軍忙築砲壘防我團隊襲攻
page 6	攻豬子糧佔牛頭腦
page 6	良口溪頭相繼克復
page 6	一二七次省務會議誌要更調連澄興三縣長民教經費案交審查大良兵團隊長卹款
page 6	用日軍車掃蕩殲日
page 6	戰工隊招女隊員第一批已抵韶
page 6	海外華僑捐款振災續誌
page 6	粵省設立區建設委員會
page 6	四戰區司令部通飭切實保障人權
page 6	依照決定分頭部署
page 6	沿海日艦最近動態
page 6	平吉日軍全被驅出
page 6	桂南戰事進行中高雷吃緊我當局已嚴防日艦行蹤飄忽不斷搜查外輪十萬大山遊擊隊俘獲四日兵那馬我軍向日軍側擊再獲戰果
page 6	日北犯陰謀完全粉碎我克良口溪頭向南推進朱仙嶺老虎頭日軍被我肅清牛頭腦牛角山日軍狼狽潰竄
page 7	內地貨物運港稀少
page 7	運澳貨物略為增加
page 7	港督已抵錫蘭電謝送行親友
page 7	朱友漁赴海防
page 7	利威行劫殺案犯李若瑟昨出院今日提堂定期開審
page 7	南路各縣執行禁令
page 7	皇仁書院努力籌賑兵災
page 7	本港陸軍操炮
page 7	英慰勞會去週募捐成績
page 7	粵桂實行禁牲畜出口來源斷絕本港肉價暴漲肉行商人急謀補救辦法
page 7	中藥商會十五週年紀念
page 7	米行公所參加傷兵之友捐助國幣一千元
page 7	警探嚴緝竊匪
page 7	婦人蹈海遇救
page 7	肉行商人設法補救
page 7	本港政府嚴防每五縱隊再徵用喇沙校舍準備作羈留所日前所捕德僑非第五縱隊份子
page 7	中澳交通恢復之第一日商旅往來咸有戒心因日軍日前給予之印象太惡劣各鄉土匪亦猖獗沿途勒收行水
page 8	誤殺疑匪案詳臬定讞被告不願在初級法庭作供
page 8	中華百貨公司昨開股東年會附充券決憑本十五萬元
page 8	女兒肩試演記
page 8	關麗珍再提堂七百餘人到堂觀審六月三日正式提訊
page 8	爛頭島謀殺案判決被告陳添勝無罪省釋因行劫時未有蓄意殺人
page 8	大批賭徒被罰賭款數百元撥入濟貧箱
page 8	賑聯會昨會議
page 8	平海附近賊又劫船損失四百餘元
page 8	六個漁人被控劫艇臬庭咋日提審
page 8	覺先聲劇團義演王昭君為兩善團籌款賑災
page 8	墮胎案之餘音鄺素貞改處徒刑十八月
page 8	偽當票案詳臬一被告無罪獲釋
page 8	秋季馬票已發出
page 8	印度禁限外貨進口西商會已接正式通告本港廠商對印貿易將大受打擊但本月初旬定下貨物仍可運去
page 10	足球聯賽小組委會昨日召開會議報告派隊赴星比賽須先得星總會批准
page 10	南華泳場動態
page 10	昨日學排賽僅得一場舉行初級保羅克西南
page 10	培正籃球隊月底興師犯港決定比賽三場
page 10	小型足球戰績
page 10	華雄會舉辦夏令籃球續訊
page 10	九龍區高級學籃賽本月卅日開始角逐全部秩序經已編定
