page 1	英德外交戰與蘇聯
page 6	日艦艇再進犯三塘
page 6	廣九路前線我軍向深圳外圍日陣砲轟又傳日軍將退離寶安
page 6	最近日軍換防調查
page 6	我軍砲擊各地日陣
page 6	日軍撤出寶安之說
page 6	潮安外圍戰事續起
page 6	潮安繼續劇戰日反撲筆架山犯大黃坑潮北日軍蠢動又被擊退
page 6	菴埠日軍兩路出犯
page 6	汪會各線戰事沉寂
page 6	曲江取締私塾
page 6	粵東西江兩線驛站興工
page 6	日機騷擾四邑
page 6	我游擊隊炸石岐賭場傷斃賭徒數十事後日大捕市民歐大慶辭縣長職楊某將上場
page 7	三達職員眷屬返國
page 7	西人大鬧香港日報社排字華工多被痛毆該社大門亦被拆毀
page 7	菲島僑胞踴躍購航空券戴愧生等續赴各地勸銷
page 7	英籍婦孺繼續疏散
page 7	深圳聯鄉籌賑會函請賑聯會救濟難民一字一淚不忍卒讀
page 7	福建省銀行慶祝五週紀念
page 7	日僑商店多被警探搜查
page 7	巴拿馬輪將行走港越線
page 7	警探捕獲劫艇疑犯五名
page 7	汎美機未到港
page 7	華商會昨會議討論保衛團組織事宜
page 7	各僑團紛紛響應節建儲蓄運動儲蓄團總部在組織中
page 7	商人望取銷節省陽光法令
page 7	本月份刑名案臬庭定期開審
page 7	廣州灣總公使昨乘機返西營
page 7	美領修薩福特否認強迫僑民撤退美僑商仍照常營業無結束準備但婦孺定本週離港者已數百人
page 8	法例草案將可發表
page 8	一　僑胞不敢離港
page 8	南菲洲與歐戰
page 8	劫案兩宗押候
page 8	婦女兵災會雙十獻金萬元
page 8	衛生局擴大防癆宣傳喚醒市民注意肺癆症
page 8	省　澳輪復航今日恐難實現
page 8	雙十贈旗成績各團體紛向商會　報
page 8	捐贈英廷款物統由港府代寄
page 8	嚴緝竊防禦物匪徒警司昨通令水陸各警署
page 8	少年途中遇刺兩兇手逃去
page 8	庫務署已遷徒昨日恢復辦公
page 8	購買上布之良機
page 8	本港移民法例將不致影響華僑商業華僑進出口手續亦務求簡使華人代表對商會主席之談話
page 10	緬甸華僑足球隊犯港難成事實因總會未能指定日期協會將去電陳述一切
page 10	全港華人水上競技今明兩夕舉行預賽各項目參加人數甚眾
page 10	港九住聯會舉辦長途賽跑細則公佈全程一萬三千五百二十七公尺
page 10	足球健將告氏兄弟動態
page 10	港澳埠際乒乓賽下週在澳舉行
page 10	足球法庭明日提審球犯
