page 1	抗戰勝利之曙光
page 5	瓊島游擊隊襲擊儋縣Ｘ軍
page 5	桂民團精銳開粵桂邊佈防
page 5	潮汕形勢又趨和緩軍事政治積極佈置整理汕市及各縣之特別戒嚴
page 5	各地特別戒嚴
page 5	整頓各地團隊
page 5	設水陸聯運處
page 5	歸併糧食機關
page 5	工作團之訓練
page 5	教廳電映隊分赴戰區工作
page 5	汕市易長續訊巫峙調長潮安
page 5	粵省將實行管理特種消費品進口並酌量減少進口實行戰時節約辦法財廳草擬中不日即可施行
page 5	中山沿海Ｘ艦動態
page 5	桂洲六鄉傀儡Ｘ軍勒令聯保
page 5	Ｘ再向睦洲發砲示威我當局增強各河道封鎖線我團隊夜襲岡州路之收穫
page 6	Ｘ擾蘆西進犯黃塘
page 6	西線我軍反攻魯村
page 6	我游擊隊夜襲Ｘ陣
page 6	增強殺Ｘ力量東江游擊隊組聯防區並訂定禁運資Ｘ各項物品
page 6	三四兩區設聯防區
page 6	訂定禁運費Ｘ物品
page 6	省振會救濟隊昨抵西江
page 6	一區專署實行封鎖順德
page 6	曲江加緊疏散人口由警局隨時清查
page 6	清從線上二
page 6	民廳派員赴各縣督促禁煙
page 6	順德黃連被匪洗劫
page 6	省府令肅清曲乳邊匪
page 6	陽江各區匪患肅清匪黨多投誠效命
page 6	欽縣舉行清查戶口
page 6	張冠英視察稅務昨抵海徐海康北海兩稅局長易人
page 6	海口Ｘ機練習相撞飛行員三死一傷
page 6	西線戰事繼續展開黃塘魯村血戰激烈我軍全線出戰游擊隊夜襲三株榕
page 7	傷勢轉劇
page 7	臨終遺囑
page 7	殉職警探
page 7	因傷逝世
page 7	尹氏略歷
page 7	沈慧蓮女士慰問深圳難胞
page 7	七七抗戰紀念日酒樓行準備專賣素菜肉行商會亦擬停屠一天文化社昨開紀念籌備會
page 7	山村道住客反對加租去星期五日聯開屋頂會議如業主迫遷決心法律解決
page 7	華人自動登記已有五百餘人
page 7	霍亂有蔓延勢衛生當局積極設法遏止
page 7	童軍服務團將赴前線工作
page 7	增建集中營收容留港華軍
page 7	金銀場將改選
page 7	菲華僑召開遠東青年大會邀請港方派代表參加
page 7	警界之光利源東街捕盜受傷之華探尹文昨日逝世歷年殉職華籍警探僅十六人警司深表今日決往執紼
page 8	華南發生戰事後本港出入口貿易狀況去年出口貨總值七萬萬餘元入口貨僅值六萬萬二千萬元
page 8	出口統計
page 8	入口統計
page 8	一九三八年度五十五行商業之回顧三柴炭西藥求過于供兩行均獲利各江航業因交通梗阻大受虧折
page 8	建造行
page 8	造船行
page 8	首飾行
page 8	當押行
page 8	煤炭行
page 8	茶業行
page 8	罐頭行
page 8	膠鞋行
page 8	化裝品
page 8	陶器行
page 8	樟木槓
page 8	爆竹行
page 8	製漆行
page 8	鹽業行
page 8	麵粉行
page 8	麻包行
page 8	西藥行
page 8	鞋行
page 8	市虎連傷四人
page 8	巴士闢新路線由跑馬地至石塘嘴
page 8	戰地服務隊昨舉行授旗禮日間開赴潮汕服務
page 8	小童墮坑溺斃
page 8	新發明之電鏡
page 8	市民參加防空訓練畢業者已二萬五千人女界竟佔萬五千名較男界尤踴躍全港警員亦已受訓戰時可保無虞
page 10	昨日雨阻棒球賽場內壞人大講棒球經
page 10	三比二南遊隊僅勝南圻乙
page 10	申報杯女籃球義賽今夕有兩場劇戰第一場中華對西南第二場知行遇華雄
page 10	南華泳場首次水藝今晚舉行
page 10	伯裘杯足球戰績
page 10	兩團體合辦清水灣海浴消息
page 10	港滬埠際足球賽雙方修訂規則港足球總會今日召開會議
