page 1	德意蘇聯盟之可能性如何
page 6	放棄大黃圃
page 6	日偽分兩路
page 6	又大舉增援
page 6	仍在我軍手
page 6	公路處長易人陳正源接任
page 6	廣州報郊我游擊隊再進襲楊箕村
page 6	嶺東路縣春禮勞軍誌盛
page 6	粵地方行政幹調團組織規程及學員調集法第一期定四月十日開課香港招考出地政局辦理
page 6	訓練團組織
page 6	學員調集法
page 6	日軍增兵市橋分頭出擾
page 6	日偽擾向中山三九兩區我各地團隊抗戰詳情二十晨小欖大黃圃仍在我手袁帶所部已展開爭奪戰多次日機狂炸小欖下基落彈最多
page 7	難民悽苦
page 7	小輪停航
page 7	僑團急賑
page 7	教忠學生在港組同學會
page 7	造船學會請施柏堅演講
page 7	蔡子民之言行王雲五今晚演講
page 7	大學生聯誼會明日行成立禮昨開最後一次籌備會議
page 7	意神父赴中山散賑意被日方拒絕四女會代表赴澳散賑
page 7	克利浦昨抵港
page 7	耶穌受苦紀念耶教徒昨開會祈禱
page 7	虎戲義演成績募得一千四百餘元撥充難童學校經費
page 7	某富商組織公司由黃埔運菜來港圖利租用貨艇凡三十艘已有兩批先後到港
page 7	趙母與趙侗將運港公映
page 7	沙頭仍在我手難民二千餘避入新界露宿山野啼饑號寒為狀至苦各慈善機關已紛紛趕辦急振
page 8	運星織品五六百萬
page 8	有等廠家積貨如山
page 8	趕緊月底照單運星
page 8	數萬工人同受影響
page 8	外人方面所傳消息
page 8	關於數額上之限制
page 8	本港德僑並非移押澳洲
page 8	華探七名擢陞
page 8	後備消防隊舉行技術比賽
page 8	學界擴大慶祝兒童節增借三大戲院為慶祝會場
page 8	英廷限制膠鞋運英不致影響本港廠家港政府批覆六大膠廠
page 8	西人被車伕摸竊
page 8	婦人旅店服毒
page 8	昨晨發生小火警
page 8	　紅磡知工響應春禮勞軍　木行商會續捐二萬元
page 8	紅磡僑工
page 8	　木商會
page 8	破獲一舖票廠拘疑犯四名
page 8	學賑會服務團第四隊昨日出發
page 8	港九住客聯合會將請另充滅火水喉該會新職員月底複選
page 8	港督赴粉嶺渡假
page 8	開本港新紀錄保險銷貨場出現
page 8	屬於限制一類之織造品本月內可運星星洲各辦莊日前電促港廠運貨四月一日以後星政府不准入口
page 10	今日甲組足球聯賽國軍四路動員東方對米杜息有劇戰乙組銀牌兩場頗重要
page 10	東方對米杜息
page 10	光華對南華南
page 10	南華華對海軍
page 10	九龍對聖約瑟
page 10	昨日之戰蘇軍告捷五比一大勝香港會
page 10	公開男子籃球賽卅日截止報名報名單已擬定方式
page 10	宵來籃球義賽澳記者隊不敵星島港記者壓倒馬上英雄小型球賽澳隊又失利
