page 1	進行遲緩中之英蘇談判
page 3	法總統勒白倫就任二屆總統咨文眾參兩院望具信心以堅勒精神謀國家幸福
page 3	美艦多艘將駛回太平洋
page 3	經濟專家觀察歐戰如果爆發滬工業發達外貨進口減少德意貨物絕蹟外幣跌價外人地位無大變更
page 3	美海軍參長謁總統會商造艦計劃即將開始建造主力艦兩艘造價各約九千三百萬美元
page 3	英外務常次邀准辭職
page 3	Ｘ機慘炸泉州毀民房商店數百閩西長汀亦被炸
page 3	郭泰祺演說中國現努力抗戰建國發展西南諸省打通國際路線此種偉大事業竟短期間做到
page 3	極權國家又演把戲日出任調停德波糾紛日將來提出方案在推進反共運動倘德波接納調解日即作具體行動
page 3	英將正式宣佈英土協定成立教皇得德意兩國之切實擔承決心打銷召集五強會議計劃
page 4	各教育宗教團體將追悼黃啟明
page 4	戲劇界明晨舉行國民公約宣誓中　委員陳策為監誓員
page 4	保兒會昨會議徵求會員案通過
page 4	林西河堂昨開同人大會選舉第十二屆新職員
page 4	廣度省銀行招考辦事人員
page 4	防空教練考試及格男女七人
page 4	英皇加冕紀念
page 4	林甫田演詞
page 4	林暉庭演詞
page 4	老婦夜行遇搶匪
page 4	彭紹賢今晚演講
page 4	尖沙嘴四賊圖劫西人住戶一少年奮勇抵抗被賊刺傷恐被捕逃遁僅獲一疑犯
page 5	江佛路我軍克白土
page 5	我一度衝破佛子
page 5	我游擊隊衝入北街
page 5	Ｘ恐受困退出會城
page 5	我團隊已開入會城
page 5	中山前線隊長訪問
page 5	當局發言人之公布
page 5	五區電告收復會城
page 5	Ｘ圖犯中山聲中中山之堅壁清野計劃橫門涌口Ｘ已被擊退岐關公路西段復通車
page 5	Ｘ西犯企圖尚未放棄我嚴密佈防準備痛擊鄧軍長電召張弛返擊九江三水Ｘ一再增加
page 5	民眾動員定期演習
page 5	遊擊隊襲馮涌楊梅
page 5	我團隊活躍中Ｘ在省河搜查
page 5	本報記者調查Ｘ犯南頭西鄉實況寶安警局長蔣西谷之報告
page 5	蔣西谷呈報Ｘ擾南　之經過
page 5	南頭西鄉受災區之實地調查
page 5	勒流在混亂中我團隊準備返防
page 5	東線反攻軍事轉緊我克荔枝　佔領福和墟增龍Ｘ軍邇來調動甚忙我大軍陸續抵前線作戰
page 5	派潭正果我軍增防
page 5	Ｘ軍主力尚在增城
page 5	石龍石灘Ｘ軍換防
page 5	佔福和墟Ｘ退中新
page 5	屏風嶺已為我控制
page 5	炮轟Ｘ陣克荔枝坳
page 5	我軍在新鶴江佛兩路猛進中Ｘ恐再被困全部退出會城傳Ｘ在中山灣仔等地登陸不確
page 6	十二集團軍設英德辦事處徐景唐充主任
page 6	江會Ｘ軍陷我包圍中我自衛團隊進襲禮樂各鄉壯丁均挺身協助殺Ｘ
page 6	容桂Ｘ軍最近動態
page 6	單水口視察記二
page 6	由肇出發
page 6	官窯Ｘ兵炮轟三江Ｘ艇不絕沿江梭巡
page 6	台開三埠各地漸復繁榮人心日趨安定
page 6	順德我軍續克甘竹
page 6	清遠四會奸商偷運穀米當局已嚴為防範
page 6	獅首市第十二集團軍戰績俘虜　谷利一郎訪問記
page 7	主席致詞
page 7	旭和演說
page 7	盡力援助
page 7	戰
page 7	雖
page 7	因
page 7	中
page 7	本報春季徵文揭曉後昨日贈送冠軍紀念旗黃淑暖為真光女中學生該校員生受旗極表快慰
page 7	粵慰勞會決募衣褲十五萬套
page 7	延長放水時間由今日起每日供給十五小時如續有大雨可望不再加限制
page 7	中國工業合作協會香港促進社招待各界振興工業支持抗戰力量以工代賑救濟落難同胞
page 8	港汕匯兌困難僑胞多託民信局寄款
page 8	中環區防空班昨晚正式開課
page 8	閨秀劇團演習寫真三介紹幾位女主角
page 8	華人自動登記下週開始舉行填發表格地點港府昨已指定英軍政部禁止駐港軍官退休
page 8	被車撞傷路人昨已在院斃命
page 8	陳守明昨返暹
page 8	威路臣今返英
page 8	更練被控毆打水客原　譚源生供述被毆之經過法官警告被告不得恐嚇證人
page 8	病婦跳樓殞命
page 8	官涌血案提堂押後三天審訊
page 8	旅台橋胞已失自由非有出口證不能歸國領證時順覓商店擔保再返台灣每人祇准攜帶日幣二十元出口
page 10	籃球聯會昨晚開緊急委員會議星島佔勝南華二分引起反響議決結果再定日期比賽一場
page 10	今日網籃球均有義賽網球四對名將先後上陣籃球有男女各一場舉行
page 10	網球
page 10	籃球
page 10	戲院職工鼎月底舉行決賽
page 10	公開棒球聯賽中華今對香港
page 10	旭和杯決賽南華迎擊海軍今午四時半在加山華隊如勝則囊括六大錦標
