page 1	美日海軍實力檢討
page 5	惠陽實施米糧登記
page 5	官窯日軍犯田螺市被殲裡水官窯築路無形停頓
page 5	省府令所屬取締軍車行駛過速
page 5	東路我軍猛攻上下南日陣地日軍不支紛紛敗退莞城西湖京山日陣同時被我分路進攻
page 5	順德成了鬼魅世界日偽加緊搾取人民資財豺　載道人人自危我團隊仍仍充分活躍
page 5	在佔領區搾取資財
page 5	強行沒收開設行店
page 5	日軍用票一再跌價
page 5	粵省農貸中國銀行統辦陶桓芬抵韶促進辦理
page 5	攻入欽邕路重要據點我軍施行奇襲迭獲戰果我繞道襲那曉日軍敗退那間新任欽縣縣長談施政之方針
page 6	我軍反攻克復街口
page 6	增從邊境發生激戰
page 6	粵路我軍衝入橫潭
page 6	忠勇民眾把血肉作長城在苦鬥中的增從日人的政治進攻又失敗了
page 6	血肉長城
page 6	二制日死命
page 6	今後政治
page 6	四爭取民眾
page 6	五精忠黨員
page 6	日軍與牛
page 6	粵省籌設防空幹訓班
page 6	省行組設東江運輸總站
page 6	各縣國民兵團限制設政訓室並計劃收容失業及在鄉軍人
page 6	官窯日軍傷兵運返佛山
page 6	發動黨員參加地方自治粵省黨部之規劃
page 6	利用節日徵集禮品勞軍端午中秋準備舉行
page 6	廣州日軍最近調動情形
page 6	第五游擊司令部槍決漢奸三名
page 6	日軍擾桂洲海尾被我團隊擊潰
page 6	粵各界籌備歡迎南僑慰勞團續訊已決定歡迎程序
page 6	增從線戰事激烈我克街口壓迫神岡佛子　鳳院日後路被切斷太平場日犯大逕　遭痛殲
page 7	在港意僑事業調查
page 7	港府征用喇沙書院
page 7	中華牙科會加入傷兵之友
page 7	香港與荷印貿易如常荷蘭總領事談話
page 7	我國內民眾確信抗戰必勝團結狀態較戰前更強梁少初氏談國內近情
page 7	強化僑胞救國陣營中央派大員出國戴愧生陳慶雲將首途
page 7	音樂欣賞會組華南合唱團公開徵求會員
page 7	華商籌賑會昨再匯出鉅款重慶慰勞金二萬元粵振款一萬六千元
page 7	歐戰急劇展開貨載保險費昨起再增倫敦保險會急電發至本港保險費中竟有增至兩倍者
page 7	三水商工局撥款救濟桑梓一萬四千元將匯出
page 7	英賑華會助救濟會經費每月撥助六百元
page 7	意大利駐港領事否認通令僑民離港港府再徵用喇沙書院一部份二月份意貨輸港僅八萬餘元
page 8	兒童保育會開理事會討論新院揭幕人問題
page 8	四賊圖劫書店
page 8	西南實業協會港分會昨開理事會議推錢新之等為常務理事
page 8	義皇台慘案似係暗殺　珍仍未全愈
page 8	王正廷歡宴英大學生服務團
page 8	洋米免稅進口九龍關公署昨佈告
page 8	九龍塘會所舉行跳舞籌款救濟中英難民
page 8	東院今日賣花
page 8	香港馬會本年捐慈善費共達五萬餘元
page 8	輔政司史美將宣誓為代督警告輝氏任副官
page 8	記者圖書館徵求近況名人數十任隊長或贊助人
page 8	振成學院暑期班
page 8	修訂防止迫遷條例主客利益均受保障特委會研究後將向港府條陳意見本月杪立法局將可通過二三讀會
page 10	今夕公開籃球賽甲組星島戰銀聯紅乙組太古對郵匯保羅抗青白
page 10	華人泳會動態
page 10	華仁舊生會三屆陸運有期
page 10	九龍學界籃球昨亞軍爭奪戰培正輕取美爾頓
page 10	學界排球賽今日六場戰事昨日民大英皇保羅奏凱
page 10	民強體育會近訊
page 10	今日加山海軍場棒球聯賽揭幕港啤上陣抗岷甸奴明日中華出擊工程
