page 1	最近之戰局
page 5	西線Ｘ趕修公路企圖再犯蘆西楊梅我空軍轟擊Ｘ艇
page 5	瓊Ｘ行蹤忽飄撤退後忽又一部開回我軍在牛潭襲擊Ｘ運輸車
page 5	Ｘ軍禁絲出口容桂絲廠決定停工絲商將存貨支出口被Ｘ發覺派艇截收絲商決定六一停工因此影響蠶價暴跌
page 5	瓊Ｘ行蹤飄忽
page 5	省參會會議錄要組慰勞前線將士團宣慰保護海外僑胞
page 5	北海輪運貨物增稅照估價抽千分之三充自衛團準備經費
page 5	我遊擊隊在小港與Ｘ發生激戰
page 5	從化南連日哨戰我軍兩路殲Ｘ
page 5	Ｘ封鎖潮汕沿海情形外輪尚多被留於馬公港潮安擬定收容難民辦法
page 5	檀香山華橋函慰抗戰將士
page 5	江會戰事由沉寂而緊張Ｘ艦艇犯新沙圖擾睦洲不逞江會附近反發生激戰Ｘ解散江門之挺進隊
page 6	省府制定舶來品戰時課稅章則六月一日起公佈實行
page 6	舶來特產戰時稅則
page 6	中山潭洲河面柴船抗劫砲擊Ｘ艇擊傷Ｘ兵數名兩柴船卒被擄去
page 6	惠陽進行救濟難童六月一日起開始登記
page 6	省府嘉獎南海團隊梁卓抗Ｘ有功
page 6	在抗戰中滋長著的肇慶四學校實施戰時教育
page 6	Ｘ機連日偵察西江
page 6	各家長公鑒
page 6	告南海各界同胞書
page 7	進出貨物
page 7	各國貨值
page 7	各關比較
page 7	入超口岸
page 7	各僑團歡迎吉隆坡服務隊
page 7	駐港英艦調查
page 7	市政衛生局嚴禁九龍居民牧豬限本月十七日將豬賣去貧苦農民聯請收回成命
page 7	謁華民司條陳利害
page 7	取締原因關係衛生
page 7	一家數口
page 7	追索贍養費案公堂上發見兩個結髮妻
page 7	嶺大學生主辦音樂籌賑大會今晚在香港大學舉行
page 7	少年自刎斃命
page 7	美大使昨抵港定今日乘輪赴海防轉渝
page 7	我國對外貿易激增出口貨本港銷納最多一月至四月運港貨值六千餘萬日本貨竟躍佔入口貨值第一位
page 8	百餘僑團舉行國民宣誓
page 8	中市商販一部準備退租因衛生局不允減低租值
page 8	交加街慘殺案增派警探查辦
page 8	失學難童登記結束在港登記者六千餘人中華義學決全數收容
page 8	閨秀名流義演貂蟬
page 8	今日賽馬蠡測下午二時開跑共賽十場
page 8	Ｘ艦橫行閩海海壇輪被迫折回本港停留福州四天搭客無法登陸駁艇欲泊船起貨被開鎗射擊
page 10	公開棒球聯賽今日友啤戰香港會
page 10	鐘聲健將吳年等電告返港日期
page 10	紅星籃球隊日間赴澳義賽
page 10	小型球義賽嶺南對抗國民定十日在加山舉行為婦女慰勞會籌款
page 10	出席世運委會會議王正廷已飛抵哥羅頓將在英逗留旬日然後返國
page 10	停辦泵波拿遊戲
page 10	精武國術師辭職
page 10	皇囿場照常開放
page 10	雄風體育社近訊
page 10	申報杯女籃義賽秩序重新編配決定本月十日開始聯會今午召開會議
