page 1	論和戰之利害
page 3	回教近東訪問團由土耳其返國抵昆明經訪問印度阿拉伯埃及等地各地人民認我復興基礎建立
page 3	全國教育會議定期三一舉行
page 3	希特勒會蘇聯新大使
page 3	西太平洋英美軍備加強日當局大恐慌
page 3	法輪薩勞號在東京灣遇險詳情尚無所知
page 3	英意舉行二次談話一切困難尚無法解決意不肯減低其所謂意國之自然企圖但仍望積極掃除英意間友誼關係障礙
page 4	英軍換新制服六個月內可全數更換
page 4	捐金購債彙誌
page 4	神洲餅家遷址訊
page 4	崇正會繼續等賑
page 4	救傷班畢業試分別定期舉行
page 4	新界救傷隊月報
page 4	本港各界昨歡送越童軍服務團該團第一批團員犧牲過半決回越南補充後再赴前線
page 4	衛生局時症報告
page 5	東增寶游擊隊活躍
page 5	包圍石莞太等日Ｘ
page 5	Ｘ擾北柵霄邊多日
page 5	寶安圍剿西路土匪
page 5	Ｘ艦大批星夜離去
page 5	東北兩路戰訊增從間Ｘ我之主力戰我軍警戒龍門防Ｘ突圍
page 5	增從間展開主力戰
page 5	警戒龍門防Ｘ突圍
page 5	Ｘ欲掩飾兵力微弱
page 5	西江南路公路破壞完竣反攻軍呈業已開始犯西馬口Ｘ已後退
page 5	西路風雲緊張中八日廣三路突告中斷廣三沿路我游擊隊異常活躍邵邊附近鐵軌路基被我破壞廣三路Ｘ軍運交通由八日晨起停止
page 5	薛岳代表方人矩談湘贛前線之戰況孟家嶺一役之勝利
page 5	陳村再遭浩劫之實地調查蘇理平談現陳村已佈有相當之兵力Ｘ人入佔陳村僅一天即晚被我擊退
page 5	當日戰情
page 5	兩路反攻
page 5	目擊慘況
page 5	我機九架二次轟炸虎門太平日ＸＸ我陸空互戰劇　歷一時餘我投數十彈皆命中燬Ｘ工事虎門Ｘ艦多艘亦有中彈受傷東增寶各屬游擊隊甚活動Ｘ交通　多被破壞Ｘ連日擾北柵霄邊寶屬西路各鄉鄉民多遷徙
page 6	廣州Ｘ軍縮短外圍線續詳四郊加築工事糧食發生恐慌
page 6	Ｘ酋謂廣東精神在市南市郊游擊隊之殲Ｘ李振威潘幼齡兩長官之報告
page 6	江門形勢安定如常當局發言人談Ｘ圖犯汪門說之由來東海一帶祇有Ｘ兵數百絕未有增加
page 6	第四戰區司令部設立軍郵總局分東南西北分站編定號數按站遞交
page 6	大鵬軍團組水巡護漁民
page 6	廣州糧食枯竭各縣亦將有米荒之虜Ｘ這連日四處竄擾掠奪糧食中山豐收當局已令接濟各縣
page 6	Ｘ佔三灶島後大開煙賭改島名為新長崎
page 6	各地最近Ｘ艦動態Ｘ艇駛勒流登陸
page 6	西江戰線面面觀
page 7	截劫案再提案
page 7	九龍教育界慰問深圳難民
page 7	港督昨午檢閱義勇軍隊員十八人獲獎勳章
page 7	隊員齊集
page 7	港督訓詞
page 7	頒發獎章
page 7	試燃燒彈
page 7	醫藥局長再勸市民從速種痘三年內未種者宜即補種去年死於痘症者千餘人
page 7	交大學生組辦工程學校
page 7	新界各救濟站結束難民遷入深圳僅二千
page 8	五邑商民歧視中華版銀毫券找換商店更乘機肆意低折江門商會請省行盡量收兌
page 8	青年會隨軍團新組兩隊明日行授旗禮
page 8	華商會請嚴辦殺葉端人兇犯
page 8	宋慶齡女士視察中山災區
page 8	菲衛生局重視港滬醫證
page 8	兒童保育會增設第三分院經費不敷函請英賑難會補助　港府亦已允撥地段再建新院
page 8	柯士甸道一建造廠被焚
page 8	私煙葉案昨上訴兩被告獲省釋
page 8	商會定期會議
page 8	徵得會員千八百名
page 8	新院開辦費之預算
page 8	請英賑難會助經費
page 8	派員接收馬頭涌地
page 8	饒神父昨返滬
page 8	李門輪法籍搭客被拘
page 8	天氣不佳歐亞空航被阻
page 8	塘西歌姬競選歌舞皇后提前今晚義唱
page 8	侵佔公款疑案押候六天審訊
page 8	　　胞匯款歸國去年共達六萬萬元與前年比較竟增加一倍實我抗戰期中之好現象
page 11	女子籃球賽今有相當看頭梅芳培道爭雄
page 11	遠東網球冠軍賽本港選手全被淘汰賽會採用硬地在夜間舉行
page 11	記者公會主辦之足球義賽游藝會今午二時半在加　連山舉行羅旭和行開球禮何香凝頒獎
page 11	越野跑進行近訊
page 11	淩風社游藝會明日舉行
page 11	友誼球賽彙誌
page 11	各大商店送出物品
page 11	今日甲組足球聯賽兩華軍遇外旅東方對九龍光華戰若瑟
