page 1	英國將如何
page 8	女服務團
page 8	華商總會
page 8	唱曲籌款
page 8	女籌賑會
page 8	英籌闢港緬航空線已派技術人員赴緬甸視察
page 8	衛生局昨開例會主席答復建公園質問因繪圖理財兩問題致為耽擱請發給營業牌照案均被否決
page 8	中華書局工潮將可解決
page 8	港漁民仍恐敵艦肆虐多不敢安心出海復業
page 8	天氣嚴寒痘症激增一日內竟發生六十一宗
page 8	商會昨開十次月會值理認購債額未清結有提議每人再購百元未通過河內展覽函各華商自行參加
page 8	五萬件寒衣不難募足各學校舉行一角運動中國旅行劇團在柯立芝輪唱曲籌款女籌賑會女服務團又收到一批財物
page 10	香港會讌港督
page 10	汎美機又遲到
page 10	遠東英艦動向
page 10	市虎噬傷一人
page 10	私煙案昨提堂
page 10	長沙環道火警店戶四間被焚
page 10	一批名馬易主
page 10	河內工商美藝博覽會分函本港中西商會邀請參加
page 11	歐局動盪中的英國外交政策二
page 11	陝甘寧反侵略大會毛澤東報告保證我打勝戰張國燾亦作有力的呼號
