page 1	抗戰兩年之回顧
page 7	紀念七七籲請購債救債會昨發表告僑胞書
page 7	七七紀念花發出廿五萬餘朵
page 7	電影界明日舉行國民公約宣誓
page 7	張發奎蔣光鼐勉粵僑救鄉會
page 7	緊急燈火管制演習決本月內舉行燃燒彈撲滅法亦將公開表演防空局向英訂購大批燃燒彈
page 7	又一宗紅丸案六被告昨提堂
page 7	懲治漏稅條例我海關通告展期一年
page 7	黑夜刀光中環威靈頓街上海工人發生血戰六人被刺重傷性命恐不保中西警探均出動追捕兇手
page 8	夫有遺產性復勤儉
page 8	頸被緊勒屍體橫陳
page 8	民族抗戰方略
page 8	屋中傢具淩亂異常
page 8	警方疑是謀財害命
page 8	粵劇界明日演劇籌賑
page 8	史美昨日返國
page 8	各營難民減少
page 8	塘西歌姬義唱
page 8	利源東街截劫案疑犯二次公審華探譚松力證被告為劫匪並供述轟斃林亞芳之經過
page 8	華探譚松
page 8	槍聲一響
page 8	即鳴警笛
page 8	保育會理事今日巡視各院
page 8	報際象棋賽循環日朝報昨獲勝
page 8	導遊女明日義導籌賑
page 8	彼仍不服
page 8	算命女郎遇盜
page 8	嘉屬學會舉辦失學青年登記
page 8	華商會新值理昨已選出百名
page 8	友誼排球賽記者昨勝仿分戰績為三比一
page 8	學賑會西灣河段舉辦足球義賽
page 8	供水佈告本島及大陸
page 8	大坑村發生謀殺案六旬孀婦深夜被勒斃丈夫有遺產性復儉樸積蓄頗　案發後傢具淩亂疑係謀財害命
