page 1	五路軍改編與軍權統一
page 11	隊兵藉搜私煙行劫
page 11	准各縣來省半價貸米
page 14	大陸政策內容
page 14	對華問題態度
page 14	日俄調整悲觀
page 14	檢討二重外交
page 14	重整外交方針
page 14	國防外交並重
page 14	調整外交工作
page 14	星英官商表示贊同十五萬萬鎊擴軍案兵士咸希望擴軍後早日增加薪俸一商人認擴軍勝於用公帑救窮人
page 14	星洲英人見解
page 14	擴軍為一炸彈
page 14	設防勝救失業
page 14	兵士希望增薪
page 14	朝日新聞座談會討論日外交新方針芳澤大為霞關辯護建川主與國防並重
page 15	希特勒征服蘇聯計劃肆
page 15	八希特勒的防火
page 15	莫斯科的難攻
