page 1	冀察交涉之前途
page 5	南北港請撤消油豆稅
page 5	汕市各商業繼起呼籲廢除苛雜往昔千言萬語只博得未便照准四字飲泣吞聲挖膏供吸於茲數年乞請撤銷以維民生而恤商艱
page 5	燕塘軍校定期上課校長由余氏兼任
page 5	陳誠先來任務某軍官答記者問
page 5	省府擬裁駢枝機關糧食會與統計局
page 5	總部被裁四處結束令　日辦理完竣
page 5	軍墾處歸併建廳　組省營工廠督
page 5	麥粉業請求停征統稅
page 5	余陳昨商整理粵軍事粵軍與中央軍將來決實行換防四路總部先成立軍務處趕辦全軍編制粵省軍額過多決實行裁減
page 6	陳策有改任廣州市長訊陳對虎門要塞司令力辭
page 6	李白迭次發電表示服從二中會決案并聲明桂軍未入湘境粵桂邊交通梗塞另訊
page 6	三路總稽核委會限月底撤銷
page 6	顏甘棠任電政局長擬于今日就職視事職工請查前任數目
page 6	鄒魯詳告參加世教會經過
page 6	李仙根告別全路員工順得哥情失嫂意處處恭順免隕越
page 6	鐵次曾養甫等今日由韶來省
page 6	省營布廉價傾銷土布公會交涉增價
page 6	省府令各縣從速設戒煙醫院
page 6	省市黨部通電擁護禁煙賭政策
page 6	革除秕政聲中商人請撤苛捐及專賣撤京果海味捐取銷煙葉專賣
page 6	復設商品檢驗局
page 6	促早設工業分會
page 6	赴京請願代表不須旅而得旅費
page 6	公安分局長更調
page 6	粵艦隊改編實況本報記者與張之英談話易名為江防司令部張仍任為司令
page 7	鎗聲突起
page 7	兇手就擒
page 7	傷者殞命
page 7	警司報告
page 7	請釋記者譚沛元本港報界之呼籲
page 7	某巨公存貯八箱紙幣于銀行行員檢收費數小時
page 7	唐海安昨日來港談陳維周未交鹽運署賬目已力促其派員返省清楚交代本人來港係醫眼疾日間返省
page 7	粵海關徵米稅後澳米行冷淡異常
page 7	青山道汽車互撞
page 7	謝宜邦來港謁蕭
page 7	黃麟書昨日來港
page 7	敦梅中學畢業禮胡恒錦律師頒獎
page 7	濠江暴雨之影響
page 7	汽車輾傷兩路人
page 7	少年服毒幸遇救
page 7	時局轉好的童謠
page 7	孕婦失足受重傷
page 7	中央警署發生血案印警醉酒鎗殺同侶發鎗四響死都中一彈兇手就擒現押羈留所
page 8	許氏談話
page 8	該院章程
page 8	華南區聯青社第一次聯席會議職員及開會程序已規定
page 8	大會程序
page 8	去年本港航空事業概況航空署經費增至六萬餘元
page 8	空校概況
page 8	發出証書
page 8	收支狀況
page 8	過港機師
page 8	各部職員
page 8	香港膠廠新廠概況
page 8	寓教育於娛樂許地山碩士倡辦兒童娛樂院組織章程葉已擬就徵求同志協助進行
page 10	報告事項
page 10	議決事項
page 10	組平教會
page 10	職員名單
page 10	本港昨日所得雨水
page 10	四邑工商新職員
page 10	僑教會執委會議議決組織平民教育會
page 11	汕貧僑資遣費未發僑務處擬暫停發給
page 11	林世恩復長番禺
page 11	通令禁運穀米出口
page 11	七區指揮被捕釋放
page 11	拘捕　客調笑女工
page 11	敦梅中學五屆主小畢業胡恒錦律師之演說辭透發仁養禮智信誠六字之真諦
page 11	汕頭油渣被扣留後煤油商請照舊征稅呈財政特派員呼籲
page 14	綏遠新村參觀記現正進行二期五年計劃以自身之收入從事建設
page 14	日本法西斯團體的經濟計劃實行皇道統制經濟限制私有財產制度
page 14	平漢鐵路沿線重要物產概況該路全年貨運煤產居首位農產品以棉麥兩項為最多
page 14	礦產
page 14	農產
page 14	紡織
page 14	工藝
page 14	首期整理工程將竣舊都奐然一新
page 14	天壇等偉大建築修葺完峻各牌樓髹以彩繪鮮豔奪目
page 14	西北剿匪軍大舉進剿後陝北要隘次第收復殘匪勢窮力蹙內部渙散攜械向國軍投誠者日眾
page 15	古名淙城
page 15	分區設署
page 15	浙東在重男輕女惡俗下婦女過地獄的生活貧家女兒被逼當船娘茶娘土娼向有典給妻子與別人生子之俗
page 15	戶口統計
page 15	形勢天然
page 15	川北開江一瞥形勢險要為下東各縣屏障徐匪向前曾在此慘遭敗
