page 1	英日關係之檢討
page 5	廣州灣商人請公佈禁貨種類躉存貨物請准自由運輸港滬貨運灣請不加限制
page 5	惠屬坑塘　歸僑被劫
page 5	偽軍官方逆正華伏法
page 5	粵省組設合作管理處調林光遠接充開平縣長
page 5	日機犯桂
page 5	飢民四十餘同時斃命順德慘劇之一幕
page 5	行政院指示粵省推行新縣制要點原定縣長官等之高低欠妥戶籍清查後應辦異動登記
page 5	寶安日軍昨仍無異動我軍準備大舉向邊界反攻鹽田　昨交通恢復鯊魚涌亦暢行無阻縣稅捐征收處由下月一日起恢復舊制
page 5	淪陷區域內遺棄嬰兒之慘況慈善團體宜設法收養
page 5	李磊夫已離韶
page 5	嶺大農院遷粵
page 5	欽縣日軍東擾不逞防城我軍克那鄰挺攻大直另一路我軍由十萬大山向東推進日艦三艘夜窺電白水東情勢緊張
page 6	銀洲東岸擊傷日艦
page 6	中山偽軍暗鬥日烈
page 6	中順團隊調整經過
page 6	佛山舉　平糶日偽乘機把持圖利分贓不勻群奸發生內訌
page 6	韶商獻金募足萬五千元
page 6	粵參議會駐會委員常會
page 6	粵省歡迎僑胞返國聲中談談韶關的衣食住
page 6	　德偽府又擬遷回大良
page 6	粵北五縣設師資訓練所
page 6	李漢魂赴重慶
page 6	食
page 6	住
page 6	江　各線仍有激戰銀洲東岸我砲隊擊傷日艦郎部偽軍又圖奪馬騮洲關卡袁帶調整中山順德兩縣團隊
page 7	荃灣容屋村發生大火茅屋十二間被焚毀貧民百餘無家可歸
page 7	火勢猛烈蔓延極速
page 7	焚燬茅屋共十二間
page 7	荃灣商人奮力助救
page 7	本港各界昨追悼張似旭儀式簡單肅穆參加者百餘人俞鴻鈞致詞追述悼張氏意義
page 7	禮儀肅穆
page 7	俞氏致詞
page 7	張氏略歷
page 7	閩國貨陳列館徵求港商出品廠聯會已通告各會員
page 7	港青年獻劍團九月初可返港
page 7	東華義莊移葬欠租棺柩安葬日期業已擇定
page 7	颶風昨從港外掠過天文台風球已除下
page 7	賑聯會今會議
page 7	擔杆山竟成盜藪過往船艇時被截劫被擄人脫險述匪黨內幕殺人越貨遭害者已不少
page 8	未婚婦女可免疏散
page 8	疏散人數已告澳府
page 8	帆船遇風獲救
page 8	達但納爾海峽問題下英國情報部遠東局廣播
page 8	東華醫院決增辦義學收容失學兒童一千名俟教育司批准即可實現經費仍由嘗產收益開支
page 8	增設義學
page 8	經費來源
page 8	港府華員會十七週年紀念孫院長夫人蒞會觀禮
page 8	省振會港辦事處謝雷躍雲家屬
page 8	三人意圖不軌每處徒刑二月
page 8	港造船業衰落海軍船塢工作獨忙
page 8	鬻賣嘗產糾紛陳姓子孫對簿公堂
page 8	茶客跳樓慘死
page 8	七賊騎劫漁船
page 8	店伴慘遭滅頂
page 8	英文校會考補誌
page 8	遠東各埠之時症
page 8	再版西南攬勝即日發售預約券
page 8	港府繼續疏散英婦孺有一批下月初赴澳洲有職業之未婚女子可免疏散惟須得店主聲明自願其留港
page 10	足球聯賽小組委會明日召開會議討論星島參加甲組問題
page 10	宵來乙組籃球賽保羅培英打勝仗精勵康元遭敗績青乙對勵行改期
page 10	東方隊途遇風阻今日方能抵港
page 10	夏令籃球聯賽今日兩場角逐
page 10	中華水藝改期
page 10	學籃賽因雨改期
