page 1	從速救濟川甘災民
page 8	美國實行保護勞工政策美輪華員將減至最少數目此次罷工結果華員被裁數百人由本年七月一日起將再行裁減
page 8	被裁船員數百
page 8	七月一日再滅
page 8	少婦服毒幸遇救
page 8	大道東一人被刺
page 8	兩紳士為馬非餞別
page 8	是銷金窩是勾魂地麻雀館之旖旎風光豔姝侍奉茶水坐膝打抹牌本港及對海共有百餘所
page 10	二次預操
page 10	施氏檢閱
page 10	孔教學院昨日講學
page 10	華機會改選展期訊
page 10	郝督已定期離港紳商界歡送之籌備
page 10	明日大操
page 10	訓勉部屬
page 10	賑綏美展尚有三天
page 10	港督明日檢閱全港救傷隊昨日舉行二次預操施利民氏蒞場訓話
page 11	汕頭又有私賭交涉案
page 11	五區完成公路網
page 11	汕市準備歡迎英大使
page 11	修理縣署下月工竣
page 11	新運會設民眾夜校
page 11	積極整理後催收舊糧成績可觀各縣積欠總額總調查總數共一千三百餘萬並無欠糧者僅有四縣
page 11	風災沉船溺人
page 11	扣留不法禁煙委員
page 11	恩卹受傷築路民工
page 11	新會小鄉村易姓求保護之怪聞因人少被強族壓逼乃改入他姓求託庇
page 11	平步鄉人糾眾搶鹽
page 11	維安輪撞石之虛驚
page 11	擄劫案犯夫婦入獄
page 11	電船煙彈傷人續聞
page 11	東新橋底施行爆炸
page 11	匪攔河截劫新橋渡
page 11	螟蛉子斬死庶母案
page 11	汕商請改善洋米免稅進口辦法
page 14	閩浙邊殘匪短期內可肅清戴民權與盧興榮會商清剿計劃贛閩邊區各股殘匪已潰竄深山
page 14	武漢防空演習地下室景象為了民族生存不能不作準備
page 14	熱河人民不甘壓迫相結群起抗拒李逆守信部開往鎮懾
page 14	大受某國人鄙笑東三省學生在東京求學目的望作傀儡官吏誠不解果有人迷懵至此
page 15	世界新語美國學生的帝制運動由雅禮大學發起已有三百人參加目的係擁護羅斯福大總統做皇帝從羅斯福總統說到他的夫人
page 15	新聞紙價飛漲聲中溫溪紙廠進行狀況現擬將資本增加為七百萬元年後可完成每日出貨千餘令
